regime,retention,lo_um,hi_um,frac_kept,d_recall_worst_roi,rois_losing_tp,d_depth90,d_depth95,d_depth100,rois_shorter_100
insample,1.0,3.977573037147522,20.107271194458008,0.9330302210769923,0.0,0,-75.0,-117.0,-287.0,14
lodo,1.0,0.49505379796028137,99.84673309326172,0.9984121227775228,-0.019230769230769273,1,0.0,0.0,-1.5,9
insample,0.99,4.2031531810760505,19.79981559753418,0.931490860896333,-0.10526315789473684,10,226.5,464.5,384.5,3
lodo,0.99,2.823413163423538,24.682384529113353,0.9741203533800524,-0.019230769230769273,1,-2.0,0.0,-32.5,9
insample,0.98,4.24344181060791,14.12099718093872,0.913659609443043,-0.10526315789473684,11,465.0,1154.0,4278.0,2
lodo,0.98,3.6195910692214968,22.268333435058594,0.9599433854271074,-0.019230769230769273,4,9.5,138.0,-7.0,8
insample,0.95,4.355201119184494,12.769487345218657,0.8833640375446424,-0.10526315789473684,11,464.0,3567.5,2531.0,1
lodo,0.95,3.963262927532197,16.34731674194336,0.9215225019810324,-0.17647058823529416,8,550.0,1980.0,660.5,5
