tumor_type,file_name,seed_index,n_mit,lo_um,hi_um,n_kept,recall,n_pool,frac_kept,recall_base,d_recall,depth_90_base,depth_90,d_depth_90,depth_95_base,depth_95,d_depth_95,depth_100_base,depth_100,d_depth_100,d90,d95,d100
canine cutaneous mast cell tumor,300.tiff,2.0,180.0,0.8094951510429382,99.84673309326172,23470.0,1.0,23524.0,0.9968708248365094,1.0,0.0,2893.0,3255.0,-1.0,5721.0,6368.0,-1.0,11024.0,15266.0,-3.0,362.0,647.0,4242.0
canine cutaneous mast cell tumor,301.tiff,2.0,217.0,0.8094951510429382,99.84673309326172,32142.0,1.0,32225.0,0.998270916021535,1.0,0.0,3179.0,3175.0,-1.0,5876.0,5876.0,0.0,15769.0,17154.0,-2.0,-4.0,0.0,1385.0
canine lung cancer,201.tiff,2.0,17.0,0.49505379796028137,99.84673309326172,22574.0,1.0,22631.0,0.9978586723768736,1.0,0.0,1280.0,1280.0,0.0,2250.0,2250.0,0.0,2250.0,2250.0,0.0,0.0,0.0,0.0
canine lung cancer,233.tiff,2.0,17.0,0.49505379796028137,99.84673309326172,33168.0,1.0,33221.0,0.9984046235814695,1.0,0.0,434.0,434.0,0.0,1328.0,1328.0,0.0,1328.0,1328.0,0.0,0.0,0.0,0.0
canine lymphosarcoma,245.tiff,2.0,89.0,0.49505379796028137,99.84673309326172,37984.0,1.0,38012.0,0.9992633905082605,1.0,0.0,12622.0,12622.0,-3.0,17622.0,17606.0,-6.0,29455.0,29449.0,-8.0,0.0,-16.0,-6.0
canine lymphosarcoma,246.tiff,2.0,115.0,0.49505379796028137,99.84673309326172,30290.0,1.0,30343.0,0.998419621973576,1.0,0.0,1632.0,1632.0,0.0,2421.0,2421.0,0.0,8502.0,8500.0,-2.0,0.0,0.0,-2.0
canine soft tissue sarcoma,459.tiff,2.0,130.0,0.49505379796028137,99.84673309326172,21887.0,1.0,21905.0,0.9989815041147234,1.0,0.0,4952.0,4952.0,0.0,8452.0,8452.0,0.0,14367.0,14366.0,-1.0,0.0,0.0,-1.0
canine soft tissue sarcoma,460.tiff,2.0,35.0,0.49505379796028137,99.84673309326172,22915.0,1.0,22948.0,0.9984994164397265,1.0,0.0,3218.0,3218.0,0.0,5229.0,5229.0,0.0,10622.0,10616.0,-4.0,0.0,0.0,-6.0
human breast cancer,013.tiff,2.0,17.0,0.49505379796028137,99.84673309326172,28691.0,1.0,28753.0,0.9986683462299802,1.0,0.0,238.0,238.0,0.0,366.0,366.0,0.0,366.0,366.0,0.0,0.0,0.0,0.0
human breast cancer,094.tiff,2.0,81.0,0.49505379796028137,99.84673309326172,33031.0,1.0,33056.0,0.9992437076476283,1.0,0.0,1046.0,1046.0,0.0,1630.0,1630.0,0.0,4088.0,4088.0,0.0,0.0,0.0,0.0
human melanoma,529.tiff,2.0,19.0,0.49505379796028137,99.84673309326172,23120.0,1.0,23167.0,0.997598627787307,1.0,0.0,2135.0,2135.0,0.0,2516.0,2516.0,0.0,2516.0,2516.0,0.0,0.0,0.0,0.0
human melanoma,548.tiff,2.0,238.0,0.49505379796028137,99.84673309326172,27091.0,1.0,27120.0,0.9989306784660767,1.0,0.0,1022.0,1022.0,0.0,2314.0,2314.0,0.0,10101.0,10098.0,-1.0,0.0,0.0,-3.0
human neuroendocrine tumor,402.tiff,2.0,104.0,0.49505379796028137,33.65827941894531,30450.0,0.9807692307692307,31042.0,0.981327591427514,1.0,-0.019230769230769273,1256.0,1244.0,126.0,1871.0,1947.0,460.0,10028.0,10806.0,-101.0,-12.0,76.0,778.0
human neuroendocrine tumor,403.tiff,2.0,52.0,0.49505379796028137,33.65827941894531,28391.0,1.0,28794.0,0.9899961523662947,1.0,0.0,2016.0,1995.0,-21.0,3937.0,4245.0,-40.0,5747.0,5678.0,-69.0,-21.0,308.0,-69.0
