file_name,tumor_type,seed_index,mpp,n_pool,n_tp,seed_base_size_px,seed_base_size_um,window51_ceiling_um,t512_n_components,t512_frac_on_nucleus,t512_frac_area_gt4000,t512_frac_all_area_gt4000,t512_side_p50,t512_side_p90,t512_side_p99,t512_side_max,t512_eqd_p50,t512_area_p50,t512_apriori_keep_frac,t512_tp_frac_on_nucleus,t512_tp_frac_area_gt4000,t512_tp_side_p50,t512_tp_side_min,t512_tp_side_max,t512_tp_apriori_keep,t1024_n_components,t1024_frac_on_nucleus,t1024_frac_area_gt4000,t1024_frac_all_area_gt4000,t1024_side_p50,t1024_side_p90,t1024_side_p99,t1024_side_max,t1024_eqd_p50,t1024_area_p50,t1024_apriori_keep_frac,t1024_tp_frac_on_nucleus,t1024_tp_frac_area_gt4000,t1024_tp_side_p50,t1024_tp_side_min,t1024_tp_side_max,t1024_tp_apriori_keep,tile_both_defined_frac,tile_med_abs_delta_um,tile_frac_delta_gt1um,tile_keep_flip_frac,tile_keep_frac_delta
013.tiff,human breast cancer,0,0.2263209480531052,27785,17,31,7.015949389646261,11.542368350708365,85930,0.16965988842900845,0.0056505308619758865,0.0056505308619758865,10.184442662389735,20.142564376726362,36.45804152187454,54.09070658469214,7.7459328313212765,920.0,0.13532481554795753,0.7647058823529411,0.0,9.052837922124208,6.789628441593156,15.389824467611154,0.7647058823529411,82823,0.16811229080439086,0.005938456001439625,0.005938456001439625,10.184442662389735,19.91624342867326,37.342956428762356,54.09070658469214,7.712181329455855,912.0,0.13510887169335972,0.7647058823529411,0.0,9.052837922124208,6.336986545486946,15.389824467611154,0.7647058823529411,0.1639733669245996,0.0,0.09679543459174715,0.01274068742127047,-0.0002159438545978054
013.tiff,human breast cancer,1,0.2263209480531052,28753,17,39,8.826516974071103,11.542368350708365,85930,0.25527771015198414,0.007234027753625708,0.007234027753625708,9.95812171433663,19.91624342867326,34.76516083043742,54.09070658469214,7.3705910204128235,833.0,0.20210065036691824,1.0,0.0,8.600196026017997,6.789628441593156,16.52142920787668,1.0,82823,0.2521128230097729,0.007790491426981533,0.007790491426981533,9.95812171433663,19.689922480620154,35.758709792390626,54.09070658469214,7.366165567584907,832.0,0.20112683893854555,1.0,0.0,8.600196026017997,6.336986545486946,16.747750155929786,1.0,0.24842625117379055,0.0,0.0999580008399832,0.014189823670573505,-0.0009738114283726895
013.tiff,human breast cancer,2,0.2263209480531052,26941,17,43,9.731800766283524,11.542368350708365,85930,0.2488400579043094,0.006755502765301956,0.006755502765301956,9.95812171433663,19.848347144257286,34.8534260001782,54.09070658469214,7.449799646318705,851.0,0.19516721725251476,1.0,0.0,8.600196026017997,6.789628441593156,16.52142920787668,1.0,82823,0.24531383393341005,0.007052447941798746,0.007052447941798746,9.95812171433663,19.689922480620154,35.758709792390626,54.09070658469214,7.462919350605386,854.0,0.19353401878178242,1.0,0.0,8.600196026017997,6.336986545486946,16.747750155929786,1.0,0.24134219219776548,0.0,0.1039680098431252,0.015292676589584648,-0.0016331984707323444
013.tiff,human breast cancer,3,0.2263209480531052,32630,17,29,6.5633074935400515,11.542368350708365,85930,0.23990193073858412,0.007110021452650934,0.007110021452650934,10.184442662389735,19.91624342867326,34.8534260001782,54.09070658469214,7.454175446781956,852.0,0.19187863928899784,1.0,0.0,9.052837922124208,6.789628441593156,16.52142920787668,1.0,82823,0.23735825927060986,0.0074777811829604655,0.0074777811829604655,10.184442662389735,19.689922480620154,35.758709792390626,54.09070658469214,7.471653021646125,856.0,0.19117376647257125,1.0,0.0,9.052837922124208,6.336986545486946,16.747750155929786,1.0,0.23312902237205027,0.0,0.09517549625345077,0.014005516395954643,-0.0007048728164265883
013.tiff,human breast cancer,4,0.2263209480531052,31171,17,35,7.921233181858682,11.542368350708365,85930,0.3351833434923487,0.007635302043566135,0.007635302043566135,9.279158870177314,18.784638688407732,34.17446315601889,54.09070658469214,6.744533110978015,697.5,0.2418915017163389,1.0,0.0,9.052837922124208,6.789628441593156,16.52142920787668,1.0,82823,0.32944082640916234,0.008084437457893555,0.008084437457893555,9.279158870177314,18.558317740354628,34.17446315601889,54.09070658469214,6.7710726805301995,703.0,0.23855506720990666,1.0,0.0,9.052837922124208,6.336986545486946,16.747750155929786,1.0,0.3240832825382567,0.0,0.10334587210453376,0.018478714189470984,-0.0033364345064322565
094.tiff,human breast cancer,0,0.2298476128425091,34573,81,25,5.746190321062727,11.722228254967964,74962,0.6019726376073815,0.16492638764353687,0.16492638764353687,15.629637673290619,45.969522568501816,81.82575017193324,98.60462590943641,9.972538351173215,1478.5,0.2810863968993145,1.0,0.07407407407407407,7.1252759981177824,5.28649509537771,74.24077894813044,0.9135802469135802,75057,0.6014520001156972,0.16061666618459491,0.16061666618459491,15.39979006044811,45.05013211713178,76.07955985087051,89.87041662142106,9.877656448559392,1450.5,0.2826483093743673,1.0,0.07407407407407407,7.1252759981177824,5.28649509537771,74.24077894813044,0.9012345679012346,0.5953778960460475,0.0,0.19660901671200934,0.03656032163827264,0.001561912475052829
094.tiff,human breast cancer,1,0.2298476128425091,28700,81,37,8.504361675172836,11.722228254967964,74962,0.45066202090592333,0.13554006968641116,0.13554006968641116,17.23857096318818,47.80830347124189,85.04361675172836,98.60462590943641,10.9606367323613,1786.0,0.2189198606271777,0.9382716049382716,0.06172839506172839,7.1252759981177824,5.28649509537771,50.566474825352,0.8641975308641975,75057,0.4500348432055749,0.13128919860627178,0.13128919860627178,17.23857096318818,47.348608245556875,79.98696926919317,89.87041662142106,10.89755108390132,1765.5,0.21958188153310104,0.9382716049382716,0.06172839506172839,7.1252759981177824,5.28649509537771,70.10352191696528,0.8518518518518519,0.4415679442508711,0.0,0.20460822220468713,0.03062717770034843,0.0006620209059233495
094.tiff,human breast cancer,2,0.2298476128425091,33056,81,35,8.044666449487819,11.722228254967964,74962,0.4570728460793804,0.13952081316553727,0.13952081316553727,17.468418576030693,48.038151084084404,82.97498823614579,98.60462590943641,11.00962306239002,1802.0,0.21309293320425943,0.8765432098765432,0.04938271604938271,7.1252759981177824,5.28649509537771,50.566474825352,0.8148148148148148,75057,0.45649806389157793,0.1362536302032914,0.1362536302032914,17.468418576030693,47.80830347124189,78.1481883664531,89.87041662142106,10.969838331910285,1789.0,0.214121490803485,0.8765432098765432,0.04938271604938271,7.1252759981177824,5.28649509537771,37.69500850617149,0.8148148148148148,0.44839060987415297,0.0,0.20591013358521118,0.03176427879961278,0.0010285575992255713
094.tiff,human breast cancer,3,0.2298476128425091,27735,81,37,8.504361675172836,11.722228254967964,74962,0.46035694970254193,0.1398593834505138,0.1398593834505138,17.468418576030693,48.038151084084404,85.04361675172836,98.60462590943641,10.965238390093926,1787.5,0.22015503875968992,0.8888888888888888,0.06172839506172839,7.1252759981177824,5.28649509537771,50.566474825352,0.8148148148148148,75057,0.45956372814133767,0.1352082206598161,0.1352082206598161,17.23857096318818,47.348608245556875,78.1481883664531,89.87041662142106,10.89600795853989,1765.0,0.22188570398413557,0.8888888888888888,0.06172839506172839,7.1252759981177824,5.28649509537771,70.10352191696528,0.8024691358024691,0.45177573463133225,0.0,0.2051875498802873,0.031079862989003063,0.0017306652244456489
094.tiff,human breast cancer,4,0.2298476128425091,33056,81,35,8.044666449487819,11.722228254967964,74962,0.4570728460793804,0.13952081316553727,0.13952081316553727,17.468418576030693,48.038151084084404,82.97498823614579,98.60462590943641,11.00962306239002,1802.0,0.21309293320425943,0.8765432098765432,0.04938271604938271,7.1252759981177824,5.28649509537771,50.566474825352,0.8148148148148148,75057,0.45649806389157793,0.1362536302032914,0.1362536302032914,17.468418576030693,47.80830347124189,78.1481883664531,89.87041662142106,10.969838331910285,1789.0,0.214121490803485,0.8765432098765432,0.04938271604938271,7.1252759981177824,5.28649509537771,37.69500850617149,0.8148148148148148,0.44839060987415297,0.0,0.20591013358521118,0.03176427879961278,0.0010285575992255713
