file_name,tumor_type,seed_index,seed_ann_id,mpp,match_radius_px,n_pool,n_gt_mitotic,n_gt_mitotic_csv,n_tp_recomputed,n_tp_ledger,ranks_exact,n_components,frac_on_nucleus,n_size_undefined
402.tiff,human neuroendocrine tumor,0,20254,0.2263209480531052,33.13877952755905,32553,104,104,104,104,True,64808,0.6651614290541579,10900
402.tiff,human neuroendocrine tumor,1,20258,0.2263209480531052,33.13877952755905,21387,104,104,104,104,True,64808,0.7117875344835648,6164
402.tiff,human neuroendocrine tumor,2,20245,0.2263209480531052,33.13877952755905,29723,104,104,104,104,True,64808,0.7038320492547858,8803
402.tiff,human neuroendocrine tumor,3,20183,0.2263209480531052,33.13877952755905,31042,104,104,104,104,True,64808,0.71960569550931,8704
402.tiff,human neuroendocrine tumor,4,20182,0.2263209480531052,33.13877952755905,33966,104,104,104,104,True,64808,0.27389153859742094,24663
403.tiff,human neuroendocrine tumor,0,20334,0.2268606593249555,33.059940944881895,30303,52,52,52,52,True,36861,0.14137214137214138,26019
403.tiff,human neuroendocrine tumor,1,20344,0.2268606593249555,33.059940944881895,28794,52,52,52,52,True,36861,0.3455581023824408,18844
403.tiff,human neuroendocrine tumor,2,20355,0.2268606593249555,33.059940944881895,28589,52,52,52,52,True,36861,0.1418727482598202,24533
403.tiff,human neuroendocrine tumor,3,20353,0.2268606593249555,33.059940944881895,28178,52,52,52,52,True,36861,0.3298672723401235,18883
403.tiff,human neuroendocrine tumor,4,20334,0.2268606593249555,33.059940944881895,30303,52,52,52,52,True,36861,0.14137214137214138,26019
459.tiff,canine soft tissue sarcoma,0,22441,0.2481656261296909,30.221751968503938,26152,130,130,130,130,True,92815,0.6337565004588559,9578
459.tiff,canine soft tissue sarcoma,1,22445,0.2481656261296909,30.221751968503938,21905,130,130,130,130,True,92815,0.7231682264323214,6064
459.tiff,canine soft tissue sarcoma,2,22306,0.2481656261296909,30.221751968503938,24546,130,130,130,130,True,92815,0.7496537113990059,6145
459.tiff,canine soft tissue sarcoma,3,22371,0.2481656261296909,30.221751968503938,19414,130,130,130,130,True,92815,0.7248377459565262,5342
459.tiff,canine soft tissue sarcoma,4,22305,0.2481656261296909,30.221751968503938,20990,130,130,130,130,True,92815,0.6955216769890424,6391
460.tiff,canine soft tissue sarcoma,0,22577,0.2481656261296909,30.221751968503938,20009,35,35,35,35,True,65468,0.4556949372782248,10891
460.tiff,canine soft tissue sarcoma,1,22538,0.2481656261296909,30.221751968503938,25290,35,35,35,35,True,65468,0.45895610913404505,13683
460.tiff,canine soft tissue sarcoma,2,22552,0.2481656261296909,30.221751968503938,17993,35,35,35,35,True,65468,0.4792419274162174,9370
460.tiff,canine soft tissue sarcoma,3,22537,0.2481656261296909,30.221751968503938,22948,35,35,35,35,True,65468,0.39981697751438033,13773
460.tiff,canine soft tissue sarcoma,4,22568,0.2481656261296909,30.221751968503938,23730,35,35,35,35,True,65468,0.4829751369574378,12269
529.tiff,human melanoma,0,24918,0.2268329263261596,33.0639829123214,23167,19,19,19,19,True,110302,0.3965122803988432,13981
529.tiff,human melanoma,1,24937,0.2268329263261596,33.0639829123214,22979,19,19,19,19,True,110302,0.516602114974542,11108
529.tiff,human melanoma,2,24911,0.2268329263261596,33.0639829123214,23466,19,19,19,19,True,110302,0.3965311514531663,14161
529.tiff,human melanoma,3,24909,0.2268329263261596,33.0639829123214,20405,19,19,19,19,True,110302,0.3360940945846606,13547
529.tiff,human melanoma,4,24918,0.2268329263261596,33.0639829123214,23167,19,19,19,19,True,110302,0.3965122803988432,13981
548.tiff,human melanoma,0,25804,0.2274429426126747,32.975303229224245,29162,238,238,238,238,True,62326,0.4946848638639325,14736
548.tiff,human melanoma,1,25712,0.2274429426126747,32.975303229224245,25403,238,238,238,238,True,62326,0.531787584143605,11894
548.tiff,human melanoma,2,25735,0.2274429426126747,32.975303229224245,27120,238,238,238,238,True,62326,0.45896017699115044,14673
548.tiff,human melanoma,3,25802,0.2274429426126747,32.975303229224245,26956,238,238,238,238,True,62326,0.5310876984715833,12640
548.tiff,human melanoma,4,25719,0.2274429426126747,32.975303229224245,29408,238,238,238,238,True,62326,0.5354665397170838,13661
