,mean,std,min,max,pct_of_pipeline_total
t_setup_ms,2554.692857142857,560.6803757857134,1999.5,3860.7,
t1_refine_seed_box_ms,1.0857142857142856,0.2315736894087358,0.7,1.5,0.1
t2_patch_template_build_ms,0.0,0.0,0.0,0.0,0.0
t3_template_matching_ms,992.6357142857142,147.84801763527747,774.2,1350.4,68.4
t4_threshold_peak_extraction_ms,260.2071428571429,27.173133345718075,223.7,303.9,17.9
t5_nms_selfhit_ms,195.55,64.3481127569769,106.5,322.4,13.5
t6_rank_top100_ms,0.8642857142857144,0.3342204313073883,0.6,1.8,0.1
t_stage_sum_ms,1450.3428571428572,187.34129576497836,1219.8,1870.7,
t_outer_total_ms,1450.4071428571428,187.35450750786987,1219.9,1870.8,
