,t_tm_score_total_ms,t_tm_score_total_ms,t_tm_score_total_ms,t_tm_score_total_ms,t_chromatin_od_overhead_ms,t_chromatin_od_overhead_ms,t_chromatin_od_overhead_ms,t_chromatin_od_overhead_ms,t_combined_total_ms,t_combined_total_ms,t_combined_total_ms,t_combined_total_ms,pct_overhead,pct_overhead,pct_overhead,pct_overhead
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
tumor_type,,,,,,,,,,,,,,,,
canine cutaneous mast cell tumor,1391.85,13.788582233137676,1382.1,1401.6,637.0,9.758073580374324,630.1,643.9,2028.85,23.54665581351192,2012.2,2045.5,45.75,0.21213203435596223,45.6,45.9
canine lung cancer,1448.5500000000002,91.71174951989532,1383.7,1513.4,586.95,36.55742058734442,561.1,612.8,2035.5,55.154328932550705,1996.5,2074.5,40.7,5.091168824543137,37.1,44.3
canine lymphosarcoma,1704.5,39.45655839020948,1676.6,1732.4,654.8,2.545584412271547,653.0,656.6,2359.35,36.981684656056565,2333.2,2385.5,38.45,1.0606601717798212,37.7,39.2
canine soft tissue sarcoma,1404.3,51.90163773909265,1367.6,1441.0,597.3,46.810468914549354,564.2,630.4,2001.6,5.232590180780436,1997.9,2005.3,42.650000000000006,4.879036790187179,39.2,46.1
human breast cancer,1803.9499999999998,157.89694423895594,1692.3,1915.6,700.75,61.44757928511105,657.3,744.2,2504.6499999999996,219.27381284594816,2349.6,2659.7,38.8,0.0,38.8,38.8
human melanoma,1641.05,5.58614357137379,1637.1,1645.0,666.7,21.920310216782973,651.2,682.2,2307.75,27.506453788156442,2288.3,2327.2,40.65,1.2020815280171329,39.8,41.5
human neuroendocrine tumor,1725.4,116.8140402520176,1642.8,1808.0,671.05,17.88980156401966,658.4,683.7,2396.45,99.0656600442354,2326.4,2466.5,39.0,3.676955262170049,36.4,41.6
