file_name,tumor_type,n_detections,base_size,n_retries,n_top,seed_ann_id,map_median,mad_scale,t_setup_s,t1_refine_seed_box_s,t2_patch_template_build_s,t3_template_matching_s,t4_threshold_peak_extraction_s,t5_nms_selfhit_s,t6_rank_top100_s,t_stage_sum_s,t_outer_total_s
013.tiff,human breast cancer,17724,31,0,100,254,-0.00395,0.10799,3.86073,0.00088,2e-05,1.24197,0.30393,0.32245,0.00141,1.87066,1.8708
094.tiff,human breast cancer,18628,25,0,100,2512,-0.00341,0.04558,2.70611,0.00128,4e-05,0.91943,0.28326,0.29791,0.00066,1.50258,1.50264
201.tiff,canine lung cancer,15848,51,0,100,4457,-0.02843,0.6123,2.13914,0.00108,3e-05,1.03756,0.23993,0.13537,0.00062,1.41459,1.41465
233.tiff,canine lung cancer,17449,25,0,100,5761,-0.01397,0.1566,1.99954,0.00082,2e-05,0.77425,0.23787,0.2061,0.00078,1.21983,1.21989
245.tiff,canine lymphosarcoma,17678,47,0,100,6274,-0.00741,0.21427,2.27382,0.00121,2e-05,0.95675,0.24677,0.26069,0.00084,1.46629,1.46635
246.tiff,canine lymphosarcoma,18013,41,0,100,6548,-0.00539,0.16638,2.11622,0.00148,2e-05,0.94188,0.25251,0.19535,0.00075,1.39199,1.39207
300.tiff,canine cutaneous mast cell tumor,17940,45,0,100,14581,-0.05719,0.37148,2.3385,0.00133,2e-05,0.98559,0.2339,0.14517,0.00084,1.36685,1.36691
301.tiff,canine cutaneous mast cell tumor,17710,41,0,100,14969,-0.01365,0.20158,2.22548,0.00108,2e-05,0.87026,0.22374,0.15432,0.00074,1.25017,1.25023
402.tiff,human neuroendocrine tumor,17532,29,0,100,20254,-0.05754,0.87053,2.36776,0.00068,2e-05,0.95052,0.29285,0.23658,0.00065,1.48129,1.48135
403.tiff,human neuroendocrine tumor,16150,51,1,100,20356,-0.0071,0.71813,2.41406,0.00079,2e-05,1.35039,0.28491,0.15127,0.00064,1.78802,1.78808
459.tiff,canine soft tissue sarcoma,17806,33,0,100,22441,-0.04479,0.53097,2.32712,0.00115,2e-05,0.86767,0.24002,0.15255,0.00078,1.26219,1.26225
460.tiff,canine soft tissue sarcoma,15698,47,0,100,22577,-0.16232,0.97396,2.29845,0.00115,2e-05,0.97097,0.23578,0.10651,0.00089,1.31532,1.31537
529.tiff,human melanoma,16620,37,0,100,24918,-0.05051,0.28553,3.26155,0.00121,2e-05,1.03908,0.27383,0.15955,0.0008,1.47449,1.47456
548.tiff,human melanoma,17839,29,0,100,25804,-0.06179,0.48898,3.43731,0.00087,2e-05,0.99036,0.29365,0.21375,0.00181,1.50046,1.50053
