file_name,tumor_type,n_detections,base_size,n_retries,n_top_tm,n_top_od51,seed_ann_id,map_median,mad_scale,chromatin_od_nan_rate,chromatin_od_largest_tie_block,cpu_limit_start,cpu_limit_end,t_setup_s,t1_refine_seed_box_s,t2_patch_template_build_s,t3_template_matching_s,t4_threshold_peak_extraction_s,t5_nms_selfhit_s,t6_rank_top100_s,t7a_od_pad_s,t7b_od51_loop_s,t8_chromatin_od_rank_top100_s,t_tm_score_total_s,t_chromatin_od_overhead_s,t_combined_total_s,t_outer_tm_total_s,t_outer_combined_total_s
013.tiff,human breast cancer,17724,31,0,100,100,254,-0.00395,0.10799,0.0,2,100,100,4.09857,0.00103,4e-05,1.34764,0.29957,0.26594,0.00133,0.09538,0.64661,0.00216,1.91555,0.74415,2.6597,1.91562,2.65978
094.tiff,human breast cancer,18628,25,0,100,100,2512,-0.00341,0.04558,0.0,2,100,100,3.1897,0.00086,5e-05,1.08569,0.28424,0.32052,0.00096,0.02954,0.62589,0.00187,1.69232,0.6573,2.34962,1.69241,2.34971
201.tiff,canine lung cancer,15848,51,0,100,100,4457,-0.02843,0.6123,0.0,2,100,100,2.71952,0.00115,5e-05,1.14468,0.23562,0.13076,0.00112,0.02344,0.53609,0.0016,1.51338,0.56113,2.07451,1.51352,2.07465
233.tiff,canine lung cancer,17449,25,0,100,100,5761,-0.01397,0.1566,0.0,2,100,100,2.70925,0.00113,4e-05,0.93108,0.2397,0.21087,0.00086,0.02436,0.5867,0.00175,1.38369,0.61281,1.99649,1.38376,1.99657
245.tiff,canine lymphosarcoma,17678,47,0,100,100,6274,-0.00741,0.21427,0.0,2,100,100,2.72183,0.00116,5e-05,1.14292,0.2478,0.2836,0.00102,0.02417,0.63057,0.00187,1.67655,0.6566,2.33316,1.67665,2.33326
246.tiff,canine lymphosarcoma,18013,41,0,100,100,6548,-0.00539,0.16638,0.0,2,100,100,2.711,0.00163,5e-05,1.07785,0.46292,0.18907,0.0009,0.02477,0.62624,0.00202,1.73242,0.65303,2.38545,1.73249,2.38552
300.tiff,canine cutaneous mast cell tumor,17940,45,0,100,100,14581,-0.05719,0.37148,0.0,2,100,100,2.62953,0.00229,5e-05,1.03182,0.22623,0.14024,0.00094,0.02471,0.61697,0.00226,1.40157,0.64394,2.0455,1.40164,2.04558
301.tiff,canine cutaneous mast cell tumor,17710,41,0,100,100,14969,-0.01365,0.20158,0.0,2,100,100,2.60189,0.00127,5e-05,0.99762,0.22831,0.15391,0.00095,0.02271,0.60518,0.00226,1.3821,0.63014,2.01224,1.38217,2.01231
402.tiff,human neuroendocrine tumor,17532,29,0,100,100,20254,-0.05754,0.87053,0.0,2,100,100,3.26299,0.00094,4e-05,1.12589,0.27914,0.23561,0.00113,0.07666,0.60507,0.00195,1.64275,0.68369,2.32644,1.64282,2.32651
403.tiff,human neuroendocrine tumor,16150,51,1,100,100,20356,-0.0071,0.71813,0.0,2,100,100,3.2414,0.00108,4e-05,1.38925,0.27269,0.14419,0.0008,0.09042,0.56631,0.00169,1.80805,0.65842,2.46646,1.80811,2.46653
459.tiff,canine soft tissue sarcoma,17806,33,0,100,100,22441,-0.04479,0.53097,0.0,2,100,100,2.71926,0.00156,5e-05,0.97954,0.23325,0.1523,0.00085,0.02316,0.60521,0.00201,1.36755,0.63038,1.99793,1.36761,1.998
460.tiff,canine soft tissue sarcoma,15698,47,0,100,100,22577,-0.16232,0.97396,0.0,2,100,100,2.70866,0.0014,4e-05,1.09757,0.23666,0.10421,0.00116,0.02309,0.53902,0.00214,1.44105,0.56425,2.0053,1.44112,2.00537
529.tiff,human melanoma,16620,37,0,100,100,24918,-0.05051,0.28553,0.0,2,100,100,3.84172,0.00114,3e-05,1.19889,0.28336,0.15281,0.00088,0.0774,0.57216,0.00162,1.6371,0.65118,2.28829,1.63717,2.28836
548.tiff,human melanoma,17839,29,0,100,100,25804,-0.06179,0.48898,0.0,3,100,100,4.06487,0.00088,4e-05,1.15546,0.27888,0.20852,0.00121,0.07655,0.60364,0.00199,1.64498,0.68217,2.32716,1.64505,2.32723
