subset,roi_tier,domain,file_name,image_id,seed_index,condition,seed_ann_id,click_cx,click_cy,mpp,match_radius_px,n_gt_mitotic,tpl_sha1,n_peaks,n_detections,n_self_hits,n_near_click,od_nan,od_descending,tp_at_10,tp_at_20,tp_at_30,precision_at_10,precision_at_20,precision_at_30
contested_2of3,contested_2of3,human neuroendocrine tumor,379.tiff,379,0,hem_rect_fill,19152,992.5,630.5,0.2262947355291644,33.14261811023622,4,aba71c9c90bc2d3dcbeef43f1eb4ef4fc5074e73,100,99,1,0,0,True,1,2,2,0.1,0.1,0.06666666666666667
contested_2of3,contested_2of3,human neuroendocrine tumor,379.tiff,379,1,default_51,19141,1372.0,714.0,0.2262947355291644,33.14261811023622,4,fa5f4a9df219e13a0c8d0739537eb3026447ba81,100,99,1,0,0,True,1,1,1,0.1,0.05,0.03333333333333333
contested_2of3,contested_2of3,human neuroendocrine tumor,379.tiff,379,1,hem_rect_fill,19141,1372.0,714.0,0.2262947355291644,33.14261811023622,4,f16df1e7543e5b3a93c0776779065c73fa0f8785,100,99,1,0,0,True,1,1,1,0.1,0.05,0.03333333333333333
contested_2of3,contested_2of3,human neuroendocrine tumor,379.tiff,379,2,default_51,19160,4741.0,3936.0,0.2262947355291644,33.14261811023622,4,eb6ff23574602ce81feecdf9ba1cbdcdaed8d807,100,99,1,0,0,True,1,1,2,0.1,0.05,0.06666666666666667
contested_2of3,contested_2of3,human neuroendocrine tumor,379.tiff,379,2,hem_rect_fill,19160,4741.0,3936.0,0.2262947355291644,33.14261811023622,4,ed3578aad577ea9d35e705b836c70f191f57d827,100,100,0,0,0,True,1,1,2,0.1,0.05,0.06666666666666667
contested_2of3,contested_2of3,human neuroendocrine tumor,383.tiff,383,0,default_51,19291,425.0,4162.0,0.22632094805310524,33.13877952755905,4,ae7784e8fa95a058d814a36d16c54b9256b03b07,100,96,1,0,0,True,0,0,0,0.0,0.0,0.0
contested_2of3,contested_2of3,human neuroendocrine tumor,383.tiff,383,0,hem_rect_fill,19291,425.0,4162.0,0.22632094805310524,33.13877952755905,4,c896a0822e39a6f83c8a8fa8ba6561011b50186d,100,96,1,0,0,True,0,0,0,0.0,0.0,0.0
contested_2of3,contested_2of3,human neuroendocrine tumor,383.tiff,383,1,default_51,19278,2636.5,4166.0,0.22632094805310524,33.13877952755905,4,b472df219acf138e1aabe99cf3e26cc58295f399,100,98,1,0,0,True,0,0,0,0.0,0.0,0.0
contested_2of3,contested_2of3,human neuroendocrine tumor,383.tiff,383,1,hem_rect_fill,19278,2636.5,4166.0,0.22632094805310524,33.13877952755905,4,d71c9c5e00d4aa2abb7d9b23265d5e2fa734f6f2,100,98,1,0,0,True,0,0,0,0.0,0.0,0.0
contested_2of3,contested_2of3,human neuroendocrine tumor,383.tiff,383,2,default_51,19266,312.0,4501.0,0.22632094805310524,33.13877952755905,4,0358a9048f2da6f9a2341b8b5f94f4ec1991cd9c,100,99,1,0,0,True,0,0,0,0.0,0.0,0.0
contested_2of3,contested_2of3,human neuroendocrine tumor,383.tiff,383,2,hem_rect_fill,19266,312.0,4501.0,0.22632094805310524,33.13877952755905,4,844d6f47236b28541f107684b3405605b86297cd,100,99,1,0,0,True,0,0,0,0.0,0.0,0.0
contested_2of3,contested_2of3,human neuroendocrine tumor,392.tiff,392,0,default_51,19586,352.0,1713.0,0.22632094805310524,33.13877952755905,6,64bb89b47c5ce22ced3624ac3e73047539720699,100,95,1,0,0,True,0,0,0,0.0,0.0,0.0
contested_2of3,contested_2of3,human neuroendocrine tumor,392.tiff,392,0,hem_rect_fill,19586,352.0,1713.0,0.22632094805310524,33.13877952755905,6,757b60e430aef30ce41cbcdb8ace71d29d972040,100,94,1,0,0,True,0,0,0,0.0,0.0,0.0
contested_2of3,contested_2of3,human neuroendocrine tumor,392.tiff,392,1,default_51,19582,1279.0,4637.0,0.22632094805310524,33.13877952755905,6,ef762b6888e9de9c64b5adeeb05e2f26a4c4b64a,100,97,1,0,0,True,0,0,0,0.0,0.0,0.0
contested_2of3,contested_2of3,human neuroendocrine tumor,392.tiff,392,1,hem_rect_fill,19582,1279.0,4637.0,0.22632094805310524,33.13877952755905,6,fd2f5dc9822885aa08adde337cd1239c569d1237,100,97,1,0,0,True,0,0,0,0.0,0.0,0.0
contested_2of3,contested_2of3,human neuroendocrine tumor,392.tiff,392,2,default_51,19598,992.0,3170.0,0.22632094805310524,33.13877952755905,6,d9710d699833633ecbdbe497a929c690dd5de123,100,94,0,0,0,True,0,0,0,0.0,0.0,0.0
contested_2of3,contested_2of3,human neuroendocrine tumor,392.tiff,392,2,hem_rect_fill,19598,992.0,3170.0,0.22632094805310524,33.13877952755905,6,744a0ee85d676d81c51c01280582cf801d9669c6,100,99,0,0,0,True,0,0,0,0.0,0.0,0.0
testing_35,existing_7,human neuroendocrine tumor,353.tiff,353,0,default_51,18278,185.0,1519.0,0.22744367634943946,32.9751968503937,62,f43cb5cd8385a38eb54c4ecf9d5680a83e34b561,100,94,1,0,0,True,9,14,18,0.9,0.7,0.6
testing_35,existing_7,human neuroendocrine tumor,353.tiff,353,0,hem_rect_fill,18278,185.0,1519.0,0.22744367634943946,32.9751968503937,62,d35a9b2a3abdf1b597b5856b3d75a9e6482f4397,100,94,1,0,0,True,9,14,18,0.9,0.7,0.6
testing_35,existing_7,human neuroendocrine tumor,353.tiff,353,1,default_51,18280,1073.0,1273.0,0.22744367634943946,32.9751968503937,62,ff7e5ae031263a62c0f251ff3b6d602a9dd91ca9,100,98,1,0,0,True,9,14,18,0.9,0.7,0.6
testing_35,existing_7,human neuroendocrine tumor,353.tiff,353,1,hem_rect_fill,18280,1073.0,1273.0,0.22744367634943946,32.9751968503937,62,efee1e42116f28513ab1e31bac93e1f34ec3d97d,100,98,1,0,0,True,9,13,18,0.9,0.65,0.6
testing_35,existing_7,human neuroendocrine tumor,353.tiff,353,2,default_51,18281,1131.0,1223.0,0.22744367634943946,32.9751968503937,62,89144e232490432bde3fd62fe4992de60463d681,100,99,1,0,0,True,9,16,19,0.9,0.8,0.6333333333333333
testing_35,existing_7,human neuroendocrine tumor,353.tiff,353,2,hem_rect_fill,18281,1131.0,1223.0,0.22744367634943946,32.9751968503937,62,0ef05657185259403e55b7b87f9def00153be5fa,100,99,1,0,0,True,9,15,19,0.9,0.75,0.6333333333333333
testing_35,existing_7,human neuroendocrine tumor,364.tiff,364,0,default_51,18757,961.0,1596.0,0.22632094805310524,33.13877952755905,22,d67482dac6c244fd114dcaf0d737fb28d7c605a2,100,98,1,0,0,True,5,5,5,0.5,0.25,0.16666666666666666
testing_35,existing_7,human neuroendocrine tumor,364.tiff,364,0,hem_rect_fill,18757,961.0,1596.0,0.22632094805310524,33.13877952755905,22,098a1cabe97077a2afd3d985079368d6acfda64b,100,98,1,0,0,True,5,5,5,0.5,0.25,0.16666666666666666
testing_35,existing_7,human neuroendocrine tumor,364.tiff,364,1,default_51,18766,6777.0,1057.0,0.22632094805310524,33.13877952755905,22,737addad72880d3b9b4999d93d611932eec01849,100,98,1,0,0,True,6,6,6,0.6,0.3,0.2
testing_35,existing_7,human neuroendocrine tumor,364.tiff,364,1,hem_rect_fill,18766,6777.0,1057.0,0.22632094805310524,33.13877952755905,22,cfa6444f39e1ced54dfd906ffd22fb150e03e398,100,98,1,0,0,True,5,5,5,0.5,0.25,0.16666666666666666
