roi,ann_id,base_size,area,solidity,eccentricity,cover_A_click,cover_B_component_asis,cover_C_component_fixed,move_A_click,move_B_component_asis,move_C_component_fixed
013.tiff,254,31,582,0.8447,0.8147,0.8746,0.9863,1.0,0.0,4.272,4.924
094.tiff,2512,25,399,0.9215,0.5665,0.9799,0.99,1.0,0.0,2.062,2.5
201.tiff,4457,51,1592,0.7443,0.6302,1.0,0.9881,1.0,0.0,0.5,0.5
233.tiff,5761,25,429,0.9032,0.5586,0.993,1.0,1.0,0.0,1.581,1.414
245.tiff,6274,47,1258,0.7357,0.6719,0.9269,0.9992,1.0,0.0,4.301,3.606
246.tiff,6548,41,495,0.7011,0.9078,0.8182,1.0,1.0,0.0,7.81,8.515
300.tiff,14581,45,1126,0.8003,0.261,1.0,0.9956,1.0,0.0,0.707,0.0
301.tiff,14969,41,647,0.6013,0.6641,0.9706,0.9985,1.0,0.0,6.021,5.5
402.tiff,20254,29,565,0.937,0.4616,0.9912,1.0,1.0,0.0,1.803,1.803
403.tiff,20356,51,1415,0.8328,0.674,1.0,0.9731,1.0,0.0,1.581,2.0
459.tiff,22441,33,652,0.8763,0.6072,1.0,1.0,1.0,0.0,0.0,0.707
460.tiff,22577,47,1338,0.7852,0.2969,0.9342,0.9873,1.0,0.0,4.743,4.472
529.tiff,24918,37,672,0.6985,0.5142,0.9688,0.9985,1.0,0.0,5.701,6.083
548.tiff,25804,29,589,0.9424,0.3893,0.9694,1.0,1.0,0.0,2.236,2.55
