roi,variant,seed_ann_id,n_retries,base_size,click_x,click_y,tpl_x,tpl_y,offset_px,n_gt_mitotic,n_peaks,n_after_nms,n_detections,n_detections_shr5,map_median,mad_scale,t_s
245.tiff,ungated_click,6274,0,47,6356.0,535.0,6356.0,535.0,0.0,89,86353,19192,19191,19191,0.27,0.1501,16.3
245.tiff,ungated_recentred,6274,0,47,6356.0,535.0,6359.5,537.5,4.301,89,76233,18791,18790,18790,0.2851,0.1547,12.7
245.tiff,gated_click,6274,0,47,6356.0,535.0,6356.0,535.0,0.0,89,86353,19192,19191,19191,0.27,0.1501,12.3
245.tiff,gated_recentred,6274,0,47,6356.0,535.0,6359.5,537.5,4.301,89,76233,18791,18790,18790,0.2851,0.1547,9.5
403.tiff,ungated_click,20334,0,33,4939.0,717.0,4939.0,717.0,0.0,52,58487,17237,17236,17237,0.2953,0.4263,9.9
403.tiff,ungated_recentred,20334,0,33,4939.0,717.0,4938.5,701.0,16.008,52,44919,17154,17153,17153,0.1735,0.3216,9.4
403.tiff,gated_click,20356,1,51,2227.0,2970.0,2227.0,2970.0,0.0,52,35985,16690,16689,16689,0.424,0.6702,11.6
403.tiff,gated_recentred,20356,1,51,2227.0,2970.0,2227.5,2968.5,1.581,52,39328,16407,16406,16406,0.6209,0.9117,11.3
