roi,variant,seed_ann_id,tp@10,tp@20,tp@30,tp@50,base_size,offset_px,n_retries,n_detections,prec@10,prec@20,prec@30,prec@50
245.tiff,gated_click,6274,0,2,2,3,47,0.0,0,19191,0.0,0.1,0.067,0.06
245.tiff,gated_recentred,6274,1,1,1,1,47,4.301,0,18790,0.1,0.05,0.033,0.02
245.tiff,ungated_click,6274,0,2,2,3,47,0.0,0,19191,0.0,0.1,0.067,0.06
245.tiff,ungated_recentred,6274,1,1,1,1,47,4.301,0,18790,0.1,0.05,0.033,0.02
403.tiff,gated_click,20356,4,8,11,15,51,0.0,1,16689,0.4,0.4,0.367,0.3
403.tiff,gated_recentred,20356,4,8,11,14,51,1.581,1,16406,0.4,0.4,0.367,0.28
403.tiff,ungated_click,20334,4,6,10,17,33,0.0,0,17236,0.4,0.3,0.333,0.34
403.tiff,ungated_recentred,20334,5,9,13,19,33,16.008,0,17153,0.5,0.45,0.433,0.38
