file_name,ann_id,source,domain,base_gray,base_hem,base_hybrid,hybrid_accepted,hybrid_reason,gray_mode,n_gray_selected,hem_mode,n_hem_included,n_hem_candidates,hem_otsu_thresh,hem_thresh,gray_otsu_thresh,gray_thresh,gray_area,gray_dilated_area,area_gray,area_hem,union_area
300.tiff,14575,tightening_process_hem_vs_gray,canine cutaneous mast cell tumor,33.0,19.0,29,True,,base (click on gray foreground),1,"fallback (click's hem component alone tightens to 19px < 20px, 3.0um = 11.8px search)",3,5,78.0,98.45518472677364,143.0,158.26267803116227,367,462,435.0,149.0,185
245.tiff,6243,tightening_process_hem_vs_gray,canine lymphosarcoma,51.0,35.0,31,True,,base (click on gray foreground),1,"fallback (click's hem component alone tightens to 19px < 20px, 3.0um = 12.1px search)",4,4,74.0,90.311287578423,154.0,164.53513133959416,1102,1385,1276.0,416.0,271
529.tiff,24918,original_14,human melanoma,37.0,33.0,31,True,,base (click on gray foreground),1,"base (click on hem foreground, component large enough alone)",1,1,84.0,98.7616309551497,152.0,167.19153267511652,578,719,672.0,500.0,436
301.tiff,14969,original_14,canine cutaneous mast cell tumor,41.0,33.0,31,True,,base (click on gray foreground),1,"base (click on hem foreground, component large enough alone)",1,1,75.0,90.47315287563114,145.0,159.03047956965088,457,617,647.0,417.0,306
459.tiff,22441,original_14,canine soft tissue sarcoma,33.0,31.0,31,True,,base (click on gray foreground),1,"base (click on hem foreground, component large enough alone)",1,1,91.0,106.42461199137867,166.0,178.12459884589632,623,725,652.0,606.0,574
402.tiff,20258,tightening_process_hem_vs_gray,human neuroendocrine tumor,51.0,33.0,33,True,,base (click on gray foreground),1,"base (click on hem foreground, component large enough alone)",1,1,104.0,116.82545221653639,145.0,163.14765648868627,923,1141,1215.0,545.0,514
245.tiff,6274,tightening_process_hem_vs_gray,canine lymphosarcoma,47.0,,33,True,,base (click on gray foreground),1,"fallback (click on hem background, 3.0um = 12.1px search)",3,3,91.0,109.9564188816434,153.0,166.15552477292846,737,900,1258.0,,320
460.tiff,22577,original_14,canine soft tissue sarcoma,47.0,41.0,37,True,,base (click on gray foreground),1,"base (click on hem foreground, component large enough alone)",1,1,79.0,96.24440093775027,134.0,151.92699666135383,1216,1413,1338.0,645.0,535
459.tiff,22446,tightening_process_hem_vs_gray,canine soft tissue sarcoma,41.0,39.0,39,True,,base (click on gray foreground),1,"base (click on hem foreground, component large enough alone)",1,1,99.0,115.39509642034672,166.0,176.9929397912639,811,936,838.0,748.0,683
013.tiff,249,original_14,human breast cancer,39.0,39.0,39,True,,base (click on gray foreground),1,"base (click on hem foreground, component large enough alone)",1,1,84.0,101.98120309147473,139.0,151.00900490188693,972,1083,998.0,934.0,850
013.tiff,243,tightening_process_hem_vs_gray,human breast cancer,,,41,True,,"fallback (click on gray background, 3.0um = 13.3px search)",3,"fallback (click on hem background, 3.0um = 13.3px search)",2,2,91.0,111.00479349668981,140.0,156.2102115639546,435,551,,,317
