file_name,method,seed_ann_id,channel,mpp,tightened_base_size,bbox_method,bbox_center_tolerance,tighten_bbox,seed_agreement_flagged,seed_n_agreement_pool,seed_n_after_border,seed_n_after_foreground,match_radius_px,n_gt_mitotic_eval,recall_at_k,roi_area_mm2,sens@1fp_mm2,sens@2fp_mm2,sens@4fp_mm2,sens@8fp_mm2,sens@16fp_mm2,sens@32fp_mm2,sens@64fp_mm2,k,topk_tp,topk_fp_lookalike,topk_fp_unannotated,n_lookalike_gt,lookalike_attraction_at_k,n_mitotic_gt,mitotic_recall_at_k,lookalike_attraction,mitotic_recall,n_detections_total,n_unanimous,recall_unanimous_at_k,n_contested,recall_contested_at_k,recall_unanimous,recall_contested,all_n_detections,all_tp,all_fp_lookalike,all_fp_unannotated,all_matched_any_gt,all_matched_frac,all_precision_mitotic,all_mitotic_gt_found,all_mitotic_gt_missed,all_lookalike_gt_found,all_lookalike_gt_missed,coverage_frac,nms_radius,n_augmentations,t_match_s,n_peaks,max_peak_score,n_after_nms,n_self_hits,seed_self_score,n_detections,max_detection_score,t_postprocess_s,t_total_s,tissue_fraction,tumor_type,mitotic_recall_at_matcher_budget,matcher_budget,budget_delivered
301.tiff,find_and_suppress,14976,rgb,0.2533,35.0,binary,0.0,True,False,164.0,162.0,136.0,29.6,217,0.30414746543778803,2.0,0.02304147465437788,0.09216589861751152,0.11981566820276497,0.11981566820276497,0.15668202764976957,0.2350230414746544,0.2672811059907834,217,66,15,136,109,0.13761467889908258,217,0.30414746543778803,0.24770642201834864,0.5023041474654378,881,163,0.3558282208588957,54,0.14814814814814814,0.5337423312883436,0.4074074074074074,881,109,27,745,136,0.15437003405203817,0.12372304199758942,109,108,27,82,0.0752,29.61,1.0,4.77,891.0,1.0,882.0,1.0,1.0,881.0,0.9043563008308411,0.36,5.2,0.9967,canine cutaneous mast cell tumor,,,
301.tiff,nucleus_blobs,-1,hematoxylin,0.2533,,,,,,,,,29.6,217,0.5944700460829493,2.0,0.009216589861751152,0.09216589861751152,0.18433179723502305,0.2304147465437788,0.3824884792626728,0.511520737327189,0.6405529953917051,217,129,32,56,109,0.29357798165137616,217,0.5944700460829493,0.981651376146789,1.0,20370,163,0.6380368098159509,54,0.46296296296296297,1.0,1.0,20370,217,107,20046,324,0.015905743740794506,0.01065292096219879,217,0,107,2,0.9359,,,,,,,,,,,,,0.9967,canine cutaneous mast cell tumor,0.9216589861751152,881.0,881.0
301.tiff,random_in_tissue,-1,-,0.2533,,,,,,,,,29.6,217,0.018433179723502304,2.0,0.0,0.0,0.0,0.0,0.0,0.004608294930875576,0.013824884792626729,217,4,4,209,109,0.03669724770642202,217,0.018433179723502304,0.11009174311926606,0.055299539170506916,881,163,0.012269938650306749,54,0.037037037037037035,0.05521472392638037,0.05555555555555555,881,12,12,857,24,0.02724177071506556,0.01362088535753278,12,205,12,97,0.0741,,,,,,,,,,,,,0.9967,canine cutaneous mast cell tumor,,,
201.tiff,find_and_suppress,4469,rgb,0.2482,51.0,binary,0.0,True,False,7.0,7.0,6.0,30.2,17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0,0,49,0.0,17,0.0,0.0,0.0,0,6,0.0,11,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,17,0,49,0.0,30.22,1.0,4.7,1.0,1.0,1.0,1.0,1.0,0.0,,0.27,5.0,0.9287,canine lung cancer,,,
201.tiff,nucleus_blobs,-1,hematoxylin,0.2482,,,,,,,,,30.2,17,0.23529411764705882,2.0,0.0,0.058823529411764705,0.11764705882352941,0.35294117647058826,0.4117647058823529,0.47058823529411764,0.5294117647058824,17,4,3,10,49,0.061224489795918366,17,0.23529411764705882,0.7551020408163265,0.8823529411764706,12446,6,0.3333333333333333,11,0.18181818181818182,0.8333333333333334,0.9090909090909091,12446,15,37,12394,52,0.00417804917242454,0.0012052064920455403,15,2,37,12,0.7577,,,,,,,,,,,,,0.9287,canine lung cancer,0.0,0.0,0.0
201.tiff,random_in_tissue,-1,-,0.2482,,,,,,,,,30.2,17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0,0,49,0.0,17,0.0,0.0,0.0,0,6,0.0,11,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,17,0,49,0.0,,,,,,,,,,,,,0.9287,canine lung cancer,,,
246.tiff,find_and_suppress,6549,rgb,0.2482,51.0,binary,0.0,True,False,100.0,97.0,87.0,30.2,115,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,0,0,0,123,0.0,115,0.0,0.0,0.0,0,99,0.0,16,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,115,0,123,0.0,30.22,1.0,4.06,1.0,1.0,1.0,1.0,1.0,0.0,,0.19,4.3,0.9996,canine lymphosarcoma,,,
246.tiff,nucleus_blobs,-1,hematoxylin,0.2482,,,,,,,,,30.2,115,0.33043478260869563,2.0,0.008695652173913044,0.02608695652173913,0.034782608695652174,0.12173913043478261,0.20869565217391303,0.2956521739130435,0.4434782608695652,115,38,16,61,123,0.13008130081300814,115,0.33043478260869563,1.0,0.9652173913043478,21059,99,0.36363636363636365,16,0.125,0.9696969696969697,0.9375,21059,111,123,20825,234,0.011111638729283864,0.0052709055510705505,111,4,123,0,0.9166,,,,,,,,,,,,,0.9996,canine lymphosarcoma,0.0,0.0,0.0
246.tiff,random_in_tissue,-1,-,0.2482,,,,,,,,,30.2,115,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,0,0,0,123,0.0,115,0.0,0.0,0.0,0,99,0.0,16,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,115,0,123,0.0,,,,,,,,,,,,,0.9996,canine lymphosarcoma,,,
405.tiff,find_and_suppress,20562,rgb,0.2482,51.0,binary,0.0,True,False,10.0,10.0,8.0,30.2,13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,13,19,0.0,13,0.0,0.10526315789473684,0.0,51,9,0.0,4,0.0,0.0,0.0,51,0,2,49,2,0.03921568627374087,0.0,0,13,2,17,0.0045,30.22,1.0,4.24,52.0,1.0,52.0,1.0,1.0,51.0,0.8286733031272888,0.2,4.5,0.7831,canine soft tissue sarcoma,,,
