file_name,ranker,pick_row,n_mit,read_95,rec_at_1000
246.tiff,proto_8feat,1269,114,2590,0.6578947368421053
246.tiff,proto_3chrom,1269,114,5415,0.02631578947368421
246.tiff,proto_8feat,367,114,1482,0.8947368421052632
246.tiff,proto_3chrom,367,114,1393,0.9210526315789473
246.tiff,proto_8feat,161,114,1746,0.9035087719298246
246.tiff,proto_3chrom,161,114,1437,0.9210526315789473
246.tiff,proto_8feat,3909,114,14118,0.03508771929824561
246.tiff,proto_3chrom,3909,114,2515,0.10526315789473684
246.tiff,proto_8feat,4538,114,2139,0.6403508771929824
246.tiff,proto_3chrom,4538,114,2244,0.14035087719298245
246.tiff,proto_8feat,37,114,1833,0.8771929824561403
246.tiff,proto_3chrom,37,114,1441,0.9210526315789473
246.tiff,proto_8feat,840,114,1937,0.8596491228070176
246.tiff,proto_3chrom,840,114,1323,0.9298245614035088
246.tiff,proto_8feat,100,114,1514,0.8947368421052632
246.tiff,proto_3chrom,100,114,1466,0.9210526315789473
246.tiff,proto_8feat,615,114,1665,0.8508771929824561
246.tiff,proto_3chrom,615,114,1455,0.9210526315789473
246.tiff,proto_8feat,94,114,1562,0.9122807017543859
246.tiff,proto_3chrom,94,114,1428,0.9210526315789473
246.tiff,proto_8feat,240,114,1652,0.9035087719298246
246.tiff,proto_3chrom,240,114,1441,0.9210526315789473
246.tiff,proto_8feat,30,114,1365,0.8947368421052632
246.tiff,proto_3chrom,30,114,1441,0.9210526315789473
246.tiff,proto_8feat,1059,114,1955,0.8596491228070176
246.tiff,proto_3chrom,1059,114,1451,0.9210526315789473
246.tiff,proto_8feat,1,114,1500,0.8859649122807017
246.tiff,proto_3chrom,1,114,1444,0.9210526315789473
246.tiff,proto_8feat,595,114,1914,0.868421052631579
246.tiff,proto_3chrom,595,114,1437,0.9210526315789473
246.tiff,proto_8feat,1411,114,2061,0.8508771929824561
246.tiff,proto_3chrom,1411,114,1393,0.9210526315789473
246.tiff,proto_8feat,4367,114,1765,0.7982456140350878
246.tiff,proto_3chrom,4367,114,1399,0.9298245614035088
246.tiff,proto_8feat,135,114,1901,0.8771929824561403
246.tiff,proto_3chrom,135,114,1449,0.9210526315789473
246.tiff,proto_8feat,542,114,2102,0.7719298245614035
246.tiff,proto_3chrom,542,114,2257,0.12280701754385964
246.tiff,proto_8feat,43,114,1723,0.8771929824561403
246.tiff,proto_3chrom,43,114,1444,0.9210526315789473
246.tiff,proto_8feat,18,114,1732,0.8947368421052632
246.tiff,proto_3chrom,18,114,1405,0.9210526315789473
246.tiff,proto_8feat,159,114,1610,0.868421052631579
246.tiff,proto_3chrom,159,114,1447,0.9210526315789473
246.tiff,proto_8feat,6,114,1437,0.8947368421052632
246.tiff,proto_3chrom,6,114,1466,0.9210526315789473
246.tiff,proto_8feat,128,114,2096,0.8596491228070176
246.tiff,proto_3chrom,128,114,1438,0.9210526315789473
246.tiff,proto_8feat,141,114,1654,0.8947368421052632
246.tiff,proto_3chrom,141,114,1444,0.9210526315789473
246.tiff,proto_8feat,296,114,1855,0.8508771929824561
246.tiff,proto_3chrom,296,114,1354,0.3333333333333333
246.tiff,proto_8feat,0,114,1846,0.8859649122807017
246.tiff,proto_3chrom,0,114,1443,0.9210526315789473
246.tiff,proto_8feat,95,114,1482,0.8859649122807017
246.tiff,proto_3chrom,95,114,1444,0.9210526315789473
246.tiff,proto_8feat,3,114,1408,0.9035087719298246
246.tiff,proto_3chrom,3,114,1445,0.9210526315789473
246.tiff,proto_8feat,798,114,2388,0.6666666666666666
246.tiff,proto_3chrom,798,114,4000,0.008771929824561403
459.tiff,proto_8feat,964,129,10640,0.5581395348837209
459.tiff,proto_3chrom,964,129,8972,0.8217054263565892
459.tiff,proto_8feat,1116,129,6270,0.5038759689922481
459.tiff,proto_3chrom,1116,129,8545,0.8062015503875969
459.tiff,proto_8feat,598,129,6788,0.3875968992248062
459.tiff,proto_3chrom,598,129,8118,0.27906976744186046
459.tiff,proto_8feat,542,129,10026,0.5038759689922481
459.tiff,proto_3chrom,542,129,8981,0.8217054263565892
459.tiff,proto_8feat,1587,129,9114,0.3023255813953488
459.tiff,proto_3chrom,1587,129,8576,0.8062015503875969
459.tiff,proto_8feat,72,129,7188,0.6046511627906976
459.tiff,proto_3chrom,72,129,8667,0.8062015503875969
459.tiff,proto_8feat,4230,129,16773,0.06976744186046512
459.tiff,proto_3chrom,4230,129,15243,0.023255813953488372
459.tiff,proto_8feat,274,129,7552,0.40310077519379844
459.tiff,proto_3chrom,274,129,8648,0.8062015503875969
459.tiff,proto_8feat,1999,129,8100,0.34108527131782945
459.tiff,proto_3chrom,1999,129,8248,0.14728682170542637
459.tiff,proto_8feat,216,129,8979,0.5813953488372093
459.tiff,proto_3chrom,216,129,8743,0.8062015503875969
459.tiff,proto_8feat,874,129,6148,0.4263565891472868
459.tiff,proto_3chrom,874,129,8315,0.7674418604651163
459.tiff,proto_8feat,60,129,7339,0.46511627906976744
459.tiff,proto_3chrom,60,129,8620,0.8062015503875969
459.tiff,proto_8feat,4262,129,15285,0.10077519379844961
459.tiff,proto_3chrom,4262,129,10832,0.023255813953488372
459.tiff,proto_8feat,4,129,6907,0.5193798449612403
459.tiff,proto_3chrom,4,129,8645,0.8062015503875969
459.tiff,proto_8feat,1619,129,8720,0.6201550387596899
459.tiff,proto_3chrom,1619,129,8667,0.8062015503875969
459.tiff,proto_8feat,5062,129,11394,0.20155038759689922
459.tiff,proto_3chrom,5062,129,7796,0.07751937984496124
459.tiff,proto_8feat,11077,129,20842,0.05426356589147287
459.tiff,proto_3chrom,11077,129,20793,0.015503875968992248
459.tiff,proto_8feat,476,129,6467,0.4883720930232558
459.tiff,proto_3chrom,476,129,8717,0.8062015503875969
459.tiff,proto_8feat,1232,129,9488,0.4496124031007752
459.tiff,proto_3chrom,1232,129,8562,0.8062015503875969
459.tiff,proto_8feat,75,129,7267,0.6511627906976745
459.tiff,proto_3chrom,75,129,8636,0.8062015503875969
459.tiff,proto_8feat,39,129,9274,0.5581395348837209
459.tiff,proto_3chrom,39,129,9206,0.813953488372093
459.tiff,proto_8feat,587,129,11553,0.4186046511627907
459.tiff,proto_3chrom,587,129,9199,0.8217054263565892
459.tiff,proto_8feat,16,129,8676,0.5348837209302325
459.tiff,proto_3chrom,16,129,8896,0.813953488372093
459.tiff,proto_8feat,439,129,8504,0.2558139534883721
459.tiff,proto_3chrom,439,129,8660,0.8062015503875969
459.tiff,proto_8feat,530,129,11974,0.4496124031007752
459.tiff,proto_3chrom,530,129,9410,0.7751937984496124
459.tiff,proto_8feat,982,129,10036,0.5813953488372093
459.tiff,proto_3chrom,982,129,8649,0.8062015503875969
459.tiff,proto_8feat,0,129,7819,0.5348837209302325
459.tiff,proto_3chrom,0,129,8725,0.8062015503875969
459.tiff,proto_8feat,241,129,11191,0.46511627906976744
459.tiff,proto_3chrom,241,129,9211,0.813953488372093
459.tiff,proto_8feat,9,129,6282,0.4883720930232558
459.tiff,proto_3chrom,9,129,8580,0.8062015503875969
459.tiff,proto_8feat,3584,129,8204,0.11627906976744186
459.tiff,proto_3chrom,3584,129,6926,0.031007751937984496
094.tiff,proto_8feat,324,80,2342,0.8
094.tiff,proto_3chrom,324,80,1263,0.9375
094.tiff,proto_8feat,354,80,1876,0.7875
094.tiff,proto_3chrom,354,80,1264,0.9375
094.tiff,proto_8feat,226,80,2223,0.7875
094.tiff,proto_3chrom,226,80,1257,0.9375
094.tiff,proto_8feat,264,80,2084,0.8125
094.tiff,proto_3chrom,264,80,1260,0.9375
094.tiff,proto_8feat,737,80,2278,0.8125
094.tiff,proto_3chrom,737,80,1259,0.9375
094.tiff,proto_8feat,32,80,2048,0.8
094.tiff,proto_3chrom,32,80,1260,0.9375
094.tiff,proto_8feat,919,80,2116,0.525
094.tiff,proto_3chrom,919,80,1268,0.9375
094.tiff,proto_8feat,74,80,2124,0.8125
094.tiff,proto_3chrom,74,80,1262,0.9375
094.tiff,proto_8feat,625,80,1996,0.6625
094.tiff,proto_3chrom,625,80,1172,0.9375
094.tiff,proto_8feat,57,80,2239,0.8
094.tiff,proto_3chrom,57,80,1261,0.9375
094.tiff,proto_8feat,1365,80,2119,0.7375
094.tiff,proto_3chrom,1365,80,1239,0.775
094.tiff,proto_8feat,26,80,1913,0.8125
094.tiff,proto_3chrom,26,80,1263,0.9375
094.tiff,proto_8feat,1114,80,2666,0.35
094.tiff,proto_3chrom,1114,80,1250,0.9375
094.tiff,proto_8feat,1,80,2034,0.75
094.tiff,proto_3chrom,1,80,1262,0.9375
094.tiff,proto_8feat,689,80,2184,0.725
094.tiff,proto_3chrom,689,80,1207,0.9375
094.tiff,proto_8feat,100,80,1943,0.8
094.tiff,proto_3chrom,100,80,1283,0.9375
094.tiff,proto_8feat,2129,80,2133,0.6
094.tiff,proto_3chrom,2129,80,2184,0.0625
094.tiff,proto_8feat,1240,80,1743,0.8125
094.tiff,proto_3chrom,1240,80,1176,0.9375
094.tiff,proto_8feat,4051,80,13816,0.0
094.tiff,proto_3chrom,4051,80,7781,0.0
094.tiff,proto_8feat,36,80,2211,0.7875
094.tiff,proto_3chrom,36,80,1263,0.9375
094.tiff,proto_8feat,20,80,2179,0.8125
094.tiff,proto_3chrom,20,80,1262,0.9375
094.tiff,proto_8feat,136,80,1949,0.825
094.tiff,proto_3chrom,136,80,1261,0.9375
094.tiff,proto_8feat,8,80,2102,0.8
094.tiff,proto_3chrom,8,80,1262,0.9375
094.tiff,proto_8feat,78,80,2180,0.8125
094.tiff,proto_3chrom,78,80,1263,0.9375
094.tiff,proto_8feat,108,80,2031,0.7875
094.tiff,proto_3chrom,108,80,1262,0.9375
094.tiff,proto_8feat,267,80,1827,0.8
094.tiff,proto_3chrom,267,80,1223,0.9375
094.tiff,proto_8feat,1456,80,3678,0.275
094.tiff,proto_3chrom,1456,80,1235,0.9375
094.tiff,proto_8feat,54,80,2321,0.8
094.tiff,proto_3chrom,54,80,1263,0.9375
094.tiff,proto_8feat,4,80,1987,0.7875
094.tiff,proto_3chrom,4,80,1262,0.9375
094.tiff,proto_8feat,1629,80,3607,0.2
094.tiff,proto_3chrom,1629,80,9177,0.0125
548.tiff,proto_8feat,332,237,3952,0.39662447257383965
548.tiff,proto_3chrom,332,237,2398,0.9113924050632911
548.tiff,proto_8feat,1128,237,1763,0.7130801687763713
548.tiff,proto_3chrom,1128,237,2384,0.9113924050632911
548.tiff,proto_8feat,1644,237,2745,0.6751054852320675
548.tiff,proto_3chrom,1644,237,5468,0.008438818565400843
548.tiff,proto_8feat,237,237,1936,0.8312236286919831
548.tiff,proto_3chrom,237,237,2363,0.9113924050632911
548.tiff,proto_8feat,421,237,2007,0.810126582278481
548.tiff,proto_3chrom,421,237,2103,0.4008438818565401
548.tiff,proto_8feat,99,237,1619,0.8860759493670886
548.tiff,proto_3chrom,99,237,2384,0.9113924050632911
548.tiff,proto_8feat,1016,237,2513,0.70042194092827
548.tiff,proto_3chrom,1016,237,4216,0.03375527426160337
548.tiff,proto_8feat,189,237,4016,0.6413502109704642
548.tiff,proto_3chrom,189,237,2414,0.9113924050632911
548.tiff,proto_8feat,689,237,3717,0.3670886075949367
548.tiff,proto_3chrom,689,237,2369,0.9113924050632911
548.tiff,proto_8feat,144,237,2195,0.810126582278481
548.tiff,proto_3chrom,144,237,2362,0.9113924050632911
548.tiff,proto_8feat,299,237,1783,0.810126582278481
548.tiff,proto_3chrom,299,237,2323,0.9156118143459916
548.tiff,proto_8feat,87,237,3543,0.7130801687763713
548.tiff,proto_3chrom,87,237,2415,0.9113924050632911
548.tiff,proto_8feat,880,237,2177,0.7383966244725738
548.tiff,proto_3chrom,880,237,2275,0.919831223628692
548.tiff,proto_8feat,4,237,2783,0.810126582278481
548.tiff,proto_3chrom,4,237,2409,0.9113924050632911
548.tiff,proto_8feat,465,237,1718,0.8776371308016878
548.tiff,proto_3chrom,465,237,2389,0.9113924050632911
548.tiff,proto_8feat,218,237,2352,0.7890295358649789
548.tiff,proto_3chrom,218,237,2363,0.9113924050632911
548.tiff,proto_8feat,14,237,2071,0.810126582278481
548.tiff,proto_3chrom,14,237,2378,0.9113924050632911
548.tiff,proto_8feat,231,237,1657,0.7763713080168776
548.tiff,proto_3chrom,231,237,2389,0.9113924050632911
548.tiff,proto_8feat,374,237,1681,0.8776371308016878
548.tiff,proto_3chrom,374,237,2345,0.9113924050632911
