roi,depth100,n_tp,n_fp_band,tp_med,fp_med,del@1.00,del@0.99,del@0.98,del@0.95
548.tiff,7950,236,7618,0.889437921066834,0.8271381299341687,0.023496980834864793,0.14715148332895772,0.26030454187450774,0.32948280388553425
301.tiff,15930,214,11689,0.55820243498518,0.5088671563321032,0.05697664470870049,0.10762255111643425,0.12516040722046368,0.16973222687997264
094.tiff,4053,79,3895,0.48478147361844975,0.42405547336891153,0.22670089858793324,0.2331193838254172,0.2562259306803594,0.389216944801027
245.tiff,16227,89,11837,0.29085846474823523,0.2877357564392956,0.0033792346033623384,0.008701529103658021,0.019599560699501563,0.0514488468361916
402.tiff,5458,103,5282,0.9502893649025467,0.9022847659544446,0.09712230215827339,0.1266565694812571,0.1541082923135176,0.39681938659598637
459.tiff,15467,128,11716,0.490324319944174,0.5292554398228215,0.0003414134516899966,0.0015363605326049847,0.002816660976442472,0.005633321952884944
246.tiff,6269,111,6056,0.38035885625810706,0.3778577355967026,0.010402906208718626,0.010733157199471599,0.011723910171730516,0.017338177014531043
