file_name,tumor_type,arm_tag,arm,axis,budget,n_seeds,mean,sd,min,max,range,seed_pool_size,n_gt_mitotic,granularity_1_over_n
013.tiff,human breast cancer,pad_off,chromatin_od@pad_off,chromatin_od,50,5,0.7176470588235293,0.14043925160368612,0.47058823529411764,0.8235294117647058,0.3529411764705882,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_off,chromatin_od@pad_off,chromatin_od,100,5,0.9294117647058824,0.026306682088232825,0.8823529411764706,0.9411764705882353,0.05882352941176472,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_off,chromatin_od@pad_off,chromatin_od,250,5,1.0,0.0,1.0,1.0,0.0,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_off,chromatin_od@pad_off,chromatin_od,500,5,1.0,0.0,1.0,1.0,0.0,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_off,chromatin_od@pad_off,chromatin_od,1000,5,1.0,0.0,1.0,1.0,0.0,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_off,tm_score@pad_off,tm_score,50,5,0.5529411764705883,0.12197906678428069,0.47058823529411764,0.7647058823529411,0.2941176470588235,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_off,tm_score@pad_off,tm_score,100,5,0.7294117647058823,0.11466816876245838,0.5882352941176471,0.8823529411764706,0.2941176470588235,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_off,tm_score@pad_off,tm_score,250,5,0.8352941176470589,0.12752637287458116,0.6470588235294118,0.9411764705882353,0.2941176470588235,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_off,tm_score@pad_off,tm_score,500,5,0.9411764705882353,0.08318903308077032,0.8235294117647058,1.0,0.17647058823529416,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_off,tm_score@pad_off,tm_score,1000,5,0.9882352941176471,0.026306682088232825,0.9411764705882353,1.0,0.05882352941176472,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_on,chromatin_od@pad_on,chromatin_od,50,5,0.7176470588235293,0.14043925160368612,0.47058823529411764,0.8235294117647058,0.3529411764705882,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_on,chromatin_od@pad_on,chromatin_od,100,5,0.9294117647058824,0.026306682088232825,0.8823529411764706,0.9411764705882353,0.05882352941176472,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_on,chromatin_od@pad_on,chromatin_od,250,5,1.0,0.0,1.0,1.0,0.0,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_on,chromatin_od@pad_on,chromatin_od,500,5,1.0,0.0,1.0,1.0,0.0,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_on,chromatin_od@pad_on,chromatin_od,1000,5,1.0,0.0,1.0,1.0,0.0,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_on,tm_score@pad_on,tm_score,50,5,0.5529411764705883,0.12197906678428069,0.47058823529411764,0.7647058823529411,0.2941176470588235,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_on,tm_score@pad_on,tm_score,100,5,0.7176470588235294,0.11314931800983141,0.5882352941176471,0.8823529411764706,0.2941176470588235,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_on,tm_score@pad_on,tm_score,250,5,0.8235294117647058,0.11764705882352941,0.6470588235294118,0.9411764705882353,0.2941176470588235,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_on,tm_score@pad_on,tm_score,500,5,0.9411764705882353,0.08318903308077032,0.8235294117647058,1.0,0.17647058823529416,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_on,tm_score@pad_on,tm_score,1000,5,0.9882352941176471,0.026306682088232825,0.9411764705882353,1.0,0.05882352941176472,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,50,5,0.7176470588235293,0.14043925160368612,0.47058823529411764,0.8235294117647058,0.3529411764705882,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,100,5,0.9294117647058824,0.026306682088232825,0.8823529411764706,0.9411764705882353,0.05882352941176472,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,250,5,0.9882352941176471,0.02630668208823283,0.9411764705882353,1.0,0.05882352941176472,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,500,5,0.9882352941176471,0.02630668208823283,0.9411764705882353,1.0,0.05882352941176472,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,1000,5,0.9882352941176471,0.02630668208823283,0.9411764705882353,1.0,0.05882352941176472,11,17,0.058823529411764705
013.tiff,human breast cancer,pad_on_dropband,tm_score@pad_on_dropband,tm_score,50,5,0.5529411764705883,0.12197906678428069,0.47058823529411764,0.7647058823529411,0.2941176470588235,11,17,0.058823529411764705
