subset,domain,file_name,condition,n_seeds,seed_ann_ids,base_sizes,tpl_offsets_px,min_n_detections,tp_at_10,tp_at_20,tp_at_30,precision_at_10,precision_at_20,precision_at_30
original_14,canine cutaneous mast cell tumor,300.tiff,default_51,3,14499;14578;14553,51;51;51,0;0;0,99,27,56,81,0.9,0.9333333333333333,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,gray_bbox,3,14499;14578;14553,49;27;43,2.5;3.64;2.5,97,29,57,84,0.9666666666666667,0.95,0.9333333333333333
original_14,canine cutaneous mast cell tumor,300.tiff,hem_bbox,3,14499;14578;14553,25;21;25,4.123;3.202;2.236,95,28,54,80,0.9333333333333333,0.9,0.8888888888888888
original_14,canine cutaneous mast cell tumor,301.tiff,default_51,3,14969;14874;14782,51;51;51,0;0;0,93,22,48,73,0.7333333333333333,0.8,0.8111111111111111
original_14,canine cutaneous mast cell tumor,301.tiff,gray_bbox,3,14969;14874;14782,41;29;23,5.5;3.536;3.606,96,25,54,83,0.8333333333333334,0.9,0.9222222222222223
original_14,canine cutaneous mast cell tumor,301.tiff,hem_bbox,3,14969;14874;14782,33;25;19,4.5;2.693;2.693,95,25,52,80,0.8333333333333334,0.8666666666666667,0.8888888888888888
testing_35,canine cutaneous mast cell tumor,322.tiff,default_51,3,16292;16270;16265,51;51;51,0;0;0,98,24,41,46,0.8,0.6833333333333333,0.5111111111111111
testing_35,canine cutaneous mast cell tumor,322.tiff,gray_bbox,3,16292;16270;16265,29;41;31,3.536;1.581;2.062,98,24,39,41,0.8,0.65,0.45555555555555555
testing_35,canine cutaneous mast cell tumor,322.tiff,hem_bbox,3,16292;16270;16265,25;29;27,2.915;2.062;1.5,98,24,34,35,0.8,0.5666666666666667,0.3888888888888889
testing_35,canine cutaneous mast cell tumor,337.tiff,default_51,3,17124;17129;17118,51;51;51,0;0;0,99,24,33,38,0.8,0.55,0.4222222222222222
testing_35,canine cutaneous mast cell tumor,337.tiff,gray_bbox,3,17124;17129;17118,43;45;37,6.727;3.64;1.414,98,24,34,38,0.8,0.5666666666666667,0.4222222222222222
testing_35,canine cutaneous mast cell tumor,337.tiff,hem_bbox,3,17124;17129;17118,19;21;21,2.236;0.5;2.121,95,21,26,27,0.7,0.43333333333333335,0.3
