subset,file_name,domain,image_id,seed_index,condition,seed_ann_id,click_cx,click_cy,base_size,tpl_cx,tpl_cy,tpl_offset_px,tpl_sha1,n_agreement_pool,n_after_border,n_joint_valid,n_seed_pool,n_retries,refused_draws,contested_seed_tier,n_gt_mitotic,nearest_other_ann_px,n_peaks,max_peaks_binding,n_detections,n_blanked_px,n_near_click,near_click_detail,od_nan,od_descending,match_radius_px,mpp,t_pipeline_s,tp_at_10,tp_at_20,tp_at_30,precision_at_10,precision_at_20,precision_at_30
original_14,301.tiff,canine cutaneous mast cell tumor,301,2,gray_bbox,14782,6325.0,82.0,23,6327.0,85.0,3.606,dfda41e2bb6a6dbad1ee96258f36008de1ac6fc0,164,162,122,160,1,14819:gray_bbox+hem_bbox,False,217,203.02,100,True,96,529,0,,0,True,29.609055118110238,0.2533008895448562,2.9,9,19,29,0.9,0.95,0.9666666666666667
original_14,301.tiff,canine cutaneous mast cell tumor,301,2,hem_bbox,14782,6325.0,82.0,19,6326.0,84.5,2.693,f078a57441c3996c349eba14aa96ed3465240a05,164,162,122,160,1,14819:gray_bbox+hem_bbox,False,217,203.02,100,True,95,361,0,,0,True,29.609055118110238,0.2533008895448562,2.9,9,19,28,0.9,0.95,0.9333333333333333
testing_35,322.tiff,canine cutaneous mast cell tumor,322,0,default_51,16292,2677.0,483.0,51,2677.0,483.0,0.0,ed220061df4d6d8e95189123d2b53908948adfe9,23,23,16,23,1,16277:gray_bbox+hem_bbox,False,22,247.83,100,True,100,2601,0,,0,True,29.609055118110238,0.2533008895448562,3.8,8,14,16,0.8,0.7,0.5333333333333333
testing_35,322.tiff,canine cutaneous mast cell tumor,322,0,gray_bbox,16292,2677.0,483.0,29,2679.5,480.5,3.536,76cca49d0fee646e528b4ff9bcc84d03ab461bed,23,23,16,23,1,16277:gray_bbox+hem_bbox,False,22,247.83,100,True,99,841,0,,0,True,29.609055118110238,0.2533008895448562,5.2,8,12,12,0.8,0.6,0.4
testing_35,322.tiff,canine cutaneous mast cell tumor,322,0,hem_bbox,16292,2677.0,483.0,25,2679.5,481.5,2.915,c8948059c67de4dfcf7a4941001ddc5e8cf24804,23,23,16,23,1,16277:gray_bbox+hem_bbox,False,22,247.83,100,True,100,625,0,,0,True,29.609055118110238,0.2533008895448562,4.9,8,12,12,0.8,0.6,0.4
testing_35,322.tiff,canine cutaneous mast cell tumor,322,1,default_51,16270,870.0,4698.0,51,870.0,4698.0,0.0,270970a472f29471b5c475feec5a0e3cf3e118a2,23,23,16,22,0,,False,22,473.22,100,True,99,2601,0,,0,True,29.609055118110238,0.2533008895448562,5.5,8,13,15,0.8,0.65,0.5
testing_35,322.tiff,canine cutaneous mast cell tumor,322,1,gray_bbox,16270,870.0,4698.0,41,868.5,4698.5,1.581,615e5a7adca97371746a77a15a05a08620b3578a,23,23,16,22,0,,False,22,473.22,100,True,99,1681,0,,0,True,29.609055118110238,0.2533008895448562,5.9,8,14,16,0.8,0.7,0.5333333333333333
testing_35,322.tiff,canine cutaneous mast cell tumor,322,1,hem_bbox,16270,870.0,4698.0,29,869.5,4700.0,2.062,18ff5096dd1f63cf87aead69d3997d889d14d000,23,23,16,22,0,,False,22,473.22,100,True,99,841,0,,0,True,29.609055118110238,0.2533008895448562,6.2,8,11,12,0.8,0.55,0.4
testing_35,322.tiff,canine cutaneous mast cell tumor,322,2,default_51,16265,1155.0,2592.0,51,1155.0,2592.0,0.0,b50d97a204611772e6fcbd5dda16f08406a02e91,23,23,16,21,0,,False,22,309.5,100,True,100,2601,0,,0,True,29.609055118110238,0.2533008895448562,6.9,8,14,15,0.8,0.7,0.5
testing_35,322.tiff,canine cutaneous mast cell tumor,322,2,gray_bbox,16265,1155.0,2592.0,31,1157.0,2591.5,2.062,d98a832d75c188a6afe7f17520e6429418e76569,23,23,16,21,0,,False,22,309.5,100,True,100,961,0,,0,True,29.609055118110238,0.2533008895448562,7.2,8,13,13,0.8,0.65,0.43333333333333335
