rank_key,pair,domain,scope,n_roi,pooled_delta_precision,wins,losses,ties,n_nonzero,exact_p,min_attainable_p,ci_low,ci_high,t_ci_low,t_ci_high,ci_excludes_0,delta_3click,loo_file,loo_delta_tp,loo_delta,holm_p,holm_adjusted_floor,bounds_nothing
tm_score,hem_mask_fill_1um - default_51,human breast cancer,domain,7,-0.007142857142857143,1,3,3,4,0.75,0.125,-0.03333333333333333,0.02142857142857143,-0.04474940019492868,0.030463685909214392,False,-0.009523809523809525,094.tiff,4.0,-0.019444444444444445,1.0,0.875,True
tm_score,hem_mask_fill_1um - default_51,human melanoma,domain,7,-0.009523809523809525,3,3,1,6,0.6875,0.03125,-0.04047619047619048,0.01904761904761905,-0.05016672317209879,0.03111910412447975,False,-0.004761904761904762,549.tiff,-5.0,0.002777777777777778,1.0,0.21875,True
tm_score,hem_mask_fill_1um - default_51,human neuroendocrine tumor,domain,7,-0.004761904761904762,2,4,1,6,0.875,0.03125,-0.02857142857142857,0.023809523809523808,-0.040039969202687695,0.030516159678878167,False,-0.009523809523809525,403.tiff,4.0,-0.016666666666666666,1.0,0.21875,True
chromatin_od,hem_rect_fill - default_51,ALL 49 ROIs (pooled),pooled,49,0.0013605442176870747,15,16,18,31,0.7947009392082691,9.313225746154785e-10,-0.005442176870748299,0.008843537414965987,-0.0059413961372135815,0.008662484572587732,False,0.0013605442176870747,,,,,2.7939677238464355e-09,False
chromatin_od,hem_rect_fill - default_51,canine cutaneous mast cell tumor,domain,7,0.004761904761904762,3,2,2,5,0.75,0.0625,-0.007142857142857143,0.016666666666666666,-0.012389317722457115,0.02191312724626664,False,0.009523809523809525,339.tiff,2.0,0.0,1.0,0.4375,True
chromatin_od,hem_rect_fill - default_51,canine lung cancer,domain,7,-0.002380952380952381,2,3,2,5,1.0,0.0625,-0.011904761904761904,0.007142857142857143,-0.01624956020309928,0.011487655441194518,False,0.014285714285714285,201.tiff,-1.0,0.0,1.0,0.4375,True
chromatin_od,hem_rect_fill - default_51,canine lymphosarcoma,domain,7,0.004761904761904762,2,3,2,5,0.9375,0.0625,-0.030952380952380953,0.047619047619047616,-0.04916120973598889,0.05868501925979841,False,0.004761904761904762,291.tiff,7.0,-0.013888888888888888,1.0,0.4375,True
chromatin_od,hem_rect_fill - default_51,canine soft tissue sarcoma,domain,7,0.0,2,3,2,5,1.0,0.0625,-0.011904761904761904,0.014285714285714285,-0.017798664725010058,0.017798664725010058,False,-0.004761904761904762,460.tiff,2.0,-0.005555555555555556,1.0,0.4375,True
chromatin_od,hem_rect_fill - default_51,human breast cancer,domain,7,0.007142857142857143,3,1,3,4,0.5,0.125,-0.004761904761904762,0.01904761904761905,-0.00789976007797147,0.02218547436368576,False,0.0,128.tiff,2.0,0.002777777777777778,1.0,0.875,True
chromatin_od,hem_rect_fill - default_51,human melanoma,domain,7,0.002380952380952381,2,1,4,3,1.0,0.25,-0.004761904761904762,0.009523809523809525,-0.008255784262689069,0.013017689024593831,False,0.0,529.tiff,-1.0,0.005555555555555556,1.0,1.75,True
