file_name,tumor_type,seed_index,budget_pre_nms,n_pre_nms,n_post_nms,z_last_kept,z_excluded,null_hit_frac,null_precision,n_detections,tp,fp_lookalike,fp_unannotated,fp_dup_on_mitotic,n_gt_mitotic_eval,n_mitotic_missed,recall_mitotic,precision_mitotic,precision_mitotic_dedup,f1_mitotic,coverage_frac
013.tiff,human breast cancer,0,10,9,9,20.930984119647814,20.357916683099734,0.0015043593718318518,0.0015038935225250988,8,4,1,3,0,17,13,0.23529411764705882,0.5,0.5,0.31999999999999995,0.0006933134496268534
013.tiff,human breast cancer,0,25,24,24,18.058889605764985,18.048200263052184,0.0015043593718318518,0.001502895921555435,23,6,3,14,0,17,11,0.35294117647058826,0.2608695652173913,0.2608695652173913,0.3,0.002007992726749472
013.tiff,human breast cancer,0,50,49,49,16.489953749648574,16.460541782306045,0.0015043593718318518,0.0015012352134905367,48,8,5,35,0,17,9,0.47058823529411764,0.16666666666666666,0.16666666666666666,0.24615384615384617,0.004172962083603137
013.tiff,human breast cancer,0,100,99,98,14.92235894383596,14.831354451826124,0.0015043593718318518,0.001497987319458132,97,10,5,82,0,17,7,0.5882352941176471,0.10309278350515463,0.10309278350515463,0.17543859649122806,0.008404790403495347
013.tiff,human breast cancer,0,250,249,244,12.684708632728514,12.681236967829706,0.0015043593718318518,0.0014883653484531667,243,11,9,223,0,17,6,0.6470588235294118,0.04526748971193416,0.04526748971193416,0.08461538461538462,0.021119897441934998
013.tiff,human breast cancer,0,500,499,478,11.100872424346182,11.096707914456855,0.0015043593718318518,0.001473115317354884,477,13,12,452,0,17,4,0.7647058823529411,0.027253668763102725,0.027253668763102725,0.05263157894736842,0.041206365402350724
013.tiff,human breast cancer,0,1000,999,937,9.629818360514632,9.624214221034265,0.0015043593718318518,0.0014438039916150336,936,16,14,906,0,17,1,0.9411764705882353,0.017094017094017096,0.017094017094017096,0.033578174186778595,0.07971142462832513
013.tiff,human breast cancer,0,2500,2499,2187,7.436259030615977,7.435940972915631,0.0015043593718318518,0.0013678558976932935,2186,17,15,2154,1,17,0,1.0,0.00777676120768527,0.008234217749313814,0.015433499773036768,0.17911033494888448
013.tiff,human breast cancer,0,5000,4999,4032,5.448850845181827,5.44835980873217,0.0015043593718318518,0.001265345278920483,4031,17,15,3999,1,17,0,1.0,0.0042173158025303895,0.004465393202679236,0.008399209486166006,0.31214802896218824
013.tiff,human breast cancer,0,-1,21028,11572,1.0000843842418763,,0.0015043593718318518,0.0009415136329857095,11571,17,15,11539,1,17,0,1.0,0.0014691902169216143,0.00155561317085818,0.0029340697273041072,0.7540895682488603
013.tiff,human breast cancer,1,10,9,9,21.976409267030217,21.860836461053097,0.0015043593718318518,0.0015038935225250988,8,4,2,2,0,17,13,0.23529411764705882,0.5,0.5,0.31999999999999995,0.0006998541425478615
