file_name,tumor_type,image_id,seed_index,seed_ann_id,n_retries,contested_seed_tier,base_size,mpp,roi_h,roi_w,match_radius_px,nms_radius_px,pad_px,map_median,mad_scale,n_pre_nms_z1,n_post_nms_z1,n_at_current_z,n_gt_mitotic_eval,null_hit_frac,deep_recall_z1,precision_z1,coverage_z1,shortcut_ok,harness_full_list_recall,r5_n_detections,r5_tp,r5_precision,r5_recall,r5_fp_dup_on_mitotic
013.tiff,human breast cancer,13,0,254,0,False,31,0.22632094805310524,5412,7215,33.13877952755905,33.13877952755905,15,-0.004795463755726814,0.1281829585701227,21028,11572,11571,17,0.0015043593718318518,1.0,0.0014691902169216143,0.7540895682488603,True,0.47058823529411764,48,8,0.16666666666666666,0.47058823529411764,0
013.tiff,human breast cancer,13,1,246,0,False,39,0.22632094805310524,5412,7215,33.13877952755905,33.13877952755905,19,-0.018969278782606125,0.16185540482103825,23718,12524,12523,17,0.0015043593718318518,1.0,0.0013575021959594347,0.7914696282924213,True,0.47058823529411764,48,8,0.16666666666666666,0.47058823529411764,0
013.tiff,human breast cancer,13,2,258,0,False,43,0.22632094805310524,5412,7215,33.13877952755905,33.13877952755905,21,-0.024523194879293442,0.16934960964024065,20946,11920,11919,17,0.0015043593718318518,1.0,0.001426294152193976,0.7759943488413162,True,0.47058823529411764,48,8,0.16666666666666666,0.47058823529411764,0
013.tiff,human breast cancer,13,3,263,0,False,29,0.22632094805310524,5412,7215,33.13877952755905,33.13877952755905,14,-0.009797520004212856,0.12575979110598565,29483,13452,13451,17,0.001517440757673868,1.0,0.0012638465541595421,0.8304259953299452,True,0.29411764705882354,48,5,0.10416666666666667,0.29411764705882354,0
013.tiff,human breast cancer,13,4,242,0,False,35,0.22632094805310524,5412,7215,33.13877952755905,33.13877952755905,17,-0.011874871328473091,0.09497379123866558,27363,13346,13345,17,0.0015043593718318518,1.0,0.0012738853503184713,0.8282675666660126,True,0.5882352941176471,48,10,0.20833333333333334,0.5882352941176471,0
094.tiff,human breast cancer,94,0,2512,0,False,25,0.22984761284250915,5364,7103,32.63031496062992,32.63031496062992,12,-0.003239314304664731,0.0505320100620389,40820,15370,15369,81,0.007038288288288288,1.0,0.005270349404645715,0.8865427927927928,True,0.2839506172839506,47,23,0.48936170212765956,0.2839506172839506,0
094.tiff,human breast cancer,94,1,2534,0,False,37,0.22984761284250915,5364,7103,32.63031496062992,32.63031496062992,18,-0.009720981121063232,0.11340501276701688,31226,14622,14621,81,0.00704499141999142,1.0,0.005539976745776623,0.8582421707421708,True,0.38271604938271603,48,31,0.6458333333333334,0.38271604938271603,0
094.tiff,human breast cancer,94,2,2494,0,False,35,0.22984761284250915,5364,7103,32.63031496062992,32.63031496062992,17,-0.00320444256067276,0.07754829588532447,45791,15400,15399,81,0.00704499141999142,1.0,0.005260081823495032,0.8850144787644788,True,0.38271604938271603,48,31,0.6458333333333334,0.38271604938271603,0
094.tiff,human breast cancer,94,3,2612,0,False,37,0.22984761284250915,5364,7103,32.63031496062992,32.63031496062992,18,-0.008004341274499893,0.10703577818423508,29945,14363,14362,81,0.007058397683397683,1.0,0.005639883024648378,0.849809631059631,True,0.4074074074074074,48,33,0.6875,0.4074074074074074,0
094.tiff,human breast cancer,94,4,2494,0,False,35,0.22984761284250915,5364,7103,32.63031496062992,32.63031496062992,17,-0.00320444256067276,0.07754829588532447,45791,15400,15399,81,0.00704499141999142,1.0,0.005260081823495032,0.8850144787644788,True,0.38271604938271603,48,31,0.6458333333333334,0.38271604938271603,0
201.tiff,canine lung cancer,201,0,4457,0,False,51,0.24816562612969095,4933,6577,30.221751968503938,30.221751968503938,25,-0.028425928205251694,0.6122996424436569,21744,12974,12973,17,0.0014296037955195274,1.0,0.0013104139366376321,0.8468438746975838,True,0.5882352941176471,47,10,0.2127659574468085,0.5882352941176471,0
201.tiff,canine lung cancer,201,1,4457,0,False,51,0.24816562612969095,4933,6577,30.221751968503938,30.221751968503938,25,-0.028425928205251694,0.6122996424436569,21744,12974,12973,17,0.0014296037955195274,1.0,0.0013104139366376321,0.8468438746975838,True,0.5882352941176471,47,10,0.2127659574468085,0.5882352941176471,0
201.tiff,canine lung cancer,201,2,4475,0,False,51,0.24816562612969095,4933,6577,30.221751968503938,30.221751968503938,25,-0.04185693338513374,0.866125324165821,15046,11856,11855,17,0.0014374587614289754,1.0,0.001433994095318431,0.8090457787413202,True,0.35294117647058826,48,6,0.125,0.35294117647058826,0
201.tiff,canine lung cancer,201,3,4454,0,False,47,0.24816562612969095,4933,6577,30.221751968503938,30.221751968503938,23,-0.032930951565504074,0.7091016953408718,24624,13183,13182,17,0.0014374587614289754,1.0,0.0012896373843119405,0.8554529173343388,True,0.5882352941176471,48,10,0.20833333333333334,0.5882352941176471,0
