file_name,ranker,n_pool,n_gt_mitotic,quantile,depth,n_found,frac_of_pool,fp_per_tp
245.tiff,logreg_loro,34910,90,1.0,12758,90,0.3655,140.8
245.tiff,hgb_loro,34910,90,0.5,227,90,0.0065,4.0
245.tiff,hgb_loro,34910,90,0.9,7789,90,0.2231,95.2
245.tiff,hgb_loro,34910,90,0.95,13301,90,0.381,153.7
245.tiff,hgb_loro,34910,90,0.98,23257,90,0.6662,260.3
245.tiff,hgb_loro,34910,90,0.99,27127,90,0.7771,300.4
245.tiff,hgb_loro,34910,90,1.0,27127,90,0.7771,300.4
201.tiff,blob_score,12446,18,0.5,49,16,0.0039,5.1
201.tiff,blob_score,12446,18,0.9,2712,16,0.2179,179.8
201.tiff,blob_score,12446,18,0.95,4794,16,0.3852,298.6
201.tiff,blob_score,12446,18,0.98,4794,16,0.3852,298.6
201.tiff,blob_score,12446,18,0.99,4794,16,0.3852,298.6
201.tiff,blob_score,12446,18,1.0,4794,16,0.3852,298.6
201.tiff,chromatin_od51,12446,18,0.5,17,16,0.0014,1.1
201.tiff,chromatin_od51,12446,18,0.9,351,16,0.0282,22.4
201.tiff,chromatin_od51,12446,18,0.95,12124,16,0.9741,756.8
201.tiff,chromatin_od51,12446,18,0.98,12124,16,0.9741,756.8
201.tiff,chromatin_od51,12446,18,0.99,12124,16,0.9741,756.8
201.tiff,chromatin_od51,12446,18,1.0,12124,16,0.9741,756.8
201.tiff,logreg_loro,12446,18,0.5,20,16,0.0016,1.5
201.tiff,logreg_loro,12446,18,0.9,2318,16,0.1862,153.5
201.tiff,logreg_loro,12446,18,0.95,4550,16,0.3656,283.4
201.tiff,logreg_loro,12446,18,0.98,4550,16,0.3656,283.4
201.tiff,logreg_loro,12446,18,0.99,4550,16,0.3656,283.4
201.tiff,logreg_loro,12446,18,1.0,4550,16,0.3656,283.4
201.tiff,hgb_loro,12446,18,0.5,32,16,0.0026,3.0
201.tiff,hgb_loro,12446,18,0.9,1837,16,0.1476,121.5
201.tiff,hgb_loro,12446,18,0.95,2194,16,0.1763,136.1
201.tiff,hgb_loro,12446,18,0.98,2194,16,0.1763,136.1
201.tiff,hgb_loro,12446,18,0.99,2194,16,0.1763,136.1
201.tiff,hgb_loro,12446,18,1.0,2194,16,0.1763,136.1
202.tiff,blob_score,13440,16,0.5,27,16,0.002,2.4
202.tiff,blob_score,13440,16,0.9,1020,16,0.0759,67.0
202.tiff,blob_score,13440,16,0.95,2304,16,0.1714,143.0
202.tiff,blob_score,13440,16,0.98,2304,16,0.1714,143.0
202.tiff,blob_score,13440,16,0.99,2304,16,0.1714,143.0
202.tiff,blob_score,13440,16,1.0,2304,16,0.1714,143.0
202.tiff,chromatin_od51,13440,16,0.5,12,16,0.0009,0.5
202.tiff,chromatin_od51,13440,16,0.9,4638,16,0.3451,308.2
202.tiff,chromatin_od51,13440,16,0.95,5409,16,0.4025,337.1
202.tiff,chromatin_od51,13440,16,0.98,5409,16,0.4025,337.1
202.tiff,chromatin_od51,13440,16,0.99,5409,16,0.4025,337.1
202.tiff,chromatin_od51,13440,16,1.0,5409,16,0.4025,337.1
202.tiff,logreg_loro,13440,16,0.5,13,16,0.001,0.6
202.tiff,logreg_loro,13440,16,0.9,658,16,0.049,42.9
202.tiff,logreg_loro,13440,16,0.95,1144,16,0.0851,70.5
202.tiff,logreg_loro,13440,16,0.98,1144,16,0.0851,70.5
202.tiff,logreg_loro,13440,16,0.99,1144,16,0.0851,70.5
202.tiff,logreg_loro,13440,16,1.0,1144,16,0.0851,70.5
202.tiff,hgb_loro,13440,16,0.5,29,16,0.0022,2.6
202.tiff,hgb_loro,13440,16,0.9,870,16,0.0647,57.0
202.tiff,hgb_loro,13440,16,0.95,1592,16,0.1185,98.5
202.tiff,hgb_loro,13440,16,0.98,1592,16,0.1185,98.5
202.tiff,hgb_loro,13440,16,0.99,1592,16,0.1185,98.5
202.tiff,hgb_loro,13440,16,1.0,1592,16,0.1185,98.5
405.tiff,blob_score,7577,14,0.5,796,14,0.1051,112.7
405.tiff,blob_score,7577,14,0.9,2968,14,0.3917,227.3
405.tiff,blob_score,7577,14,0.95,3630,14,0.4791,258.3
405.tiff,blob_score,7577,14,0.98,3630,14,0.4791,258.3
405.tiff,blob_score,7577,14,0.99,3630,14,0.4791,258.3
405.tiff,blob_score,7577,14,1.0,3630,14,0.4791,258.3
405.tiff,chromatin_od51,7577,14,0.5,13,14,0.0017,0.9
405.tiff,chromatin_od51,7577,14,0.9,245,14,0.0323,17.8
405.tiff,chromatin_od51,7577,14,0.95,1175,14,0.1551,82.9
405.tiff,chromatin_od51,7577,14,0.98,1175,14,0.1551,82.9
405.tiff,chromatin_od51,7577,14,0.99,1175,14,0.1551,82.9
405.tiff,chromatin_od51,7577,14,1.0,1175,14,0.1551,82.9
405.tiff,logreg_loro,7577,14,0.5,493,14,0.0651,69.4
405.tiff,logreg_loro,7577,14,0.9,1334,14,0.1761,101.6
405.tiff,logreg_loro,7577,14,0.95,1454,14,0.1919,102.9
405.tiff,logreg_loro,7577,14,0.98,1454,14,0.1919,102.9
405.tiff,logreg_loro,7577,14,0.99,1454,14,0.1919,102.9
405.tiff,logreg_loro,7577,14,1.0,1454,14,0.1919,102.9
405.tiff,hgb_loro,7577,14,0.5,846,14,0.1117,119.9
405.tiff,hgb_loro,7577,14,0.9,1575,14,0.2079,120.2
405.tiff,hgb_loro,7577,14,0.95,2063,14,0.2723,146.4
405.tiff,hgb_loro,7577,14,0.98,2063,14,0.2723,146.4
405.tiff,hgb_loro,7577,14,0.99,2063,14,0.2723,146.4
405.tiff,hgb_loro,7577,14,1.0,2063,14,0.2723,146.4
