file_name,arm,K,n_topk_shared,topk_identical,n_hem,n_gray,tp_counts_tie
233.tiff,chromatin_od_GT_hit_sets,30,9,False,9.0,10.0,False
233.tiff,chromatin_od_GT_hit_sets,50,9,False,9.0,10.0,False
233.tiff,od_contrast_GT_hit_sets,10,7,False,7.0,8.0,False
233.tiff,od_contrast_GT_hit_sets,20,7,False,7.0,8.0,False
233.tiff,od_contrast_GT_hit_sets,30,9,False,9.0,10.0,False
233.tiff,od_contrast_GT_hit_sets,50,9,False,10.0,10.0,True
233.tiff,tm_score,10,0,False,,,
233.tiff,tm_score,20,0,False,,,
233.tiff,tm_score,30,0,False,,,
233.tiff,tm_score,50,0,False,,,
233.tiff,chromatin_od,10,0,False,,,
233.tiff,chromatin_od,20,0,False,,,
233.tiff,chromatin_od,30,0,False,,,
233.tiff,chromatin_od,50,0,False,,,
233.tiff,od_contrast,10,0,False,,,
233.tiff,od_contrast,20,0,False,,,
233.tiff,od_contrast,30,0,False,,,
233.tiff,od_contrast,50,0,False,,,
233.tiff/hem_bbox,chromatin_od_vs_tm_within,10,1,False,,,
233.tiff/hem_bbox,od_contrast_vs_tm_within,10,2,False,,,
233.tiff/gray_bbox,chromatin_od_vs_tm_within,10,1,False,,,
233.tiff/gray_bbox,od_contrast_vs_tm_within,10,1,False,,,
245.tiff,tm_score_GT_hit_sets,10,0,False,3.0,1.0,False
245.tiff,tm_score_GT_hit_sets,20,0,False,7.0,2.0,False
245.tiff,tm_score_GT_hit_sets,30,2,False,9.0,3.0,False
245.tiff,tm_score_GT_hit_sets,50,3,False,12.0,6.0,False
245.tiff,chromatin_od_GT_hit_sets,10,0,False,1.0,1.0,True
245.tiff,chromatin_od_GT_hit_sets,20,0,False,2.0,4.0,False
245.tiff,chromatin_od_GT_hit_sets,30,2,False,5.0,7.0,False
245.tiff,chromatin_od_GT_hit_sets,50,4,False,12.0,8.0,False
245.tiff,od_contrast_GT_hit_sets,10,0,False,1.0,1.0,True
245.tiff,od_contrast_GT_hit_sets,20,0,False,2.0,5.0,False
245.tiff,od_contrast_GT_hit_sets,30,1,False,4.0,6.0,False
245.tiff,od_contrast_GT_hit_sets,50,3,False,12.0,8.0,False
245.tiff,tm_score,10,0,False,,,
245.tiff,tm_score,20,0,False,,,
245.tiff,tm_score,30,0,False,,,
245.tiff,tm_score,50,0,False,,,
245.tiff,chromatin_od,10,0,False,,,
245.tiff,chromatin_od,20,0,False,,,
245.tiff,chromatin_od,30,0,False,,,
245.tiff,chromatin_od,50,0,False,,,
245.tiff,od_contrast,10,0,False,,,
245.tiff,od_contrast,20,0,False,,,
245.tiff,od_contrast,30,0,False,,,
245.tiff,od_contrast,50,0,False,,,
245.tiff/hem_bbox,chromatin_od_vs_tm_within,10,5,False,,,
245.tiff/hem_bbox,od_contrast_vs_tm_within,10,7,False,,,
245.tiff/gray_bbox,chromatin_od_vs_tm_within,10,3,False,,,
245.tiff/gray_bbox,od_contrast_vs_tm_within,10,3,False,,,
246.tiff,tm_score_GT_hit_sets,10,4,False,8.0,10.0,False
246.tiff,tm_score_GT_hit_sets,20,12,False,14.0,18.0,False
246.tiff,tm_score_GT_hit_sets,30,15,False,16.0,24.0,False
246.tiff,tm_score_GT_hit_sets,50,19,False,22.0,31.0,False
246.tiff,chromatin_od_GT_hit_sets,10,7,False,10.0,10.0,True
246.tiff,chromatin_od_GT_hit_sets,20,11,False,16.0,14.0,False
246.tiff,chromatin_od_GT_hit_sets,30,14,False,22.0,21.0,False
246.tiff,chromatin_od_GT_hit_sets,50,24,False,29.0,33.0,False
246.tiff,od_contrast_GT_hit_sets,10,8,False,10.0,10.0,True
246.tiff,od_contrast_GT_hit_sets,20,12,False,17.0,15.0,False
246.tiff,od_contrast_GT_hit_sets,30,14,False,20.0,21.0,False
