file_name,mean_pct_change
201.tiff,-41.1764705882353
245.tiff,-31.372549019607842
300.tiff,-42.42424242424242
402.tiff,-24.543610547667342
459.tiff,-5.469327420546932
529.tiff,-15.161502966381015
