arm,K,mean_delta,wins,losses,ties,n_nonzero,exact_p,p_floor,spearman_rho,spearman_p_asym,spearman_p_perm
tm_score,10,-0.0143,5,6,3,11,0.8281,0.0009765625,-0.295,0.305,0.305
tm_score,20,-0.0286,2,8,4,10,0.3887,0.001953125,-0.038,0.898,0.891
tm_score,30,-0.0357,3,9,2,12,0.2808,0.00048828125,-0.13,0.658,0.669
tm_score,50,-0.0329,3,9,2,12,0.1968,0.00048828125,0.214,0.463,0.47
chromatin_od,10,-0.0214,0,3,11,3,0.25,0.25,0.219,0.453,0.482
chromatin_od,20,-0.0393,3,9,2,12,0.0898,0.00048828125,0.62,0.018,0.025
chromatin_od,30,-0.0262,3,7,4,10,0.0977,0.001953125,0.388,0.171,0.169
chromatin_od,50,-0.0329,4,9,1,13,0.0688,0.000244140625,0.254,0.38,0.372
od_contrast,10,-0.0143,2,3,9,5,0.75,0.0625,0.176,0.548,0.569
od_contrast,20,-0.0214,5,7,2,12,0.4419,0.00048828125,0.524,0.054,0.065
od_contrast,30,-0.0333,4,9,1,13,0.0466,0.000244140625,0.614,0.02,0.023
od_contrast,50,-0.0329,4,7,3,11,0.0859,0.0009765625,0.253,0.383,0.389
