file_name,tumor_type,budget,tp_at_budget_baseline,tp_at_budget_variant,precision_at_budget_baseline,precision_at_budget_variant,d_precision
301.tiff,canine cutaneous mast cell tumor,10,9.0,8.0,0.9,0.8,-0.09999999999999998
246.tiff,canine lymphosarcoma,20,18.0,14.0,0.9,0.7,-0.20000000000000007
245.tiff,canine lymphosarcoma,30,3.0,2.0,0.1,0.0666666666666666,-0.03333333333333341
246.tiff,canine lymphosarcoma,30,24.0,21.0,0.8,0.7,-0.10000000000000009
