file_name,tumor_type,decision_grade,seed_index,read_100_delta,read_95_delta,read_50_delta,full_list_recall_delta,n_detections_delta,recall_at_250_delta,arm_a,arm_b
459.tiff,canine soft tissue sarcoma,True,1,,496.0,-89.0,0.038461538461538436,5743,0.10769230769230764,tm_ccoeff,tm_ccorr
459.tiff,canine soft tissue sarcoma,True,2,,-2602.0,-18.0,0.03076923076923077,5380,0.04615384615384621,tm_ccoeff,tm_ccorr
459.tiff,canine soft tissue sarcoma,True,3,,2442.0,-91.0,0.0461538461538461,6099,0.07692307692307687,tm_ccoeff,tm_ccorr
459.tiff,canine soft tissue sarcoma,True,4,,-110.0,-72.0,0.0461538461538461,5905,0.09999999999999998,tm_ccoeff,tm_ccorr
002.tiff,human breast cancer,False,0,-119.0,-119.0,-66.0,0.0,6776,0.125,tm_ccoeff,tm_ccorr
002.tiff,human breast cancer,False,1,-112.0,-112.0,-30.0,0.0,6663,0.0,tm_ccoeff,tm_ccorr
002.tiff,human breast cancer,False,2,-193.0,-193.0,-41.0,0.0,6908,0.125,tm_ccoeff,tm_ccorr
002.tiff,human breast cancer,False,3,-285.0,-285.0,-44.0,0.0,5995,0.125,tm_ccoeff,tm_ccorr
002.tiff,human breast cancer,False,4,-294.0,-294.0,-46.0,0.0,5015,0.25,tm_ccoeff,tm_ccorr
094.tiff,human breast cancer,True,0,,-564.0,-66.0,0.012345679012345734,7582,0.061728395061728336,tm_ccoeff,tm_ccorr
094.tiff,human breast cancer,True,1,-3740.0,-1505.0,-73.0,0.0,8157,0.08641975308641969,tm_ccoeff,tm_ccorr
094.tiff,human breast cancer,True,2,,-3327.0,-115.0,0.012345679012345623,6805,0.09876543209876543,tm_ccoeff,tm_ccorr
094.tiff,human breast cancer,True,3,,-3392.0,-73.0,0.024691358024691357,6423,0.03703703703703698,tm_ccoeff,tm_ccorr
094.tiff,human breast cancer,True,4,-3925.0,-2882.0,-75.0,0.0,7211,0.12345679012345678,tm_ccoeff,tm_ccorr
505.tiff,human melanoma,False,0,-37.0,-37.0,-37.0,0.0,5175,0.0,tm_ccoeff,tm_ccorr
505.tiff,human melanoma,False,1,-1294.0,-1294.0,-1294.0,0.0,5099,0.0,tm_ccoeff,tm_ccorr
