subset,domain,file_name,pair,K,delta_tp_s0,delta_tp_s1,delta_tp_s2,delta_tp_sum
testing_35,canine lymphosarcoma,284.tiff,fill_alpha_0 - fill_alpha_1,10,-1,0,-1,-2
testing_35,canine lymphosarcoma,284.tiff,fill_alpha_0 - fill_alpha_1,20,-4,-2,0,-6
testing_35,canine lymphosarcoma,284.tiff,fill_alpha_0 - fill_alpha_1,30,-6,-3,0,-9
testing_35,canine lymphosarcoma,289.tiff,fill_alpha_0 - fill_alpha_1,10,0,-1,2,1
testing_35,canine lymphosarcoma,289.tiff,fill_alpha_0 - fill_alpha_1,20,-1,-3,2,-2
testing_35,canine lymphosarcoma,289.tiff,fill_alpha_0 - fill_alpha_1,30,-1,-1,2,0
testing_35,canine lymphosarcoma,291.tiff,fill_alpha_0 - fill_alpha_1,10,2,-1,0,1
testing_35,canine lymphosarcoma,291.tiff,fill_alpha_0 - fill_alpha_1,20,-3,-5,-3,-11
testing_35,canine lymphosarcoma,291.tiff,fill_alpha_0 - fill_alpha_1,30,-6,-9,-5,-20
testing_35,canine lymphosarcoma,293.tiff,fill_alpha_0 - fill_alpha_1,10,4,5,3,12
testing_35,canine lymphosarcoma,293.tiff,fill_alpha_0 - fill_alpha_1,20,3,5,2,10
testing_35,canine lymphosarcoma,293.tiff,fill_alpha_0 - fill_alpha_1,30,2,3,2,7
original_14,canine soft tissue sarcoma,459.tiff,fill_alpha_0 - fill_alpha_1,10,0,0,-1,-1
original_14,canine soft tissue sarcoma,459.tiff,fill_alpha_0 - fill_alpha_1,20,-2,0,-1,-3
original_14,canine soft tissue sarcoma,459.tiff,fill_alpha_0 - fill_alpha_1,30,-3,-1,-7,-11
original_14,canine soft tissue sarcoma,460.tiff,fill_alpha_0 - fill_alpha_1,10,2,-6,-4,-8
original_14,canine soft tissue sarcoma,460.tiff,fill_alpha_0 - fill_alpha_1,20,-4,-10,-12,-26
original_14,canine soft tissue sarcoma,460.tiff,fill_alpha_0 - fill_alpha_1,30,-5,-10,-13,-28
testing_35,canine soft tissue sarcoma,410.tiff,fill_alpha_0 - fill_alpha_1,10,-1,-2,0,-3
testing_35,canine soft tissue sarcoma,410.tiff,fill_alpha_0 - fill_alpha_1,20,-2,-3,-3,-8
testing_35,canine soft tissue sarcoma,410.tiff,fill_alpha_0 - fill_alpha_1,30,-2,-3,-3,-8
testing_35,canine soft tissue sarcoma,425.tiff,fill_alpha_0 - fill_alpha_1,10,0,0,1,1
testing_35,canine soft tissue sarcoma,425.tiff,fill_alpha_0 - fill_alpha_1,20,0,1,-1,0
testing_35,canine soft tissue sarcoma,425.tiff,fill_alpha_0 - fill_alpha_1,30,1,1,-1,1
testing_35,canine soft tissue sarcoma,435.tiff,fill_alpha_0 - fill_alpha_1,10,-1,-1,-2,-4
testing_35,canine soft tissue sarcoma,435.tiff,fill_alpha_0 - fill_alpha_1,20,-3,-1,-4,-8
testing_35,canine soft tissue sarcoma,435.tiff,fill_alpha_0 - fill_alpha_1,30,-4,-2,-2,-8
testing_35,canine soft tissue sarcoma,462.tiff,fill_alpha_0 - fill_alpha_1,10,0,0,0,0
testing_35,canine soft tissue sarcoma,462.tiff,fill_alpha_0 - fill_alpha_1,20,0,-1,-2,-3
testing_35,canine soft tissue sarcoma,462.tiff,fill_alpha_0 - fill_alpha_1,30,-1,-1,-1,-3
testing_35,canine soft tissue sarcoma,499.tiff,fill_alpha_0 - fill_alpha_1,10,1,0,0,1
testing_35,canine soft tissue sarcoma,499.tiff,fill_alpha_0 - fill_alpha_1,20,0,-1,1,0
testing_35,canine soft tissue sarcoma,499.tiff,fill_alpha_0 - fill_alpha_1,30,2,0,1,3
original_14,human breast cancer,013.tiff,fill_alpha_0 - fill_alpha_1,10,0,-1,-1,-2
original_14,human breast cancer,013.tiff,fill_alpha_0 - fill_alpha_1,20,1,-3,0,-2
original_14,human breast cancer,013.tiff,fill_alpha_0 - fill_alpha_1,30,1,-2,1,0
original_14,human breast cancer,094.tiff,fill_alpha_0 - fill_alpha_1,10,0,0,0,0
original_14,human breast cancer,094.tiff,fill_alpha_0 - fill_alpha_1,20,-3,-1,-1,-5
original_14,human breast cancer,094.tiff,fill_alpha_0 - fill_alpha_1,30,-1,-1,0,-2
testing_35,human breast cancer,007.tiff,fill_alpha_0 - fill_alpha_1,10,0,-1,0,-1
testing_35,human breast cancer,007.tiff,fill_alpha_0 - fill_alpha_1,20,0,-1,0,-1
testing_35,human breast cancer,007.tiff,fill_alpha_0 - fill_alpha_1,30,1,-1,0,0
testing_35,human breast cancer,072.tiff,fill_alpha_0 - fill_alpha_1,10,0,-1,0,-1
testing_35,human breast cancer,072.tiff,fill_alpha_0 - fill_alpha_1,20,-6,-3,0,-9
testing_35,human breast cancer,072.tiff,fill_alpha_0 - fill_alpha_1,30,-12,-4,-2,-18
testing_35,human breast cancer,100.tiff,fill_alpha_0 - fill_alpha_1,10,0,0,0,0
testing_35,human breast cancer,100.tiff,fill_alpha_0 - fill_alpha_1,20,-3,0,-3,-6
testing_35,human breast cancer,100.tiff,fill_alpha_0 - fill_alpha_1,30,-2,0,-6,-8
testing_35,human breast cancer,123.tiff,fill_alpha_0 - fill_alpha_1,10,-3,0,0,-3
testing_35,human breast cancer,123.tiff,fill_alpha_0 - fill_alpha_1,20,-5,-4,-1,-10
testing_35,human breast cancer,123.tiff,fill_alpha_0 - fill_alpha_1,30,-6,-6,-2,-14
testing_35,human breast cancer,128.tiff,fill_alpha_0 - fill_alpha_1,10,1,-1,0,0
testing_35,human breast cancer,128.tiff,fill_alpha_0 - fill_alpha_1,20,-3,-2,1,-4
testing_35,human breast cancer,128.tiff,fill_alpha_0 - fill_alpha_1,30,-2,-2,1,-3
original_14,human melanoma,529.tiff,fill_alpha_0 - fill_alpha_1,10,1,-2,-4,-5
original_14,human melanoma,529.tiff,fill_alpha_0 - fill_alpha_1,20,0,-4,-7,-11
original_14,human melanoma,529.tiff,fill_alpha_0 - fill_alpha_1,30,-2,-5,-7,-14
original_14,human melanoma,548.tiff,fill_alpha_0 - fill_alpha_1,10,0,-1,-1,-2
original_14,human melanoma,548.tiff,fill_alpha_0 - fill_alpha_1,20,-2,-2,-1,-5
original_14,human melanoma,548.tiff,fill_alpha_0 - fill_alpha_1,30,-1,-2,-2,-5
testing_35,human melanoma,509.tiff,fill_alpha_0 - fill_alpha_1,10,0,0,0,0
testing_35,human melanoma,509.tiff,fill_alpha_0 - fill_alpha_1,20,1,0,-1,0
testing_35,human melanoma,509.tiff,fill_alpha_0 - fill_alpha_1,30,0,-3,-1,-4
testing_35,human melanoma,524.tiff,fill_alpha_0 - fill_alpha_1,10,-1,0,-1,-2
testing_35,human melanoma,524.tiff,fill_alpha_0 - fill_alpha_1,20,-2,0,-2,-4
testing_35,human melanoma,524.tiff,fill_alpha_0 - fill_alpha_1,30,-2,1,-2,-3
testing_35,human melanoma,527.tiff,fill_alpha_0 - fill_alpha_1,10,-2,-2,-2,-6
testing_35,human melanoma,527.tiff,fill_alpha_0 - fill_alpha_1,20,-4,-4,-1,-9
testing_35,human melanoma,527.tiff,fill_alpha_0 - fill_alpha_1,30,-5,-4,-2,-11
testing_35,human melanoma,546.tiff,fill_alpha_0 - fill_alpha_1,10,0,-1,0,-1
testing_35,human melanoma,546.tiff,fill_alpha_0 - fill_alpha_1,20,2,-3,0,-1
testing_35,human melanoma,546.tiff,fill_alpha_0 - fill_alpha_1,30,1,-4,-1,-4
testing_35,human melanoma,549.tiff,fill_alpha_0 - fill_alpha_1,10,-1,-1,-1,-3
testing_35,human melanoma,549.tiff,fill_alpha_0 - fill_alpha_1,20,-2,-3,-2,-7
