figure,arm,row,col,value,annotation
fig1_roi_delta_heatmap,tm_score,300.tiff,K=10,0.3,starred
fig1_roi_delta_heatmap,tm_score,300.tiff,K=20,0.1,starred
fig1_roi_delta_heatmap,tm_score,300.tiff,K=30,0.1,starred
fig1_roi_delta_heatmap,tm_score,300.tiff,K=50,0.04,starred
fig1_roi_delta_heatmap,tm_score,301.tiff,K=10,0.0,
fig1_roi_delta_heatmap,tm_score,301.tiff,K=20,0.0,
fig1_roi_delta_heatmap,tm_score,301.tiff,K=30,0.0667,
fig1_roi_delta_heatmap,tm_score,301.tiff,K=50,0.08,
fig1_roi_delta_heatmap,tm_score,201.tiff,K=10,0.1,
fig1_roi_delta_heatmap,tm_score,201.tiff,K=20,0.0,
fig1_roi_delta_heatmap,tm_score,201.tiff,K=30,-0.0333,
fig1_roi_delta_heatmap,tm_score,201.tiff,K=50,-0.1,
fig1_roi_delta_heatmap,tm_score,233.tiff,K=10,0.1,
fig1_roi_delta_heatmap,tm_score,233.tiff,K=20,0.05,
fig1_roi_delta_heatmap,tm_score,233.tiff,K=30,-0.0334,
fig1_roi_delta_heatmap,tm_score,233.tiff,K=50,-0.02,
fig1_roi_delta_heatmap,tm_score,245.tiff,K=10,0.2,starred
fig1_roi_delta_heatmap,tm_score,245.tiff,K=20,0.25,starred
fig1_roi_delta_heatmap,tm_score,245.tiff,K=30,0.2,starred
fig1_roi_delta_heatmap,tm_score,245.tiff,K=50,0.18,starred
fig1_roi_delta_heatmap,tm_score,246.tiff,K=10,-0.2,
fig1_roi_delta_heatmap,tm_score,246.tiff,K=20,-0.2,
fig1_roi_delta_heatmap,tm_score,246.tiff,K=30,-0.2667,
fig1_roi_delta_heatmap,tm_score,246.tiff,K=50,-0.18,
fig1_roi_delta_heatmap,tm_score,459.tiff,K=10,-0.2,
fig1_roi_delta_heatmap,tm_score,459.tiff,K=20,-0.1,
fig1_roi_delta_heatmap,tm_score,459.tiff,K=30,-0.1333,
fig1_roi_delta_heatmap,tm_score,459.tiff,K=50,-0.06,
fig1_roi_delta_heatmap,tm_score,460.tiff,K=10,0.0,
fig1_roi_delta_heatmap,tm_score,460.tiff,K=20,-0.05,
fig1_roi_delta_heatmap,tm_score,460.tiff,K=30,-0.0333,
fig1_roi_delta_heatmap,tm_score,460.tiff,K=50,-0.04,
fig1_roi_delta_heatmap,tm_score,013.tiff,K=10,0.3,starred
fig1_roi_delta_heatmap,tm_score,013.tiff,K=20,0.1,starred
fig1_roi_delta_heatmap,tm_score,013.tiff,K=30,0.0333,starred
fig1_roi_delta_heatmap,tm_score,013.tiff,K=50,0.02,starred
fig1_roi_delta_heatmap,tm_score,094.tiff,K=10,0.1,
fig1_roi_delta_heatmap,tm_score,094.tiff,K=20,-0.05,
fig1_roi_delta_heatmap,tm_score,094.tiff,K=30,-0.0333,
fig1_roi_delta_heatmap,tm_score,094.tiff,K=50,-0.02,
fig1_roi_delta_heatmap,tm_score,529.tiff,K=10,-0.1,
fig1_roi_delta_heatmap,tm_score,529.tiff,K=20,0.0,
fig1_roi_delta_heatmap,tm_score,529.tiff,K=30,0.0334,
fig1_roi_delta_heatmap,tm_score,529.tiff,K=50,0.0,
fig1_roi_delta_heatmap,tm_score,548.tiff,K=10,-0.1,
fig1_roi_delta_heatmap,tm_score,548.tiff,K=20,-0.05,
fig1_roi_delta_heatmap,tm_score,548.tiff,K=30,-0.0333,
fig1_roi_delta_heatmap,tm_score,548.tiff,K=50,0.04,
fig1_roi_delta_heatmap,tm_score,402.tiff,K=10,-0.1,
fig1_roi_delta_heatmap,tm_score,402.tiff,K=20,-0.1,
fig1_roi_delta_heatmap,tm_score,402.tiff,K=30,-0.1667,
fig1_roi_delta_heatmap,tm_score,402.tiff,K=50,-0.08,
fig1_roi_delta_heatmap,tm_score,403.tiff,K=10,-0.1,
fig1_roi_delta_heatmap,tm_score,403.tiff,K=20,-0.1,
fig1_roi_delta_heatmap,tm_score,403.tiff,K=30,0.0,
fig1_roi_delta_heatmap,tm_score,403.tiff,K=50,-0.02,
fig1_roi_delta_heatmap,chromatin_od,300.tiff,K=10,0.1,starred
fig1_roi_delta_heatmap,chromatin_od,300.tiff,K=20,0.0,starred
fig1_roi_delta_heatmap,chromatin_od,300.tiff,K=30,-0.0333,starred
fig1_roi_delta_heatmap,chromatin_od,300.tiff,K=50,0.0,starred
fig1_roi_delta_heatmap,chromatin_od,301.tiff,K=10,0.0,
fig1_roi_delta_heatmap,chromatin_od,301.tiff,K=20,0.0,
fig1_roi_delta_heatmap,chromatin_od,301.tiff,K=30,-0.0333,
fig1_roi_delta_heatmap,chromatin_od,301.tiff,K=50,0.0,
fig1_roi_delta_heatmap,chromatin_od,201.tiff,K=10,0.0,
fig1_roi_delta_heatmap,chromatin_od,201.tiff,K=20,0.0,
fig1_roi_delta_heatmap,chromatin_od,201.tiff,K=30,0.0,
fig1_roi_delta_heatmap,chromatin_od,201.tiff,K=50,0.02,
fig1_roi_delta_heatmap,chromatin_od,233.tiff,K=10,0.0,
fig1_roi_delta_heatmap,chromatin_od,233.tiff,K=20,0.05,
fig1_roi_delta_heatmap,chromatin_od,233.tiff,K=30,0.0,
fig1_roi_delta_heatmap,chromatin_od,233.tiff,K=50,0.0,
fig1_roi_delta_heatmap,chromatin_od,245.tiff,K=10,0.0,starred
fig1_roi_delta_heatmap,chromatin_od,245.tiff,K=20,0.0,starred
fig1_roi_delta_heatmap,chromatin_od,245.tiff,K=30,-0.0667,starred
fig1_roi_delta_heatmap,chromatin_od,245.tiff,K=50,0.0,starred
fig1_roi_delta_heatmap,chromatin_od,246.tiff,K=10,0.0,
fig1_roi_delta_heatmap,chromatin_od,246.tiff,K=20,0.05,
fig1_roi_delta_heatmap,chromatin_od,246.tiff,K=30,0.0667,
fig1_roi_delta_heatmap,chromatin_od,246.tiff,K=50,0.06,
fig1_roi_delta_heatmap,chromatin_od,459.tiff,K=10,0.0,
fig1_roi_delta_heatmap,chromatin_od,459.tiff,K=20,0.0,
fig1_roi_delta_heatmap,chromatin_od,459.tiff,K=30,0.0,
fig1_roi_delta_heatmap,chromatin_od,459.tiff,K=50,0.0,
fig1_roi_delta_heatmap,chromatin_od,460.tiff,K=10,0.0,
fig1_roi_delta_heatmap,chromatin_od,460.tiff,K=20,0.0,
fig1_roi_delta_heatmap,chromatin_od,460.tiff,K=30,0.0,
fig1_roi_delta_heatmap,chromatin_od,460.tiff,K=50,0.0,
fig1_roi_delta_heatmap,chromatin_od,013.tiff,K=10,0.0,starred
fig1_roi_delta_heatmap,chromatin_od,013.tiff,K=20,-0.05,starred
fig1_roi_delta_heatmap,chromatin_od,013.tiff,K=30,-0.0333,starred
fig1_roi_delta_heatmap,chromatin_od,013.tiff,K=50,0.0,starred
fig1_roi_delta_heatmap,chromatin_od,094.tiff,K=10,0.0,
fig1_roi_delta_heatmap,chromatin_od,094.tiff,K=20,0.0,
fig1_roi_delta_heatmap,chromatin_od,094.tiff,K=30,-0.0334,
fig1_roi_delta_heatmap,chromatin_od,094.tiff,K=50,0.0,
fig1_roi_delta_heatmap,chromatin_od,529.tiff,K=10,0.0,
fig1_roi_delta_heatmap,chromatin_od,529.tiff,K=20,0.0,
fig1_roi_delta_heatmap,chromatin_od,529.tiff,K=30,0.0,
fig1_roi_delta_heatmap,chromatin_od,529.tiff,K=50,0.0,
fig1_roi_delta_heatmap,chromatin_od,548.tiff,K=10,0.0,
fig1_roi_delta_heatmap,chromatin_od,548.tiff,K=20,0.0,
