rank_key,pair,K,n_roi,n_clicks,pooled_delta_precision,wins,losses,ties,n_nonzero,exact_p,min_attainable_p,holm_family,holm_p,ci_low,ci_high,boot_share_ge_0,boot_share_le_0,boot_share_0_or_opposite,t_ci_low,t_ci_high,ci_excludes_0,t_ci_excludes_0,n_same_direction,majority_of_all_rois,d5_bar_met,d5_robustness
chromatin_od,mass_only - fill_alpha_1,10,49,147,-0.006122448979591836,10,16,23,26,0.5161368250846863,2.9802322387695312e-08,chromatin_od | primary_3,0.9457649679970928,-0.021768707482993196,0.008843537414965987,0.236,0.7923,0.236,-0.022318262385492338,0.010073364426308665,False,False,16,False,False,not met
chromatin_od,mass_only - fill_alpha_1,20,49,147,-0.007482993197278911,20,19,10,39,0.4728824839985464,3.637978807091713e-12,chromatin_od | primary_3,0.9457649679970928,-0.02687074829931973,0.009863945578231292,0.2268,0.7863,0.2268,-0.026757676423836283,0.011791690029278459,False,False,19,False,False,not met
chromatin_od,mass_only - fill_alpha_1,30,49,147,-0.011337868480725623,18,23,8,41,0.15137304768995818,9.094947017729282e-13,chromatin_od | primary_3,0.45411914306987455,-0.026530612244897958,0.0031746031746031746,0.0651,0.9397,0.0651,-0.026567101934802703,0.003891364973351458,False,False,23,False,False,not met
chromatin_od,mass_only - fill_alpha_0,10,49,147,0.026530612244897958,25,14,10,39,0.19535159986116923,3.637978807091713e-12,chromatin_od | secondary_decomposition_6,0.19535159986116923,-0.013605442176870748,0.061224489795918366,0.9184,0.0855,0.0855,-0.012409066185351366,0.06547029067514729,False,False,25,True,False,not met
chromatin_od,mass_only - fill_alpha_0,20,49,147,0.0554421768707483,35,12,2,47,0.0032349242584217563,1.4210854715202004e-14,chromatin_od | secondary_decomposition_6,0.009704772775265269,0.019387755102040816,0.08979591836734693,0.999,0.0012,0.0012,0.018652784668883024,0.09223156907261358,True,True,35,True,True,met
chromatin_od,mass_only - fill_alpha_0,30,49,147,0.051927437641723355,35,12,2,47,0.000620527780782254,1.4210854715202004e-14,chromatin_od | secondary_decomposition_6,0.002482111123129016,0.024263038548752835,0.07868480725623583,0.9999,0.0001,0.0001,0.02337905693589087,0.08047581834755586,True,True,35,True,True,met
chromatin_od,fill_alpha_0 - fill_alpha_1,10,49,147,-0.0326530612244898,11,28,10,39,0.035010561121453065,3.637978807091713e-12,chromatin_od | secondary_decomposition_6,0.07002112224290613,-0.06054421768707483,-0.0027210884353741495,0.0187,0.9838,0.0187,-0.06258054779731537,-0.002725574651664217,True,True,28,True,True,met
chromatin_od,fill_alpha_0 - fill_alpha_1,20,49,147,-0.06292517006802721,6,35,8,41,1.6366357158403844e-06,9.094947017729282e-13,chromatin_od | secondary_decomposition_6,8.183178579201922e-06,-0.0884438775510204,-0.03877551020408163,0.0,1.0,0.0,-0.08846823217072936,-0.037382107965325075,True,True,35,True,True,met
chromatin_od,fill_alpha_0 - fill_alpha_1,30,49,147,-0.06326530612244897,7,37,5,44,9.618941021471983e-08,1.1368683772161603e-13,chromatin_od | secondary_decomposition_6,5.77136461288319e-07,-0.08480725623582766,-0.042630385487528344,0.0,1.0,0.0,-0.08525341008693912,-0.04127720215795882,True,True,37,True,True,met
chromatin_od,mass_only - default_51,10,49,147,-0.004761904761904762,12,14,23,26,0.66645747423172,2.9802322387695312e-08,chromatin_od | secondary_vs_default_6,1.0,-0.02312925170068027,0.01292517006802721,0.3172,0.7088,0.3172,-0.0233027498371058,0.013778940313296274,False,False,14,False,False,not met
chromatin_od,mass_only - default_51,20,49,147,-0.0037414965986394557,19,17,13,36,0.7377060040016659,2.9103830456733704e-11,chromatin_od | secondary_vs_default_6,1.0,-0.02346938775510204,0.014625850340136054,0.363,0.6521,0.363,-0.023606687750640568,0.016123694553361653,False,False,17,False,False,not met
chromatin_od,mass_only - default_51,30,49,147,-0.004308390022675737,20,21,8,41,0.5989002376027202,9.094947017729282e-13,chromatin_od | secondary_vs_default_6,1.0,-0.01927437641723356,0.01020408163265306,0.2886,0.7217,0.2886,-0.01963936916843024,0.011022589123078763,False,False,21,False,False,not met
chromatin_od,fill_alpha_1 - default_51,10,49,147,0.0013605442176870747,9,9,31,18,0.9220657348632812,7.62939453125e-06,chromatin_od | secondary_vs_default_6,1.0,-0.011564625850340135,0.014965986394557823,0.5944,0.4502,0.4502,-0.01203216808605543,0.01475325652142958,False,False,9,False,False,not met
chromatin_od,fill_alpha_1 - default_51,20,49,147,0.0037414965986394557,18,16,15,34,0.6267131965141743,1.1641532182693481e-10,chromatin_od | secondary_vs_default_6,1.0,-0.005782312925170068,0.01598639455782313,0.7449,0.2806,0.2806,-0.007454254956831699,0.014937248154110612,False,False,18,False,False,not met
chromatin_od,fill_alpha_1 - default_51,30,49,147,0.007029478458049887,19,16,14,35,0.16739312594290823,5.820766091346741e-11,chromatin_od | secondary_vs_default_6,1.0,-0.0013605442176870747,0.017233560090702947,0.9454,0.0612,0.0612,-0.002626493428557119,0.01668545034465689,False,False,19,False,False,not met
tm_score,mass_only - fill_alpha_1,10,49,147,-0.04217687074829932,19,20,10,39,0.03482287217411795,3.637978807091713e-12,tm_score | primary_3,0.0696457443482359,-0.08027210884353742,-0.006785714285714533,0.0107,0.9901,0.0107,-0.08066248825470486,-0.0036912532418937744,True,True,20,False,False,not met
tm_score,mass_only - fill_alpha_1,20,49,147,-0.030952380952380953,23,20,6,43,0.043634151679498245,2.2737367544323206e-13,tm_score | primary_3,0.0696457443482359,-0.06054421768707483,-0.003061224489795918,0.0145,0.9862,0.0145,-0.060736594129056784,-0.001168167775705109,True,True,20,False,False,not met
tm_score,mass_only - fill_alpha_1,30,49,147,-0.030385487528344673,17,27,5,44,0.008381313215750197,1.1368683772161603e-13,tm_score | primary_3,0.02514393964725059,-0.052607709750566896,-0.009523809523809525,0.0015,0.9985,0.0015,-0.052884651065582176,-0.00788632399110717,True,True,27,True,True,met
tm_score,mass_only - fill_alpha_0,10,49,147,0.0891156462585034,34,12,3,46,0.002985604089332128,2.842170943040401e-14,tm_score | secondary_decomposition_6,0.002985604089332128,0.034013605442176874,0.14217687074829932,0.9995,0.0005,0.0005,0.03232468317624235,0.14590660934076444,True,True,34,True,True,met
