file_name,kind,ann_id,rank,rank_pct,blob_score,blob_score_pct,area,area_pct,od51,od51_pct,ann_to_det_px,match_radius
301.tiff,deep_captured,15012,1878,0.0922,156.6346,0.9078,234,0.2216,0.0809,0.2268,4.1,29.6
301.tiff,deep_captured,14949,3023,0.1484,149.603,0.8516,697,0.8565,0.1233,0.9481,18.7,29.6
301.tiff,deep_captured,14843,3760,0.1846,146.3586,0.8154,512,0.7194,0.0951,0.6324,3.3,29.6
301.tiff,deep_captured,14749,4306,0.2114,144.2869,0.7886,577,0.7777,0.116,0.9232,12.2,29.6
301.tiff,deep_captured,14969,4843,0.2378,142.5099,0.7622,511,0.7184,0.0981,0.7042,3.8,29.6
301.tiff,deep_captured,14744,6100,0.2995,138.7411,0.7005,366,0.4533,0.0853,0.3502,5.9,29.6
301.tiff,deep_captured,14765,6160,0.3024,138.5772,0.6976,374,0.4735,0.0818,0.2513,2.3,29.6
301.tiff,deep_captured,14940,7749,0.3804,134.7986,0.6196,86,0.0138,0.0915,0.5325,4.6,29.6
301.tiff,median_captured,14998,167,0.0082,201.8983,0.9918,342,0.396,0.139,0.9686,,29.6
300.tiff,deep_captured,14564,1320,0.076,161.6805,0.924,366,0.4799,0.1091,0.7752,4.2,29.6
300.tiff,deep_captured,14551,1391,0.0801,160.8099,0.9199,211,0.2282,,0.9908,1.0,29.6
300.tiff,deep_captured,14571,1723,0.0992,157.6852,0.9008,591,0.8894,0.1246,0.9312,18.1,29.6
300.tiff,deep_captured,14698,2194,0.1263,153.9766,0.8737,400,0.5702,0.1169,0.8776,7.5,29.6
300.tiff,deep_captured,14522,2509,0.1444,152.1164,0.8556,518,0.8296,0.1128,0.8302,12.2,29.6
300.tiff,deep_captured,14524,2701,0.1554,151.0087,0.8446,1003,0.9885,0.1334,0.9603,16.3,29.6
300.tiff,deep_captured,14556,3240,0.1865,148.3818,0.8135,606,0.8989,0.126,0.9377,10.1,29.6
300.tiff,deep_captured,14521,4245,0.2443,144.1866,0.7557,1012,0.9889,0.1364,0.9652,19.1,29.6
300.tiff,median_captured,14650,142,0.0082,198.2241,0.9918,560,0.8684,0.1393,0.9685,,29.6
246.tiff,deep_captured,6411,1435,0.0681,160.1927,0.9319,1030,0.8963,0.0954,0.925,22.8,30.2
246.tiff,deep_captured,6454,1599,0.0759,158.7122,0.9241,359,0.5427,0.0932,0.9037,6.1,30.2
246.tiff,deep_captured,6597,1756,0.0834,157.3713,0.9166,2102,0.9781,0.1382,0.9787,19.7,30.2
246.tiff,deep_captured,6408,1930,0.0916,156.1736,0.9084,754,0.8286,0.1017,0.9548,15.3,30.2
246.tiff,deep_captured,6489,1946,0.0924,156.0763,0.9076,1894,0.9719,0.103,0.9584,9.4,30.2
246.tiff,deep_captured,6417,1965,0.0933,155.9781,0.9067,631,0.7784,0.0922,0.892,15.0,30.2
246.tiff,deep_captured,6626,17320,0.8225,127.949,0.1775,1428,0.9445,0.0783,0.4364,26.8,30.2
246.tiff,deep_captured,6634,20492,0.9731,116.1948,0.0269,87,0.0401,0.0728,0.1958,27.7,30.2
246.tiff,missed,6438,-1,,,,-1,,0.1163,0.9747,,30.2
246.tiff,missed,6446,-1,,,,-1,,0.116,0.9746,,30.2
246.tiff,missed,6573,-1,,,,-1,,0.1116,0.9718,,30.2
246.tiff,missed,6603,-1,,,,-1,,0.0974,0.9378,,30.2
246.tiff,median_captured,6432,191,0.0091,193.3946,0.9909,537,0.723,0.1151,0.9738,,30.2
245.tiff,deep_captured,6291,10487,0.3004,150.4531,0.6996,905,0.9332,0.0948,0.9354,16.9,30.2
245.tiff,deep_captured,6302,11646,0.3336,148.9354,0.6664,1312,0.9754,0.0974,0.9543,3.6,30.2
245.tiff,deep_captured,6382,12832,0.3676,147.472,0.6324,252,0.3149,0.0921,0.9002,23.0,30.2
245.tiff,deep_captured,6327,13480,0.3861,146.7126,0.6139,316,0.5197,0.0866,0.7516,14.4,30.2
245.tiff,deep_captured,6244,13984,0.4006,146.0638,0.5994,253,0.3176,0.0783,0.3511,3.7,30.2
245.tiff,deep_captured,6246,15499,0.444,144.3269,0.556,561,0.8166,0.0795,0.4082,14.9,30.2
245.tiff,deep_captured,6326,15958,0.4571,143.8208,0.5429,1074,0.9572,0.0907,0.8748,26.0,30.2
245.tiff,deep_captured,6248,17472,0.5005,142.0961,0.4995,892,0.9307,0.0847,0.6718,8.9,30.2
245.tiff,median_captured,6299,944,0.027,178.0597,0.973,93,0.023,0.0962,0.9474,,30.2
