dtype,array_mb,n_candidates,copyMakeBorder_pad25_ms,clamped_slice_ms,pad_overhead_factor
float32,156.19032,50,33.80146203562617,2.430428983643651,13.90761148056739
float32,156.19032,100,33.80146203562617,5.417698994278908,6.239080848035399
float64,312.38064,50,63.897678977809846,2.360666054300964,27.067648497504706
float64,312.38064,100,63.897678977809846,4.857759922742844,13.153733406761528
