z,K,n_pairs,n_roi,n_seed,allseed_mean,allseed_lo,allseed_hi,allseed_p,seed0,seed_min,seed_max,seed_sd,seed0_rank_of_n
0.5,10,70,14,5,0.008571428571428574,-0.06825628000399735,0.0853991371468545,0.8132949505639357,0.05714285714285713,-0.02857142857142858,0.05714285714285713,0.036908601950753746,1
0.5,25,70,14,5,0.028000000000000008,-0.041102115241180556,0.09710211524118058,0.397255138404069,0.06285714285714286,-7.93016446160826e-18,0.06285714285714286,0.02253342188929184,1
0.5,50,70,14,5,0.01342857142857143,-0.031625342606165466,0.05848248546330832,0.5308305597655121,0.051428571428571435,-0.012857142857142841,0.051428571428571435,0.02400255088484538,1
0.5,75,70,14,5,0.02609523809523809,-0.011406765603364084,0.06359724179384027,0.15667097396670024,0.05904761904761905,0.011428571428571425,0.05904761904761905,0.019256002980723982,1
0.5,100,70,14,5,0.02414285714285714,-0.006100487132188675,0.05438620141790296,0.10827969199227366,0.05285714285714286,0.004999999999999998,0.05285714285714286,0.01763721714362639,1
0.5,150,70,14,5,0.026952380952380953,0.005091866078097966,0.04881289582666394,0.01950148641589136,0.04238095238095237,0.013809523809523815,0.04238095238095237,0.010788630952216742,1
0.5,200,70,14,5,0.027357142857142858,0.009563016654335784,0.04515126905994993,0.0055158419293424256,0.039999999999999994,0.018928571428571427,0.039999999999999994,0.008099351195985907,1
0.5,250,70,14,5,0.021714285714285714,0.007467172264008814,0.03596139916456261,0.005829496007546331,0.03257142857142857,0.01428571428571429,0.03257142857142857,0.007647862179613814,1
0.5,300,70,14,5,0.021380952380952382,0.007518449195038548,0.035243455566866214,0.005403925907769888,0.02904761904761905,0.01476190476190477,0.02904761904761905,0.006464625528207697,1
0.5,400,70,14,5,0.01653571428571429,0.004582965242309408,0.028488463329119168,0.010463711789605713,0.02107142857142857,0.011428571428571429,0.02107142857142857,0.0042588443387896685,1
0.5,500,70,14,5,0.013171428571428572,0.00376278864131201,0.022580068501545134,0.009770187426826475,0.016000000000000004,0.009714285714285717,0.016000000000000004,0.0030546050882066505,1
0.5,750,70,14,5,0.008723809523809524,0.0020680104316662708,0.015379608615952778,0.014146812590263767,0.011714285714285714,0.006285714285714286,0.011714285714285714,0.0023236924248404224,1
0.5,1000,70,14,5,0.005828571428571428,0.0009771057852773733,0.010680037071865482,0.022195662994830438,0.008071428571428571,0.004214285714285716,0.008071428571428571,0.0014424327522966041,1
0.5,1500,70,14,5,0.003666666666666668,0.0005544889519707411,0.006778844381362595,0.02440974488075102,0.004666666666666666,0.0029523809523809533,0.004666666666666666,0.0007788298682760059,1
0.5,2000,70,14,5,0.00247857142857143,0.00015418939645257248,0.004802953460690287,0.03839585654563146,0.0033571428571428576,0.0020357142857142865,0.0033571428571428576,0.000568407190923793,1
0.5,3000,70,14,5,0.0012190476190476196,4.224297893550802e-05,0.0023958522591597314,0.04336346620006989,0.0016190476190476202,0.0010000000000000002,0.0016190476190476202,0.0002395195493325582,1
0.5,5000,70,14,5,0.0003714285714285715,-1.8996372143530909e-06,0.0007447567800714961,0.051014435402423834,0.0004714285714285718,0.0002571428571428573,0.0004714285714285718,8.268454930564448e-05,1
0.5,10000,70,14,5,2.857142857142779e-06,-5.295835199484452e-05,5.8672637709130074e-05,0.9136327132727469,7.142857142856914e-06,-7.142857142857038e-06,1.4285714285714138e-05,8.144110179279453e-06,2
1.0,10,70,14,5,0.009999999999999998,-0.06480309147997304,0.08480309147997303,0.7772826647792856,0.06428571428571428,-0.02857142857142858,0.06428571428571428,0.03931816841292253,1
