budget,n_rois,mean_var_tm,mean_var_ch,median_var_tm,median_var_ch,ratio_of_mean_var,n_rois_ch_lower,sign_test_p,exact_signflip_p_logratio,wilcoxon_p,levene_p_notebook
10,14,0.026357142857142853,0.005571428571428572,0.017,0.002999999999999999,0.21138211382113825,14,0.0001220703125,0.0001220703125,0.0001220703125,6.194014446459113e-08
20,14,0.015107142857142857,0.0058035714285714305,0.008750000000000008,0.0031250000000000006,0.38416075650118214,10,0.1795654296875,0.025390625,0.0166015625,0.0030665949103239
30,14,0.011571428571428576,0.0037380952380952383,0.01138888888888889,0.0022777777777777796,0.3230452674897118,13,0.0018310546875,0.002197265625,0.0003662109375,0.0006582557180848
