file_name,n_mit,kmeans_keeps,kmeans_recall,od_falloff_at_same_volume,od_contrast_at_same_volume,od51_at_same_volume,z_at_same_volume
301.tiff,217,0.488,0.977,0.9862,0.977,0.9585,0.9631
201.tiff,17,0.532,1.0,1.0,1.0,1.0,1.0
246.tiff,115,0.454,1.0,1.0,1.0,0.9913,1.0
459.tiff,130,0.496,0.9615,0.9769,0.9615,0.9538,0.9615
094.tiff,81,0.43,1.0,1.0,1.0,1.0,1.0
548.tiff,238,0.499,0.9958,0.9958,0.9958,0.9916,1.0
402.tiff,104,0.449,1.0,1.0,1.0,1.0,1.0
