rule,pair,K,mean_delta_precision,wins,losses,ties,n_nonzero,exact_p,exact_p_fraction,p_floor,holm_adjusted_p,holm_reject_0.05
strict_less_than,hem_bbox - default_51,10,-0.03571428571428571,0,5,9,5,0.0625,1/16,0.0625,0.4375,False
strict_less_than,hem_bbox - default_51,20,-0.06785714285714287,1,11,2,12,0.0029296875,3/1024,0.00048828125,0.0263671875,True
strict_less_than,hem_bbox - default_51,30,-0.04285714285714286,1,10,3,11,0.0068359375,7/1024,0.0009765625,0.0546875,False
strict_less_than,hem_bbox - gray_bbox,10,-0.02142857142857143,0,3,11,3,0.25,1/4,0.25,0.75,False
strict_less_than,hem_bbox - gray_bbox,20,-0.039285714285714285,3,9,2,12,0.08984375,23/256,0.00048828125,0.5390625,False
strict_less_than,hem_bbox - gray_bbox,30,-0.02619047619047619,3,7,4,10,0.09765625,25/256,0.001953125,0.5390625,False
radius_minus_1px,gray_bbox - default_51,10,-0.014285714285714285,1,3,10,4,0.625,5/8,0.125,0.75,False
radius_minus_1px,gray_bbox - default_51,20,-0.02857142857142857,0,4,10,4,0.125,1/8,0.125,0.5390625,False
radius_minus_1px,gray_bbox - default_51,30,-0.016666666666666666,3,5,6,8,0.296875,19/64,0.0078125,0.75,False
radius_minus_1px,hem_bbox - default_51,10,-0.03571428571428571,0,5,9,5,0.0625,1/16,0.0625,0.4375,False
radius_minus_1px,hem_bbox - default_51,20,-0.06785714285714287,1,11,2,12,0.0029296875,3/1024,0.00048828125,0.0263671875,True
radius_minus_1px,hem_bbox - default_51,30,-0.04285714285714286,1,10,3,11,0.0068359375,7/1024,0.0009765625,0.0546875,False
radius_minus_1px,hem_bbox - gray_bbox,10,-0.02142857142857143,0,3,11,3,0.25,1/4,0.25,0.75,False
radius_minus_1px,hem_bbox - gray_bbox,20,-0.039285714285714285,3,9,2,12,0.08984375,23/256,0.00048828125,0.5390625,False
radius_minus_1px,hem_bbox - gray_bbox,30,-0.02619047619047619,3,7,4,10,0.09765625,25/256,0.001953125,0.5390625,False
radius_plus_1px,gray_bbox - default_51,10,-0.014285714285714285,1,3,10,4,0.625,5/8,0.125,0.75,False
radius_plus_1px,gray_bbox - default_51,20,-0.02857142857142857,0,4,10,4,0.125,1/8,0.125,0.5390625,False
radius_plus_1px,gray_bbox - default_51,30,-0.016666666666666666,3,5,6,8,0.296875,19/64,0.0078125,0.75,False
radius_plus_1px,hem_bbox - default_51,10,-0.03571428571428571,0,5,9,5,0.0625,1/16,0.0625,0.4375,False
radius_plus_1px,hem_bbox - default_51,20,-0.06785714285714287,1,11,2,12,0.0029296875,3/1024,0.00048828125,0.0263671875,True
radius_plus_1px,hem_bbox - default_51,30,-0.04285714285714286,1,10,3,11,0.0068359375,7/1024,0.0009765625,0.0546875,False
radius_plus_1px,hem_bbox - gray_bbox,10,-0.02142857142857143,0,3,11,3,0.25,1/4,0.25,0.75,False
radius_plus_1px,hem_bbox - gray_bbox,20,-0.039285714285714285,3,9,2,12,0.08984375,23/256,0.00048828125,0.5390625,False
radius_plus_1px,hem_bbox - gray_bbox,30,-0.02619047619047619,3,7,4,10,0.09765625,25/256,0.001953125,0.5390625,False
topk_only_repo_greedy,gray_bbox - default_51,10,-0.014285714285714285,1,3,10,4,0.625,5/8,0.125,0.75,False
topk_only_repo_greedy,gray_bbox - default_51,20,-0.02857142857142857,0,4,10,4,0.125,1/8,0.125,0.5390625,False
topk_only_repo_greedy,gray_bbox - default_51,30,-0.016666666666666666,3,5,6,8,0.296875,19/64,0.0078125,0.75,False
topk_only_repo_greedy,hem_bbox - default_51,10,-0.03571428571428571,0,5,9,5,0.0625,1/16,0.0625,0.4375,False
topk_only_repo_greedy,hem_bbox - default_51,20,-0.06785714285714287,1,11,2,12,0.0029296875,3/1024,0.00048828125,0.0263671875,True
topk_only_repo_greedy,hem_bbox - default_51,30,-0.04285714285714286,1,10,3,11,0.0068359375,7/1024,0.0009765625,0.0546875,False
topk_only_repo_greedy,hem_bbox - gray_bbox,10,-0.02142857142857143,0,3,11,3,0.25,1/4,0.25,0.75,False
topk_only_repo_greedy,hem_bbox - gray_bbox,20,-0.039285714285714285,3,9,2,12,0.08984375,23/256,0.00048828125,0.5390625,False
topk_only_repo_greedy,hem_bbox - gray_bbox,30,-0.02619047619047619,3,7,4,10,0.09765625,25/256,0.001953125,0.5390625,False
contested_neutral,gray_bbox - default_51,10,-0.014200680272108844,2,3,9,5,0.5,,0.0625,0.9375,False
contested_neutral,gray_bbox - default_51,20,-0.031416162956410636,1,5,8,6,0.0625,,0.03125,0.4375,False
contested_neutral,gray_bbox - default_51,30,-0.018547936503349544,3,6,5,9,0.23828125,,0.00390625,0.71484375,False
contested_neutral,hem_bbox - default_51,10,-0.026899092970521538,1,5,8,6,0.15625,,0.03125,0.625,False
contested_neutral,hem_bbox - default_51,20,-0.06657357520360616,1,11,2,12,0.00341796875,,0.00048828125,0.028564453125,True
contested_neutral,hem_bbox - default_51,30,-0.043466599866666636,2,12,0,14,0.003173828125,,0.0001220703125,0.028564453125,True
contested_neutral,hem_bbox - gray_bbox,10,-0.012698412698412693,2,5,7,7,0.46875,,0.015625,0.9375,False
contested_neutral,hem_bbox - gray_bbox,20,-0.03515741224719553,3,9,2,12,0.1142578125,,0.00048828125,0.5712890625,False
contested_neutral,hem_bbox - gray_bbox,30,-0.024918663363317096,3,9,2,12,0.078125,,0.00048828125,0.46875,False
