tumor_type,file_name,budget_pre_nms,n_pre,n_det,z_cut,P,P_worst,null_P,R,R_worst,F1,cov
canine lung cancer,201.tiff,100,99.0,97.0,5.2397211187846295,0.11458333333333333,0.061855670103092786,0.0014238484960610801,0.6470588235294118,0.35294117647058826,0.19469026548672563,0.008436233386747101
canine lung cancer,201.tiff,250,249.0,246.0,4.682725852738194,0.04878048780487805,0.03643724696356275,0.0014149768672188578,0.7058823529411765,0.5294117647058824,0.09125475285171103,0.021389072171426778
canine lung cancer,201.tiff,500,499.0,485.0,4.2838127492004805,0.02631578947368421,0.022267206477732792,0.0014009001155721264,0.7647058823529411,0.6470588235294118,0.050880626223091974,0.042330411286015016
canine lung cancer,201.tiff,1000,999.0,958.0,3.8283773155407332,0.015053763440860216,0.014184397163120567,0.0013735888902357291,0.8235294117647058,0.8235294117647058,0.029567053854276666,0.08250070694693185
canine lung cancer,201.tiff,2500,2499.0,2345.0,3.234430457902176,0.007249466950959489,0.006587072869493619,0.0012975197868210317,1.0,0.9411764705882353,0.014394580863674853,0.1965155371225689
canine lung cancer,201.tiff,5000,4999.0,4419.0,2.689677173392343,0.003847024213622992,0.0035699286014279717,0.0011940764132429024,1.0,1.0,0.007664562669071236,0.3578643918685393
canine lung cancer,233.tiff,-1,34461.0,15074.0,1.0002339973764396,0.0011277696696298262,0.0011277696696298262,0.0008316838463840774,1.0,1.0,0.0022529984759127957,0.8963929996543815
canine lung cancer,233.tiff,10,9.0,8.0,10.83498924637985,0.375,0.375,0.0015076852527536322,0.17647058823529413,0.17647058823529413,0.24,0.0006912370000314199
canine lung cancer,233.tiff,25,24.0,23.0,10.16869606108934,0.30434782608695654,0.30434782608695654,0.0015066826155099699,0.4117647058823529,0.4117647058823529,0.35,0.001971596443271436
canine lung cancer,233.tiff,50,49.0,46.0,9.57263856666471,0.21739130434782608,0.16666666666666666,0.001505146964698527,0.5882352941176471,0.47058823529411764,0.3174603174603175,0.003935337920633424
canine lung cancer,233.tiff,100,99.0,95.0,8.783887599532303,0.11578947368421053,0.09183673469387756,0.0015018823157547352,0.6470588235294118,0.5294117647058824,0.19642857142857142,0.008161309579916422
canine lung cancer,233.tiff,250,249.0,241.0,7.82951045913493,0.04979253112033195,0.04032258064516129,0.0014922108486254025,0.7058823529411765,0.5882352941176471,0.09302325581395347,0.020713545103214253
canine lung cancer,233.tiff,500,499.0,472.0,7.132205426838061,0.03389830508474576,0.024096385542168676,0.0014770779819245376,0.9411764705882353,0.7058823529411765,0.06543967280163598,0.04050020422911364
canine lung cancer,233.tiff,1000,999.0,909.0,6.34953522215868,0.0176017601760176,0.014028056112224449,0.001449007212992214,0.9411764705882353,0.8235294117647058,0.0345572354211663,0.0762010242875546
canine lung cancer,233.tiff,2500,2499.0,2172.0,5.298433658298537,0.007826887661141806,0.006879805746661271,0.0013718064086901084,1.0,1.0,0.015532206486980359,0.17618688534891758
canine lung cancer,233.tiff,5000,4999.0,4031.0,4.457867755194301,0.0042173158025303895,0.0035387177352206494,0.0012680000423074531,1.0,1.0,0.008399209486166006,0.3144657052188394
canine lymphosarcoma,245.tiff,-1,52238.0,16747.0,1.0002318170282278,0.005280018984337921,0.005075535916880636,0.0040824884754844856,0.9775280898876404,0.9550561797752809,0.010504573620537033,0.9488798818613127
canine lymphosarcoma,245.tiff,10,9.0,8.0,5.29120889748084,0.125,0.0,0.0077504880176010316,0.011235955056179775,0.0,0.020618556701030927,0.0006990919659408679
canine lymphosarcoma,245.tiff,25,24.0,22.0,4.804530252752042,0.13043478260869565,0.0,0.0077457642286992345,0.033707865168539325,0.0,0.06282175032175032,0.0019244666478147486
canine lymphosarcoma,245.tiff,50,49.0,47.0,4.553516628499673,0.1702127659574468,0.0,0.007737675233520386,0.0898876404494382,0.0,0.125,0.004021742545637352
canine lymphosarcoma,245.tiff,100,99.0,94.0,4.32217321991855,0.11702127659574468,0.020833333333333332,0.007722538711219883,0.12359550561797752,0.02247191011235955,0.12021857923497267,0.008247714204920351
canine lymphosarcoma,245.tiff,250,249.0,237.0,3.948411595974436,0.06198347107438017,0.029535864978902954,0.007675366067082911,0.16853932584269662,0.07865168539325842,0.0906344410876133,0.020619285512300876
canine lymphosarcoma,245.tiff,500,499.0,466.0,3.7293467033981944,0.04721030042918455,0.032119914346895075,0.007598254138171913,0.24719101123595505,0.16853932584269662,0.07927927927927929,0.04056304395638923
canine lymphosarcoma,245.tiff,1000,999.0,913.0,3.4972506828941157,0.03528114663726571,0.020833333333333332,0.007454798681663902,0.3595505617977528,0.21348314606741572,0.0642570281124498,0.0786596286172118
canine lymphosarcoma,245.tiff,2500,2499.0,2117.0,3.148460589510443,0.022684310018903593,0.01653282947567312,0.007080257673430683,0.5393258426966292,0.39325842696629215,0.0435374149659864,0.17796996261036227
canine lymphosarcoma,245.tiff,5000,4999.0,3894.0,2.8643687422352104,0.014877262583684603,0.013949883750968742,0.006575051819221541,0.6629213483146067,0.6067415730337079,0.029112081513828242,0.3155732554120715
canine lymphosarcoma,246.tiff,-1,34771.0,16836.0,1.000258844131478,0.006830601092896175,0.006520383285139196,0.00525782737750101,1.0,0.9826086956521739,0.013568521031207597,0.9439783831338172
canine lymphosarcoma,246.tiff,10,9.0,8.0,9.783182448861162,1.0,0.875,0.010027729750757552,0.06956521739130435,0.06086956521739131,0.13008130081300812,0.0006833820341219719
canine lymphosarcoma,246.tiff,25,24.0,23.0,8.67719967342552,0.8695652173913043,0.7391304347826086,0.010021173126557592,0.17391304347826086,0.14782608695652175,0.2898550724637681,0.00199516134099978
canine lymphosarcoma,246.tiff,50,49.0,48.0,7.70848982233176,0.6739130434782609,0.625,0.010010258118497047,0.26956521739130435,0.2608695652173913,0.38509316770186336,0.004116002136550727
canine lymphosarcoma,246.tiff,100,99.0,96.0,6.72639036790732,0.5,0.46808510638297873,0.009988910659801887,0.41739130434782606,0.3826086956521739,0.4549763033175355,0.008310553932195935
canine lymphosarcoma,246.tiff,250,249.0,239.0,5.595599616346815,0.2966101694915254,0.288135593220339,0.009926525847085796,0.6173913043478261,0.591304347826087,0.39886039886039887,0.020650705375938667
canine lymphosarcoma,246.tiff,500,499.0,467.0,4.899480729076251,0.18629550321199143,0.1704312114989733,0.009829235791253506,0.7565217391304347,0.7130434782608696,0.29896907216494845,0.039801112263172775
canine lymphosarcoma,246.tiff,1000,999.0,920.0,4.287403096085276,0.10760869565217392,0.09593326381647549,0.009639281060711116,0.8521739130434782,0.8,0.19130434782608696,0.07763062808307412
canine lymphosarcoma,246.tiff,2500,2499.0,2227.0,3.4454344691156322,0.04899777282850779,0.04442545920546775,0.00911705182239441,0.9478260869565217,0.9043478260869565,0.09322033898305085,0.18155968203098
canine lymphosarcoma,246.tiff,5000,4999.0,4216.0,2.95094291952717,0.0264808362369338,0.024530386740331492,0.008393479120739443,0.9652173913043478,0.9478260869565217,0.05158371040723982,0.33171521035598706
canine soft tissue sarcoma,459.tiff,-1,19107.0,14166.0,1.000294182304722,0.009130804077010193,0.008210180623973728,0.006558228486137293,1.0,0.9923076923076923,0.018095104502735306,0.8857259559493512
canine soft tissue sarcoma,459.tiff,10,9.0,8.0,6.848674481662265,0.875,0.5,0.011503960450269801,0.05384615384615385,0.03076923076923077,0.10144927536231883,0.0007148018977597637
canine soft tissue sarcoma,459.tiff,25,24.0,23.0,6.00139947715402,0.7391304347826086,0.5217391304347826,0.011496326962992303,0.13076923076923078,0.09230769230769231,0.22222222222222224,0.0020658560341848117
canine soft tissue sarcoma,459.tiff,50,49.0,48.0,5.576766796974641,0.625,0.4583333333333333,0.01148361948817215,0.23076923076923078,0.16923076923076924,0.33707865168539325,0.004225971659282999
canine soft tissue sarcoma,459.tiff,100,99.0,98.0,5.182014542845937,0.5306122448979592,0.3673469387755102,0.011458260691524202,0.4,0.27692307692307694,0.456140350877193,0.008577622773117164
canine soft tissue sarcoma,459.tiff,250,249.0,248.0,4.62507118698708,0.29838709677419356,0.2145748987854251,0.011382631296765937,0.5692307692307692,0.4076923076923077,0.3915343915343915,0.02153831652370629
canine soft tissue sarcoma,459.tiff,500,499.0,496.0,4.284329704173412,0.17269076305220885,0.13535353535353536,0.011258057555257658,0.6615384615384615,0.5153846153846153,0.27388535031847133,0.04266817482012128
canine soft tissue sarcoma,459.tiff,1000,999.0,993.0,3.9153420566418147,0.09819639278557114,0.0872210953346856,0.011015774721642396,0.7538461538461538,0.6615384615384615,0.17375886524822695,0.08433876896974267
canine soft tissue sarcoma,459.tiff,2500,2499.0,2447.0,3.37376769046163,0.04284559417946645,0.04161516275236918,0.010346946769878487,0.8153846153846154,0.7769230769230769,0.08141321044546851,0.2029408992364973
canine soft tissue sarcoma,459.tiff,5000,4999.0,4777.0,2.881757409559277,0.024132091447925486,0.02376562179881172,0.009384387149037172,0.8923076923076924,0.8769230769230769,0.04697156983930778,0.3793948534263361
canine soft tissue sarcoma,460.tiff,-1,18043.0,12958.0,1.0002099633951047,0.0027010341102021917,0.0025140066082459415,0.0018220189947132342,1.0,1.0,0.0053875163549603625,0.8408191158450372
canine soft tissue sarcoma,460.tiff,10,9.0,8.0,7.957262308563067,0.625,0.25,0.0030310976876964796,0.14285714285714285,0.05714285714285714,0.23255813953488372,0.0007226568636692117
canine soft tissue sarcoma,460.tiff,25,24.0,23.0,7.335827551840302,0.5217391304347826,0.21739130434782608,0.0030291293241408133,0.34285714285714286,0.14285714285714285,0.4137931034482759,0.002026581204637572
canine soft tissue sarcoma,460.tiff,50,49.0,48.0,6.966088022520047,0.3125,0.20833333333333334,0.0030258525045661253,0.42857142857142855,0.2857142857142857,0.3614457831325301,0.004210261727464103
canine soft tissue sarcoma,460.tiff,100,99.0,98.0,6.61196518549632,0.17346938775510204,0.16494845360824742,0.0030193130365963445,0.4857142857142857,0.45714285714285713,0.2556390977443609,0.008616897602664405
canine soft tissue sarcoma,460.tiff,250,249.0,247.0,5.9654008835474475,0.08906882591093117,0.0860655737704918,0.002999936930935726,0.6285714285714286,0.6,0.15602836879432624,0.02153046155779684
canine soft tissue sarcoma,460.tiff,500,499.0,496.0,5.500621788817412,0.052313883299798795,0.044897959183673466,0.0029679258302390383,0.7428571428571429,0.6285714285714286,0.09774436090225565,0.04285669400194803
canine soft tissue sarcoma,460.tiff,1000,999.0,990.0,5.028510963391609,0.028282828282828285,0.02663934426229508,0.002905758844502484,0.8,0.7428571428571429,0.05463414634146342,0.08481006692430955
canine soft tissue sarcoma,460.tiff,2500,2499.0,2434.0,4.300640797091909,0.012736236647493838,0.012259910093992644,0.002733796175970081,0.8857142857142857,0.8571428571428571,0.02511138112596193,0.20426053350928458
canine soft tissue sarcoma,460.tiff,5000,4999.0,4711.0,3.591459897975549,0.007166947723440135,0.00695322376738306,0.0024913304685851858,0.9428571428571428,0.9142857142857143,0.014228918183720443,0.37802023439218274
human breast cancer,013.tiff,-1,23718.0,12523.0,1.0000843842418763,0.0013575021959594347,0.0012638465541595421,0.0009093330462707529,1.0,1.0,0.002711323763955343,0.7914696282924213
human breast cancer,013.tiff,10,9.0,8.0,23.208100545442136,0.5,0.375,0.0015038935225250988,0.23529411764705882,0.17647058823529413,0.31999999999999995,0.0006933134496268534
human breast cancer,013.tiff,25,24.0,23.0,19.26144778040827,0.2608695652173913,0.17391304347826086,0.001502895921555435,0.35294117647058826,0.23529411764705882,0.3,0.0019949113409074557
human breast cancer,013.tiff,50,49.0,48.0,17.559257838087333,0.16666666666666666,0.10416666666666667,0.0015012352134905367,0.47058823529411764,0.29411764705882354,0.24615384615384617,0.004159880697761121
human breast cancer,013.tiff,100,99.0,97.0,16.08041084450467,0.11224489795918367,0.10204081632653061,0.001498053509255867,0.6470588235294118,0.5882352941176471,0.19130434782608696,0.008404790403495347
human breast cancer,013.tiff,250,249.0,241.0,13.978212518769338,0.06639004149377593,0.04526748971193416,0.0014884965979631043,0.9411764705882353,0.6470588235294118,0.12403100775193798,0.02081902556756863
human breast cancer,013.tiff,500,499.0,477.0,12.059456322466591,0.035416666666666666,0.027253668763102725,0.001473115317354884,1.0,0.7647058823529411,0.06841046277665996,0.04109517362269359
human breast cancer,013.tiff,1000,999.0,936.0,10.36905581096478,0.018008474576271187,0.017094017094017096,0.0014438039916150336,1.0,0.9411764705882353,0.035379812695109265,0.07971142462832513
human breast cancer,013.tiff,2500,2499.0,2186.0,7.957042998117311,0.00777676120768527,0.007674943566591422,0.0013678558976932935,1.0,1.0,0.015433499773036768,0.1785478353576778
human breast cancer,013.tiff,5000,4999.0,4008.0,5.874911083493812,0.0042415169660678645,0.004205838693715982,0.0012665574180163108,1.0,1.0,0.0084472049689441,0.30701358501919696
human breast cancer,094.tiff,-1,40820.0,15369.0,1.0005187097709216,0.005270349404645715,0.005260081823495032,0.0038841183346251355,1.0,1.0,0.010485436893203881,0.8850144787644788
human breast cancer,094.tiff,10,9.0,8.0,14.745773469062266,0.5,0.5,0.007042847204554406,0.04938271604938271,0.04938271604938271,0.0898876404494382,0.000744047619047619
human breast cancer,094.tiff,25,24.0,23.0,13.736235371480015,0.6086956521739131,0.5416666666666666,0.007038255386654195,0.1728395061728395,0.16049382716049382,0.2692307692307692,0.0020645645645645644
human breast cancer,094.tiff,50,49.0,48.0,12.231771085897835,0.6458333333333334,0.48936170212765956,0.007030611224926514,0.38271604938271603,0.2839506172839506,0.48062015503875966,0.0042497854997855
human breast cancer,094.tiff,100,99.0,96.0,10.782824501222168,0.4270833333333333,0.375,0.007015965448868438,0.5061728395061729,0.4444444444444444,0.4632768361581921,0.008412430287430288
human breast cancer,094.tiff,250,249.0,236.0,9.440912686591748,0.22270742358078602,0.18220338983050846,0.006975596566962848,0.6296296296296297,0.5308641975308642,0.32903225806451614,0.02027027027027027
human breast cancer,094.tiff,500,499.0,455.0,8.317625982558575,0.13318284424379231,0.11868131868131868,0.006911290873935632,0.7283950617283951,0.6666666666666666,0.22519083969465645,0.03852960102960103
human breast cancer,094.tiff,1000,999.0,857.0,7.030454800877468,0.0843644544431946,0.07701283547257877,0.006792207301981167,0.8765432098765432,0.8148148148148148,0.15463917525773196,0.07104649292149293
human breast cancer,094.tiff,2500,2499.0,1930.0,5.0898517088051625,0.04093264248704663,0.03742802303262956,0.0064800307575133866,0.9629629629629629,0.9629629629629629,0.07856787667826952,0.15307271557271557
human breast cancer,094.tiff,5000,4999.0,3785.0,3.989820934723509,0.021400264200792603,0.020045101478326235,0.005998207348721012,1.0,0.9876543209876543,0.04190377651319193,0.29414012226512226
human melanoma,529.tiff,-1,18436.0,11512.0,1.0001208282270242,0.00165045170257123,0.0016237928382189556,0.0010400877112066037,1.0,1.0,0.0032954644003122015,0.7770016155511514
human melanoma,529.tiff,10,9.0,8.0,11.702139144702196,0.375,0.125,0.0016346807744827413,0.15789473684210525,0.05263157894736842,0.22222222222222218,0.0007063948354688696
human melanoma,529.tiff,25,24.0,23.0,10.722002084583655,0.17391304347826086,0.13636363636363635,0.0016336261778582756,0.21052631578947367,0.15789473684210525,0.1904761904761905,0.0019949113409074557
human melanoma,529.tiff,50,49.0,47.0,10.156181140180303,0.1276595744680851,0.10638297872340426,0.00163194070966888,0.3157894736842105,0.2631578947368421,0.1818181818181818,0.004002904067656928
human melanoma,529.tiff,100,99.0,96.0,9.436602055110846,0.08602150537634409,0.07291666666666667,0.001628436760308041,0.42105263157894735,0.3684210526315789,0.14285714285714285,0.008103918529128977
human melanoma,529.tiff,250,249.0,235.0,8.378815148895372,0.05439330543933055,0.045454545454545456,0.0016183319163889495,0.6842105263157895,0.5789473684210527,0.10077519379844962,0.019118445408106536
human melanoma,529.tiff,500,499.0,457.0,7.395353917106518,0.03275109170305677,0.030732860520094562,0.0016027486542872465,0.7894736842105263,0.6842105263157895,0.06289308176100629,0.03734735657895597
human melanoma,529.tiff,1000,999.0,881.0,6.230930988712175,0.017448200654307525,0.0170261066969353,0.001572379830845089,0.8421052631578947,0.7894736842105263,0.03418803418803419,0.07071797186193905
human melanoma,529.tiff,2500,2499.0,2154.0,4.967913142883097,0.008317025440313111,0.008068130883012102,0.00149399745852945,0.9473684210526315,0.8947368421052632,0.016480853126514785,0.17358344943063267
human melanoma,529.tiff,5000,4999.0,4145.0,3.9201082621248964,0.004583835946924005,0.004511992400854904,0.0013799390052418445,1.0,0.9473684210526315,0.009125840537944286,0.3280484534531588
human melanoma,548.tiff,-1,26521.0,14484.0,1.0001549847306204,0.01636288318144159,0.01564554299237444,0.011714362565549878,1.0,0.9957983193277311,0.03219671240320608,0.877329304266494
human melanoma,548.tiff,10,9.0,8.0,13.564445967378635,0.75,0.625,0.020498890166953276,0.025210084033613446,0.02100840336134454,0.04878048780487805,0.0007063948354688696
human melanoma,548.tiff,25,24.0,23.0,12.360863081558843,0.8260869565217391,0.6086956521739131,0.020485651089810934,0.07983193277310924,0.058823529411764705,0.14559386973180075,0.002007992726749472
human melanoma,548.tiff,50,49.0,48.0,11.365976313107266,0.7021276595744681,0.625,0.020463611288953947,0.13865546218487396,0.12605042016806722,0.23157894736842108,0.004146799311919105
human melanoma,548.tiff,100,99.0,98.0,10.015441053193955,0.6804123711340206,0.6530612244897959,0.02042050494173553,0.2773109243697479,0.2689075630252101,0.3940298507462687,0.008483278718547442
human melanoma,548.tiff,250,249.0,244.0,8.040543877060795,0.5518672199170125,0.4918032786885246,0.02029191078993052,0.5588235294117647,0.5042016806722689,0.5553235908141962,0.02110681605609298
human melanoma,548.tiff,500,499.0,483.0,6.4199227437900515,0.38247863247863245,0.36438923395445133,0.020085135386825333,0.773109243697479,0.7394957983193278,0.5082872928176796,0.04082046452001125
human melanoma,548.tiff,1000,999.0,946.0,5.335102217341819,0.22210636079249219,0.2135306553911205,0.019692517148498786,0.8949579831932774,0.8487394957983193,0.355889724310777,0.07926665750969658
human melanoma,548.tiff,2500,2499.0,2311.0,4.240404593068263,0.09819121447028424,0.09483488569009314,0.01859345216589424,0.9537815126050421,0.9411764705882353,0.178125,0.18862050245603018
human melanoma,548.tiff,5000,4999.0,4390.0,3.526328039788843,0.05330296127562642,0.050569176882662,0.017073871051397797,0.9789915966386554,0.9705882352941176,0.10112359550561796,0.34390309309368233
human neuroendocrine tumor,402.tiff,-1,33243.0,15445.0,1.0001065700984106,0.006733570734865652,0.00622791783939158,0.00499515145232299,1.0,1.0,0.013377066049263617,0.9154288405313659
human neuroendocrine tumor,402.tiff,10,9.0,8.0,8.427288825896994,0.5,0.1111111111111111,0.009108391998241538,0.038461538461538464,0.009615384615384616,0.07142857142857144,0.0007129355283898776
human neuroendocrine tumor,402.tiff,25,24.0,23.0,7.68326173872763,0.5454545454545454,0.2727272727272727,0.009102808941453967,0.11538461538461539,0.057692307692307696,0.19047619047619047,0.002001452033828464
human neuroendocrine tumor,402.tiff,50,49.0,48.0,6.998822483796849,0.4782608695652174,0.30434782608695654,0.009093248599902093,0.21153846153846154,0.1346153846153846,0.29333333333333333,0.0042056655482081776
human neuroendocrine tumor,402.tiff,100,99.0,97.0,6.483787043199985,0.44329896907216493,0.30851063829787234,0.009073771115559924,0.41346153846153844,0.27884615384615385,0.42786069651741293,0.008496360104389459
human neuroendocrine tumor,402.tiff,250,249.0,243.0,5.704684588118407,0.291497975708502,0.23404255319148937,0.009018427060367507,0.6826923076923077,0.5288461538461539,0.4092219020172911,0.021067571898566933
human neuroendocrine tumor,402.tiff,500,499.0,475.0,5.12094389900707,0.17611336032388664,0.15859030837004406,0.008928149635788068,0.8365384615384616,0.6923076923076923,0.29096989966555187,0.04032991255093565
human neuroendocrine tumor,402.tiff,1000,999.0,917.0,4.543584235573284,0.10113636363636364,0.09304703476482618,0.008756672284241696,0.875,0.8365384615384616,0.18089430894308942,0.07702974053071182
human neuroendocrine tumor,402.tiff,2500,2499.0,2143.0,3.7032385729485573,0.04759682687820812,0.04093567251461988,0.00830733906743326,0.9615384615384616,0.9423076923076923,0.09078771695594125,0.1747542334634931
human neuroendocrine tumor,402.tiff,5000,4999.0,4004.0,3.0726163275615233,0.025724275724275724,0.02189464556687622,0.007685003051446812,0.9903846153846154,0.9711538461538461,0.0501460564751704,0.31391401605086044
human neuroendocrine tumor,403.tiff,-1,21148.0,11162.0,1.0002831947505089,0.004658663321985307,0.004594045410371941,0.0029151610799826185,1.0,1.0,0.009274121633672194,0.6732596851310427
human neuroendocrine tumor,403.tiff,10,9.0,8.0,20.478247795944686,0.5,0.375,0.004557464339839168,0.07692307692307693,0.057692307692307696,0.13333333333333336,0.0006736913708638294
human neuroendocrine tumor,403.tiff,25,24.0,23.0,19.081146591628414,0.30434782608695654,0.21739130434782608,0.004554469210004565,0.1346153846153846,0.09615384615384616,0.18666666666666668,0.0019949113409074557
human neuroendocrine tumor,403.tiff,50,49.0,48.0,17.0674538362974,0.25,0.20454545454545456,0.004549483157595929,0.23076923076923078,0.17307692307692307,0.24000000000000002,0.004153340004840113
human neuroendocrine tumor,403.tiff,100,99.0,96.0,15.852480248411336,0.1958762886597938,0.1276595744680851,0.004540327828214488,0.36538461538461536,0.23076923076923078,0.25503355704697983,0.00832630208844325
human neuroendocrine tumor,403.tiff,250,249.0,239.0,13.882162889478527,0.12133891213389121,0.08085106382978724,0.004512220363586204,0.5576923076923077,0.36538461538461536,0.1993127147766323,0.020446206071071168
human neuroendocrine tumor,403.tiff,500,499.0,475.0,12.472403155682073,0.06751054852320675,0.0525164113785558,0.004465435293432817,0.6153846153846154,0.46153846153846156,0.12167300380228137,0.03993747097567516
human neuroendocrine tumor,403.tiff,1000,999.0,933.0,11.091632395050292,0.04068522483940043,0.03891891891891892,0.004377578915832281,0.7307692307692307,0.6923076923076923,0.07707910750507099,0.07742872279889332
human neuroendocrine tumor,403.tiff,2500,2499.0,2190.0,8.940570406586426,0.0216390423572744,0.021004566210045664,0.004148095747779319,0.9038461538461539,0.8461538461538461,0.04226618705035971,0.17188286927117058
human neuroendocrine tumor,403.tiff,5000,4999.0,3942.0,7.131229363232653,0.01293759512937595,0.012639405204460967,0.0038546611560186226,0.9807692307692307,0.9615384615384616,0.025538307461191786,0.29195036922211537
