tumor_type,file_name,budget_pre_nms,n_pre,n_det,z_cut,P,P_worst,null_P,R,R_worst,F1,cov
canine cutaneous mast cell tumor,300.tiff,-1,25079.0,15476.0,1.0004600401405777,0.011501680020677177,0.011315506669195272,0.0086594706527124,0.9944444444444445,0.9888888888888889,0.022738886050076648,0.9070420689711651
canine cutaneous mast cell tumor,300.tiff,10,9.0,8.0,9.033552164077134,0.875,0.75,0.01586616900298793,0.03888888888888889,0.03333333333333333,0.07446808510638299,0.0007042887911619946
canine cutaneous mast cell tumor,300.tiff,25,24.0,23.0,8.35039771901997,0.7391304347826086,0.6818181818181818,0.01585568218871043,0.09444444444444444,0.08333333333333333,0.16748768472906403,0.0019900253052600545
canine cutaneous mast cell tumor,300.tiff,50,49.0,48.0,7.70920989359001,0.6666666666666666,0.5333333333333333,0.015838224696538283,0.17777777777777778,0.13333333333333333,0.2807017543859649,0.00415202810603641
canine cutaneous mast cell tumor,300.tiff,100,99.0,98.0,6.971111929796432,0.5360824742268041,0.46938775510204084,0.01580338655323592,0.28888888888888886,0.23333333333333334,0.3754512635379061,0.008525170134879493
canine cutaneous mast cell tumor,300.tiff,250,249.0,246.0,6.100425410985841,0.32113821138211385,0.31020408163265306,0.01570086317447711,0.4388888888888889,0.38333333333333336,0.37089201877934275,0.021480808130440836
canine cutaneous mast cell tumor,300.tiff,500,499.0,492.0,5.509829193687341,0.22325581395348837,0.20934959349593496,0.015532409819787629,0.5888888888888889,0.5333333333333333,0.31689088191330345,0.04263404007894586
canine cutaneous mast cell tumor,300.tiff,1000,999.0,980.0,5.017392641908172,0.14705882352941177,0.12653061224489795,0.015212606488746781,0.7388888888888889,0.6888888888888889,0.24871355060034306,0.08381855555282576
canine cutaneous mast cell tumor,300.tiff,2500,2499.0,2429.0,4.410155530951072,0.06517311608961303,0.06093042404281598,0.01429378342941509,0.8666666666666667,0.8222222222222222,0.12144212523719164,0.20195071616342775
canine cutaneous mast cell tumor,300.tiff,5000,4999.0,4768.0,3.8443217022574,0.03429752066115702,0.03418624161073826,0.01296298702147677,0.9222222222222223,0.9055555555555556,0.06613545816733067,0.3764996847079249
canine cutaneous mast cell tumor,301.tiff,-1,38413.0,17529.0,1.0006702755353158,0.01237948542415426,0.012288351548785322,0.00972409386046532,1.0,0.9907834101382489,0.024456215485179757,0.9467197340081402
canine cutaneous mast cell tumor,301.tiff,10,9.0,8.0,8.031395287489,0.75,0.5555555555555556,0.019050888001384506,0.027649769585253458,0.02304147465437788,0.05333333333333334,0.0007124781957103898
canine cutaneous mast cell tumor,301.tiff,25,24.0,23.0,7.649743953903153,0.782608695652174,0.5833333333333334,0.019038346688533856,0.08294930875576037,0.06451612903225806,0.15000000000000002,0.002030972328002031
canine cutaneous mast cell tumor,301.tiff,50,49.0,48.0,7.184226370461696,0.7708333333333334,0.6041666666666666,0.01901746895611339,0.17050691244239632,0.1336405529953917,0.2792452830188679,0.0042011645333267815
canine cutaneous mast cell tumor,301.tiff,100,99.0,97.0,6.692054490787084,0.7142857142857143,0.5257731958762887,0.01897830141925597,0.31797235023041476,0.2304147465437788,0.4423076923076923,0.008345003234814796
canine cutaneous mast cell tumor,301.tiff,250,249.0,241.0,5.9468547363656405,0.4186991869918699,0.3651452282157676,0.01886474470437802,0.47465437788018433,0.4055299539170507,0.44492440604751615,0.020268776257278333
canine cutaneous mast cell tumor,301.tiff,500,499.0,478.0,5.400323309484182,0.2845360824742268,0.2434077079107505,0.01867694903838818,0.6175115207373272,0.5529953917050692,0.3870014771048745,0.03955482396874923
canine cutaneous mast cell tumor,301.tiff,1000,999.0,941.0,4.952280152188751,0.1720881427072403,0.14285714285714285,0.018306440799723354,0.7557603686635944,0.6497695852534562,0.28034188034188035,0.07655455371839913
canine cutaneous mast cell tumor,301.tiff,2500,2499.0,2266.0,4.2444686823274225,0.08267716535433071,0.07295960428689201,0.017294484650850418,0.8709677419354839,0.815668202764977,0.1510187774670396,0.17888935295514663
canine cutaneous mast cell tumor,301.tiff,5000,4999.0,4322.0,3.704199325083463,0.04688577338542864,0.041331072488342516,0.015869226495165586,0.9308755760368663,0.8986175115207373,0.08931698774080561,0.3276335077676502
canine lung cancer,201.tiff,-1,21744.0,12973.0,1.000227066231744,0.0013104139366376321,0.0012896373843119405,0.0008702722942589482,1.0,1.0,0.0026173979984603544,0.8468438746975838
canine lung cancer,201.tiff,10,9.0,8.0,6.471954174049799,0.375,0.25,0.0014292431812988418,0.17647058823529413,0.11764705882352941,0.24,0.0006833820341219719
canine lung cancer,201.tiff,25,24.0,23.0,6.037355749819852,0.21739130434782608,0.13043478260869565,0.0014283421762502886,0.29411764705882354,0.17647058823529413,0.25,0.001971596443271436
canine lung cancer,201.tiff,50,49.0,47.0,5.650079722577973,0.20833333333333334,0.10638297872340426,0.0014268421836846068,0.5882352941176471,0.29411764705882354,0.3076923076923077,0.0041002922047318315
