file_name,tumor_type,seed_index,seed_ann_id,base_size,n_gt_mitotic,map_median,mad_scale,z_of_0.5,z2.5_cut,floor_limited,n_det_fixed05,recall_fixed05,recall_at_k_fixed05,fixed05_read_50,fixed05_read_80,fixed05_read_100,n_det_z2.5,recall_z25_score,recall_at_k_z25_score,z25_score_read_50,z25_score_read_80,z25_score_read_100,recall_z25_od,recall_at_k_z25_od,z25_od_read_50,z25_od_read_80,z25_od_read_100
506.tiff,human melanoma,0,24233,43,11,-0.0088,0.1589,3.2,0.3884,False,2067,0.45454545454545453,0.09090909090909091,,,,6101,1.0,0.09090909090909091,3122.0,3664.0,3940.0,1.0,0.18181818181818182,138.0,461.0,2883.0
506.tiff,human melanoma,1,24229,39,11,-0.0078,0.1595,3.18,0.391,False,1674,0.2727272727272727,0.0,,,,6172,0.8181818181818182,0.0,2961.0,3628.0,,0.8181818181818182,0.09090909090909091,162.0,763.0,
506.tiff,human melanoma,2,24230,31,11,-0.0075,0.1708,2.97,0.4196,False,2933,0.45454545454545453,0.0,,,,6425,0.7272727272727273,0.0,3480.0,,,0.7272727272727273,0.09090909090909091,123.0,,
506.tiff,human melanoma,3,24238,43,11,-0.0131,0.1701,3.02,0.4122,False,3451,0.8181818181818182,0.0,2287.0,3451.0,,6494,1.0,0.0,2287.0,3451.0,5880.0,1.0,0.18181818181818182,122.0,191.0,3046.0
506.tiff,human melanoma,4,24233,43,11,-0.0088,0.1589,3.2,0.3884,False,2067,0.45454545454545453,0.09090909090909091,,,,6101,1.0,0.09090909090909091,3122.0,3664.0,3940.0,1.0,0.18181818181818182,138.0,461.0,2883.0
350.tiff,human neuroendocrine tumor,0,18164,41,3,-0.0135,0.1689,3.04,0.4088,False,1940,0.3333333333333333,0.0,,,,5919,0.6666666666666666,0.0,2531.0,,,0.6666666666666666,0.0,2362.0,,
350.tiff,human neuroendocrine tumor,1,18164,41,3,-0.0135,0.1689,3.04,0.4088,False,1940,0.3333333333333333,0.0,,,,5919,0.6666666666666666,0.0,2531.0,,,0.6666666666666666,0.0,2362.0,,
350.tiff,human neuroendocrine tumor,2,18159,35,3,-0.007,0.213,2.38,0.5255,False,5475,0.3333333333333333,0.0,,,,4433,0.3333333333333333,0.0,,,,0.3333333333333333,0.0,,,
350.tiff,human neuroendocrine tumor,3,18161,51,3,-0.0092,0.1554,3.28,0.3794,False,593,0.0,0.0,,,,4556,1.0,0.0,3437.0,3639.0,3639.0,1.0,0.0,20.0,41.0,41.0
350.tiff,human neuroendocrine tumor,4,18156,47,3,-0.0112,0.2166,2.36,0.5303,False,4463,0.3333333333333333,0.0,,,,3271,0.3333333333333333,0.0,,,,0.3333333333333333,0.0,,,
