file_name,seed_index,statistic,contrast,auc,ci_lo,ci_hi,n_pos,n_neg
301.tiff,0,fcos_midogpp_r18__mitotic,tp_vs_lookalike,0.8296,0.7861,0.8731,217,106
301.tiff,0,fcos_midogpp_r18__mitotic,tp_vs_unannotated,0.9933,0.9857,1.001,217,20044
301.tiff,0,kaiko_vits16__mitotic,tp_vs_lookalike,0.6547,0.5939,0.7155,217,106
301.tiff,0,kaiko_vits16__mitotic,tp_vs_unannotated,0.7517,0.714,0.7895,217,20044
301.tiff,0,lunit_dino_vits16__mitotic,tp_vs_lookalike,0.5953,0.5311,0.6594,217,106
301.tiff,0,lunit_dino_vits16__mitotic,tp_vs_unannotated,0.6727,0.633,0.7124,217,20044
301.tiff,0,lunit_dino_vits16_16um__mitotic,tp_vs_lookalike,0.643,0.5814,0.7046,217,106
301.tiff,0,lunit_dino_vits16_16um__mitotic,tp_vs_unannotated,0.881,0.8514,0.9105,217,20044
301.tiff,0,resnet18_in1k__mitotic,tp_vs_lookalike,0.5555,0.4897,0.6213,217,106
301.tiff,0,resnet18_in1k__mitotic,tp_vs_unannotated,0.6248,0.5847,0.6649,217,20044
301.tiff,0,resnet18_in1k_16um__mitotic,tp_vs_lookalike,0.6509,0.5899,0.712,217,106
301.tiff,0,resnet18_in1k_16um__mitotic,tp_vs_unannotated,0.7771,0.7403,0.8138,217,20044
301.tiff,0,rawpixel_ccoeff__mitotic,tp_vs_lookalike,0.6783,0.6191,0.7374,217,106
301.tiff,0,rawpixel_ccoeff__mitotic,tp_vs_unannotated,0.7616,0.7242,0.7989,217,20044
301.tiff,0,fcos_midogpp_r18__lookalike,tp_vs_lookalike,0.4079,0.3407,0.475,217,106
301.tiff,0,fcos_midogpp_r18__lookalike,tp_vs_unannotated,0.9133,0.8874,0.9392,217,20044
301.tiff,0,kaiko_vits16__lookalike,tp_vs_lookalike,0.5431,0.4769,0.6093,217,106
301.tiff,0,kaiko_vits16__lookalike,tp_vs_unannotated,0.6223,0.5821,0.6624,217,20044
301.tiff,0,lunit_dino_vits16__lookalike,tp_vs_lookalike,0.4827,0.4154,0.5501,217,106
301.tiff,0,lunit_dino_vits16__lookalike,tp_vs_unannotated,0.5434,0.5039,0.5829,217,20044
301.tiff,0,lunit_dino_vits16_16um__lookalike,tp_vs_lookalike,0.5408,0.4746,0.6071,217,106
301.tiff,0,lunit_dino_vits16_16um__lookalike,tp_vs_unannotated,0.68,0.6404,0.7196,217,20044
