file_name,image_id,tumor_type,decision_grade,seed_index,provenance,seed_ann_id,seed_cx,seed_cy,base_size,map_median,mad_scale,extract_floor,n_pool,channel,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_100,z_cut,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget
301.tiff,301,canine cutaneous mast cell tumor,True,1,b_lookalike,14799,1807.0,911.0,27,-0.01997,0.31988,0.13997,17228,rgb,pipeline,od,True,2.0,True,False,217,108,11762,0.7704,102,2,0.012243,0.9539170506912442,29.609,166.0,1153.0,,0.61979,500,500,149,45,0.6866359447004609
301.tiff,301,canine cutaneous mast cell tumor,True,1,b_lookalike,14799,1807.0,911.0,27,-0.01997,0.31988,0.13997,17228,rgb,pipeline,od,True,2.0,True,False,217,108,11762,0.7704,102,2,0.012243,0.9539170506912442,29.609,166.0,1153.0,,0.61979,1000,1000,168,65,0.7741935483870968
301.tiff,301,canine cutaneous mast cell tumor,True,1,b_lookalike,14799,1807.0,911.0,27,-0.01997,0.31988,0.13997,17228,rgb,pipeline,od,True,2.0,True,False,217,108,11762,0.7704,102,2,0.012243,0.9539170506912442,29.609,166.0,1153.0,,0.61979,2000,2000,182,84,0.8387096774193549
301.tiff,301,canine cutaneous mast cell tumor,True,1,b_lookalike,14799,1807.0,911.0,27,-0.01997,0.31988,0.13997,17228,rgb,pipeline,od,True,2.0,True,False,217,108,11762,0.7704,102,2,0.012243,0.9539170506912442,29.609,166.0,1153.0,,0.61979,5000,5000,197,93,0.9078341013824884
301.tiff,301,canine cutaneous mast cell tumor,True,1,c_random_blob,-1,4506.5,3739.4,25,-0.01766,0.27939,0.12204,17418,rgb,pipeline,od,True,2.0,True,False,217,108,14300,0.8684,100,2,0.012448,0.9308755760368663,29.609,156.0,1418.0,,0.54112,500,500,151,40,0.695852534562212
301.tiff,301,canine cutaneous mast cell tumor,True,1,c_random_blob,-1,4506.5,3739.4,25,-0.01766,0.27939,0.12204,17418,rgb,pipeline,od,True,2.0,True,False,217,108,14300,0.8684,100,2,0.012448,0.9308755760368663,29.609,156.0,1418.0,,0.54112,1000,1000,162,60,0.7465437788018433
301.tiff,301,canine cutaneous mast cell tumor,True,1,c_random_blob,-1,4506.5,3739.4,25,-0.01766,0.27939,0.12204,17418,rgb,pipeline,od,True,2.0,True,False,217,108,14300,0.8684,100,2,0.012448,0.9308755760368663,29.609,156.0,1418.0,,0.54112,2000,2000,177,74,0.815668202764977
301.tiff,301,canine cutaneous mast cell tumor,True,1,c_random_blob,-1,4506.5,3739.4,25,-0.01766,0.27939,0.12204,17418,rgb,pipeline,od,True,2.0,True,False,217,108,14300,0.8684,100,2,0.012448,0.9308755760368663,29.609,156.0,1418.0,,0.54112,5000,5000,191,90,0.880184331797235
301.tiff,301,canine cutaneous mast cell tumor,True,2,a_mitotic,14817,5120.0,1547.0,27,-0.02068,0.26446,0.11155,17696,rgb,pipeline,od,True,2.0,True,False,217,108,14404,0.8733,98,2,0.012288,0.9032258064516129,29.609,176.0,2151.0,,0.50824,500,500,139,38,0.6405529953917051
301.tiff,301,canine cutaneous mast cell tumor,True,2,a_mitotic,14817,5120.0,1547.0,27,-0.02068,0.26446,0.11155,17696,rgb,pipeline,od,True,2.0,True,False,217,108,14404,0.8733,98,2,0.012288,0.9032258064516129,29.609,176.0,2151.0,,0.50824,1000,1000,154,53,0.7096774193548387
301.tiff,301,canine cutaneous mast cell tumor,True,2,a_mitotic,14817,5120.0,1547.0,27,-0.02068,0.26446,0.11155,17696,rgb,pipeline,od,True,2.0,True,False,217,108,14404,0.8733,98,2,0.012288,0.9032258064516129,29.609,176.0,2151.0,,0.50824,2000,2000,172,68,0.7926267281105991
301.tiff,301,canine cutaneous mast cell tumor,True,2,a_mitotic,14817,5120.0,1547.0,27,-0.02068,0.26446,0.11155,17696,rgb,pipeline,od,True,2.0,True,False,217,108,14404,0.8733,98,2,0.012288,0.9032258064516129,29.609,176.0,2151.0,,0.50824,5000,5000,185,89,0.8525345622119815
301.tiff,301,canine cutaneous mast cell tumor,True,2,b_lookalike,15041,1853.5,962.0,41,-0.00483,0.21939,0.10487,16084,rgb,pipeline,od,True,2.0,True,False,217,108,8531,0.6237,73,2,0.007268,0.8064516129032258,29.609,223.0,8495.0,,0.43396,500,500,130,37,0.5990783410138248
301.tiff,301,canine cutaneous mast cell tumor,True,2,b_lookalike,15041,1853.5,962.0,41,-0.00483,0.21939,0.10487,16084,rgb,pipeline,od,True,2.0,True,False,217,108,8531,0.6237,73,2,0.007268,0.8064516129032258,29.609,223.0,8495.0,,0.43396,1000,1000,143,51,0.6589861751152074
301.tiff,301,canine cutaneous mast cell tumor,True,2,b_lookalike,15041,1853.5,962.0,41,-0.00483,0.21939,0.10487,16084,rgb,pipeline,od,True,2.0,True,False,217,108,8531,0.6237,73,2,0.007268,0.8064516129032258,29.609,223.0,8495.0,,0.43396,2000,2000,160,62,0.7373271889400922
301.tiff,301,canine cutaneous mast cell tumor,True,2,b_lookalike,15041,1853.5,962.0,41,-0.00483,0.21939,0.10487,16084,rgb,pipeline,od,True,2.0,True,False,217,108,8531,0.6237,73,2,0.007268,0.8064516129032258,29.609,223.0,8495.0,,0.43396,5000,5000,168,69,0.7741935483870968
301.tiff,301,canine cutaneous mast cell tumor,True,2,c_random_blob,-1,1998.3,457.3,47,-0.0051,0.1781,0.08395,16256,rgb,pipeline,od,True,2.0,True,False,217,108,8767,0.6365,65,2,0.005589,0.7188940092165899,29.609,334.0,,,0.3511,500,500,115,32,0.5299539170506913
301.tiff,301,canine cutaneous mast cell tumor,True,2,c_random_blob,-1,1998.3,457.3,47,-0.0051,0.1781,0.08395,16256,rgb,pipeline,od,True,2.0,True,False,217,108,8767,0.6365,65,2,0.005589,0.7188940092165899,29.609,334.0,,,0.3511,1000,1000,131,41,0.6036866359447005
301.tiff,301,canine cutaneous mast cell tumor,True,2,c_random_blob,-1,1998.3,457.3,47,-0.0051,0.1781,0.08395,16256,rgb,pipeline,od,True,2.0,True,False,217,108,8767,0.6365,65,2,0.005589,0.7188940092165899,29.609,334.0,,,0.3511,2000,2000,140,52,0.6451612903225806
301.tiff,301,canine cutaneous mast cell tumor,True,2,c_random_blob,-1,1998.3,457.3,47,-0.0051,0.1781,0.08395,16256,rgb,pipeline,od,True,2.0,True,False,217,108,8767,0.6365,65,2,0.005589,0.7188940092165899,29.609,334.0,,,0.3511,5000,5000,150,62,0.6912442396313364
301.tiff,301,canine cutaneous mast cell tumor,True,3,a_mitotic,14787,849.0,1388.0,39,-0.01231,0.24303,0.1092,17056,rgb,pipeline,od,True,2.0,True,False,217,108,10476,0.7157,87,2,0.008114,0.9170506912442397,29.609,172.0,1688.0,,0.47374,500,500,140,44,0.6451612903225806
301.tiff,301,canine cutaneous mast cell tumor,True,3,a_mitotic,14787,849.0,1388.0,39,-0.01231,0.24303,0.1092,17056,rgb,pipeline,od,True,2.0,True,False,217,108,10476,0.7157,87,2,0.008114,0.9170506912442397,29.609,172.0,1688.0,,0.47374,1000,1000,160,60,0.7373271889400922
301.tiff,301,canine cutaneous mast cell tumor,True,3,a_mitotic,14787,849.0,1388.0,39,-0.01231,0.24303,0.1092,17056,rgb,pipeline,od,True,2.0,True,False,217,108,10476,0.7157,87,2,0.008114,0.9170506912442397,29.609,172.0,1688.0,,0.47374,2000,2000,176,73,0.8110599078341014
301.tiff,301,canine cutaneous mast cell tumor,True,3,a_mitotic,14787,849.0,1388.0,39,-0.01231,0.24303,0.1092,17056,rgb,pipeline,od,True,2.0,True,False,217,108,10476,0.7157,87,2,0.008114,0.9170506912442397,29.609,172.0,1688.0,,0.47374,5000,5000,192,85,0.8847926267281107
301.tiff,301,canine cutaneous mast cell tumor,True,3,b_lookalike,14822,4356.0,971.0,21,-0.01055,0.39332,0.18611,17377,rgb,pipeline,od,True,2.0,True,False,217,108,3165,0.257,65,1,0.014534,0.6543778801843319,29.609,390.0,,,0.77608,500,500,114,48,0.5253456221198156
301.tiff,301,canine cutaneous mast cell tumor,True,3,b_lookalike,14822,4356.0,971.0,21,-0.01055,0.39332,0.18611,17377,rgb,pipeline,od,True,2.0,True,False,217,108,3165,0.257,65,1,0.014534,0.6543778801843319,29.609,390.0,,,0.77608,1000,1000,127,59,0.5852534562211982
301.tiff,301,canine cutaneous mast cell tumor,True,3,b_lookalike,14822,4356.0,971.0,21,-0.01055,0.39332,0.18611,17377,rgb,pipeline,od,True,2.0,True,False,217,108,3165,0.257,65,1,0.014534,0.6543778801843319,29.609,390.0,,,0.77608,2000,2000,138,64,0.6359447004608295
301.tiff,301,canine cutaneous mast cell tumor,True,3,b_lookalike,14822,4356.0,971.0,21,-0.01055,0.39332,0.18611,17377,rgb,pipeline,od,True,2.0,True,False,217,108,3165,0.257,65,1,0.014534,0.6543778801843319,29.609,390.0,,,0.77608,5000,3165,142,65,0.6543778801843319
301.tiff,301,canine cutaneous mast cell tumor,True,3,c_random_blob,-1,1944.6,2860.6,33,-0.01178,0.25525,0.11585,17029,rgb,pipeline,od,True,2.0,True,False,217,108,10683,0.7233,77,2,0.01142,0.8294930875576036,29.609,187.0,5054.0,,0.49872,500,500,135,33,0.6221198156682027
301.tiff,301,canine cutaneous mast cell tumor,True,3,c_random_blob,-1,1944.6,2860.6,33,-0.01178,0.25525,0.11585,17029,rgb,pipeline,od,True,2.0,True,False,217,108,10683,0.7233,77,2,0.01142,0.8294930875576036,29.609,187.0,5054.0,,0.49872,1000,1000,145,51,0.6682027649769585
301.tiff,301,canine cutaneous mast cell tumor,True,3,c_random_blob,-1,1944.6,2860.6,33,-0.01178,0.25525,0.11585,17029,rgb,pipeline,od,True,2.0,True,False,217,108,10683,0.7233,77,2,0.01142,0.8294930875576036,29.609,187.0,5054.0,,0.49872,2000,2000,160,63,0.7373271889400922
301.tiff,301,canine cutaneous mast cell tumor,True,3,c_random_blob,-1,1944.6,2860.6,33,-0.01178,0.25525,0.11585,17029,rgb,pipeline,od,True,2.0,True,False,217,108,10683,0.7233,77,2,0.01142,0.8294930875576036,29.609,187.0,5054.0,,0.49872,5000,5000,173,71,0.7972350230414746
301.tiff,301,canine cutaneous mast cell tumor,True,4,a_mitotic,14816,4919.0,1339.0,51,-0.00243,0.20478,0.09996,14558,rgb,pipeline,od,True,2.0,True,False,217,108,5607,0.4457,40,2,0.0,0.6267281105990783,29.609,349.0,,,0.40713,500,500,112,29,0.5161290322580645
301.tiff,301,canine cutaneous mast cell tumor,True,4,a_mitotic,14816,4919.0,1339.0,51,-0.00243,0.20478,0.09996,14558,rgb,pipeline,od,True,2.0,True,False,217,108,5607,0.4457,40,2,0.0,0.6267281105990783,29.609,349.0,,,0.40713,1000,1000,124,36,0.5714285714285714
301.tiff,301,canine cutaneous mast cell tumor,True,4,a_mitotic,14816,4919.0,1339.0,51,-0.00243,0.20478,0.09996,14558,rgb,pipeline,od,True,2.0,True,False,217,108,5607,0.4457,40,2,0.0,0.6267281105990783,29.609,349.0,,,0.40713,2000,2000,128,39,0.5898617511520737
