budget,unit,G,mean,ci_lo,ci_hi,t_p,exact_signflip_p,signflip_floor,n_positive,n_units,metric,majority_positive
10,seed,5,0.09571428571428571,0.012846988309680937,0.1785815831188905,0.032685862528665684,0.125,0.0625,4,5,precision_at_budget,
20,seed,5,0.08571428571428576,0.029098197421210996,0.1423303740073605,0.01365823082249148,0.0625,0.0625,5,5,precision_at_budget,
30,seed,5,0.07285714285714287,0.028679843798434627,0.1170344419158511,0.010191853053741541,0.0625,0.0625,5,5,precision_at_budget,
10,ROI,14,0.09571428571428571,0.03474788128401611,0.15668069014455532,0.004818806076899023,0.008056640625,0.0001220703125,11,14,precision_at_budget,True
20,ROI,14,0.0857142857142857,0.03378862146219243,0.13763994996637896,0.0034481501118540456,0.0048828125,0.0001220703125,11,14,precision_at_budget,True
30,ROI,14,0.07285714285714284,0.031058529543278077,0.11465575617100761,0.0023563353551254843,0.0028076171875,0.0001220703125,12,14,precision_at_budget,True
10,ROI,14,0.033993895015269116,0.007212759351084827,0.060775030679453404,0.016785986470947922,0.005615234375,0.0001220703125,11,14,recall_at_budget,True
20,ROI,14,0.061539554770893345,0.019507015773599597,0.1035720937681871,0.007482286818811323,0.0020751953125,0.0001220703125,11,14,recall_at_budget,True
30,ROI,14,0.06103667978366996,0.020069261237703563,0.10200409832963636,0.006721254449657444,0.00341796875,0.0001220703125,12,14,recall_at_budget,True
