cap,max_peaks,arm,K,n_roi,pooled_precision,unweighted_mean,pooled_equals_mean
cap50,50.0,chromatin_od,10,14,0.6714285714285714,0.6714285714285715,True
cap50,50.0,od_contrast,10,14,0.6357142857142857,0.6357142857142858,True
cap50,50.0,tm_score,10,14,0.5,0.5,True
cap50,50.0,chromatin_od,20,14,0.5607142857142857,0.5607142857142857,True
cap50,50.0,od_contrast,20,14,0.5642857142857143,0.5642857142857143,True
cap50,50.0,tm_score,20,14,0.45357142857142857,0.45357142857142857,True
cap50,50.0,chromatin_od,30,14,0.4976190476190476,0.4976190476190476,True
cap50,50.0,od_contrast,30,14,0.4928571428571429,0.4928571428571429,True
cap50,50.0,tm_score,30,14,0.42857142857142855,0.42857142857142855,True
cap100,100.0,tm_score,10,14,0.5,0.5,True
cap100,100.0,chromatin_od,10,14,0.6642857142857143,0.6642857142857145,True
cap100,100.0,tm_score,20,14,0.45357142857142857,0.45357142857142857,True
cap100,100.0,chromatin_od,20,14,0.5964285714285714,0.5964285714285713,True
cap100,100.0,tm_score,30,14,0.42857142857142855,0.42857142857142855,True
cap100,100.0,chromatin_od,30,14,0.5357142857142857,0.5357142857142857,True
unbounded,,tm_score,10,14,0.5,0.5,True
unbounded,,chromatin_od,10,14,0.6214285714285714,0.6214285714285716,True
unbounded,,od31,10,14,0.5642857142857143,0.5642857142857143,True
unbounded,,od_falloff,10,14,0.34285714285714286,0.3428571428571429,True
unbounded,,mask_od_mean,10,14,0.40714285714285714,0.40714285714285714,True
unbounded,,od_contrast,10,14,0.6357142857142857,0.6357142857142858,True
unbounded,,tm_score,20,14,0.45357142857142857,0.45357142857142857,True
unbounded,,chromatin_od,20,14,0.6107142857142858,0.6107142857142857,True
unbounded,,od31,20,14,0.55,0.55,True
unbounded,,od_falloff,20,14,0.3464285714285714,0.34642857142857153,True
unbounded,,mask_od_mean,20,14,0.4,0.4,True
unbounded,,od_contrast,20,14,0.6178571428571429,0.6178571428571429,True
unbounded,,tm_score,30,14,0.42857142857142855,0.42857142857142855,True
unbounded,,chromatin_od,30,14,0.5595238095238095,0.5595238095238095,True
unbounded,,od31,30,14,0.5238095238095238,0.5238095238095238,True
unbounded,,od_falloff,30,14,0.3333333333333333,0.33333333333333337,True
unbounded,,mask_od_mean,30,14,0.4119047619047619,0.41190476190476183,True
unbounded,,od_contrast,30,14,0.55,0.55,True
unbounded,,tm_score,50,14,0.3742857142857143,0.3742857142857143,True
unbounded,,chromatin_od,50,14,0.48857142857142855,0.48857142857142855,True
unbounded,,od31,50,14,0.4657142857142857,0.46571428571428586,True
unbounded,,od_falloff,50,14,0.3142857142857143,0.31428571428571433,True
unbounded,,mask_od_mean,50,14,0.3842857142857143,0.38428571428571434,True
unbounded,,od_contrast,50,14,0.4828571428571429,0.48285714285714293,True
