file_name,tumor_type,image_id,z,score_cut,n_peaks_pre_nms,n_retained,n_returned_at_k,tp_at_k,lookalike_at_k,unannotated_at_k,precision_at_k,tp_full,lookalike_full,unannotated_full,precision_full,n_gt_mitotic,recall_full,t_z_s
459.tiff,canine soft tissue sarcoma,459,3.0,1.4588648171722887,7485,6666,20,10,5,5,0.5,121,83,6462,0.018151815181518153,130,0.9307692307692308,0.36
459.tiff,canine soft tissue sarcoma,459,4.0,1.962074756324291,2175,2113,20,10,5,5,0.5,103,54,1956,0.048745858968291526,130,0.7923076923076923,0.31
459.tiff,canine soft tissue sarcoma,459,5.0,2.4652846954762935,449,446,20,10,5,5,0.5,65,30,351,0.14573991031390135,130,0.5,0.29
459.tiff,canine soft tissue sarcoma,459,6.0,2.9684946346282954,107,106,20,10,5,5,0.5,41,14,51,0.3867924528301887,130,0.3153846153846154,0.3
459.tiff,canine soft tissue sarcoma,459,8.0,3.9749145129323002,5,4,4,1,2,1,0.25,1,2,1,0.25,130,0.007692307692307693,0.28
459.tiff,canine soft tissue sarcoma,459,10.0,4.981334391236305,1,0,0,0,0,0,,0,0,0,,130,0.0,0.27
459.tiff,canine soft tissue sarcoma,459,12.0,5.987754269540309,0,0,0,0,0,0,,0,0,0,,130,0.0,0.28
459.tiff,canine soft tissue sarcoma,459,15.0,7.497384086996316,0,0,0,0,0,0,,0,0,0,,130,0.0,0.27
459.tiff,canine soft tissue sarcoma,459,18.0,9.007013904452323,0,0,0,0,0,0,,0,0,0,,130,0.0,0.27
459.tiff,canine soft tissue sarcoma,459,22.0,11.019853661060333,0,0,0,0,0,0,,0,0,0,,130,0.0,0.27
459.tiff,canine soft tissue sarcoma,459,26.0,13.03269341766834,0,0,0,0,0,0,,0,0,0,,130,0.0,0.26
460.tiff,canine soft tissue sarcoma,460,-1.5,-1.7766173590958116,22766,15339,20,11,4,5,0.55,35,40,15264,0.002281765434513332,35,1.0,0.84
460.tiff,canine soft tissue sarcoma,460,1.0,0.8827209495663642,14450,11380,20,11,4,5,0.55,35,40,11305,0.0030755711775043936,35,1.0,0.35
460.tiff,canine soft tissue sarcoma,460,2.0,1.9464562730312345,10274,8671,20,11,4,5,0.55,34,39,8598,0.003921116364894475,35,0.9714285714285714,0.31
460.tiff,canine soft tissue sarcoma,460,3.0,3.010191596496105,6494,5981,20,11,4,5,0.55,34,35,5912,0.005684668115699716,35,0.9714285714285714,0.29
460.tiff,canine soft tissue sarcoma,460,4.0,4.073926919960975,2510,2458,20,11,4,5,0.55,30,25,2403,0.012205044751830757,35,0.8571428571428571,0.25
460.tiff,canine soft tissue sarcoma,460,5.0,5.137662243425845,548,545,20,11,4,5,0.55,26,16,503,0.047706422018348627,35,0.7428571428571429,0.23
460.tiff,canine soft tissue sarcoma,460,6.0,6.201397566890716,91,90,20,11,4,5,0.55,18,8,64,0.2,35,0.5142857142857142,0.24
460.tiff,canine soft tissue sarcoma,460,8.0,8.328868213820456,4,3,3,3,0,0,1.0,3,0,0,1.0,35,0.08571428571428572,0.23
460.tiff,canine soft tissue sarcoma,460,10.0,10.456338860750197,1,0,0,0,0,0,,0,0,0,,35,0.0,0.23
460.tiff,canine soft tissue sarcoma,460,12.0,12.583809507679938,0,0,0,0,0,0,,0,0,0,,35,0.0,0.23
460.tiff,canine soft tissue sarcoma,460,15.0,15.775015478074549,0,0,0,0,0,0,,0,0,0,,35,0.0,0.23
460.tiff,canine soft tissue sarcoma,460,18.0,18.96622144846916,0,0,0,0,0,0,,0,0,0,,35,0.0,0.23
460.tiff,canine soft tissue sarcoma,460,22.0,23.22116274232864,0,0,0,0,0,0,,0,0,0,,35,0.0,0.23
460.tiff,canine soft tissue sarcoma,460,26.0,27.476104036188122,0,0,0,0,0,0,,0,0,0,,35,0.0,0.24
529.tiff,human melanoma,529,-1.5,-0.5443153392583132,31054,15862,20,4,4,12,0.2,19,25,15818,0.0011978312949186736,19,1.0,0.99
529.tiff,human melanoma,529,1.0,0.28892316868305207,18436,11512,20,4,4,12,0.2,19,24,11469,0.00165045170257123,19,1.0,0.4
529.tiff,human melanoma,529,2.0,0.6222185718595982,12795,8673,20,4,4,12,0.2,19,24,8630,0.0021907067911910525,19,1.0,0.36
529.tiff,human melanoma,529,3.0,0.9555139750361443,8561,6425,20,4,4,12,0.2,19,24,6382,0.0029571984435797665,19,1.0,0.32
