arm,K,n_delta_exactly_zero,n_equal_tp,agrees,max_abs_residual_on_equal_tp
tm_score,10,2,2,True,0.0
tm_score,20,3,3,True,0.0
tm_score,30,1,1,True,0.0
tm_score,50,1,1,True,0.0
chromatin_od,10,12,12,True,0.0
chromatin_od,20,10,10,True,0.0
chromatin_od,30,7,7,True,0.0
chromatin_od,50,12,12,True,0.0
