subset,arm,K,n_roi,mean_delta,wins,losses,ties,n_effective_units,p_floor,p_exact_sign_flip,ci95_lo,ci95_hi
same_seed_11,tm_score,10,11,-0.0455,3,6,2,9,0.0039,0.3125,-0.1212,0.0303
same_seed_11,tm_score,20,11,-0.0545,1,7,3,8,0.0078,0.0391,-0.1007,-0.0084
same_seed_11,tm_score,30,11,-0.0576,2,8,1,10,0.002,0.0957,-0.1218,0.0066
same_seed_11,tm_score,50,11,-0.0364,2,8,1,10,0.002,0.1348,-0.0832,0.0105
all_14,tm_score,10,14,0.0214,6,6,2,12,0.0005,0.7515,-0.0751,0.118
all_14,tm_score,20,14,-0.0107,4,7,3,11,0.001,0.8145,-0.0749,0.0535
all_14,tm_score,30,14,-0.0214,5,8,1,13,0.0002,0.551,-0.0879,0.0451
all_14,tm_score,50,14,-0.0114,5,8,1,13,0.0002,0.6702,-0.061,0.0381
same_seed_11,chromatin_od,10,11,-0.0091,0,1,10,1,1.0,1.0,-0.0293,0.0112
same_seed_11,chromatin_od,20,11,0.0,2,1,8,3,0.25,1.0,-0.026,0.026
same_seed_11,chromatin_od,30,11,-0.003,1,3,7,4,0.125,0.875,-0.0217,0.0156
same_seed_11,chromatin_od,50,11,0.0073,2,0,9,2,0.5,0.5,-0.0051,0.0197
all_14,chromatin_od,10,14,0.0,1,1,12,2,0.5,1.0,-0.0226,0.0226
all_14,chromatin_od,20,14,-0.0036,2,2,10,4,0.125,1.0,-0.0246,0.0175
all_14,chromatin_od,30,14,-0.0119,1,6,7,7,0.0156,0.2656,-0.0298,0.006
all_14,chromatin_od,50,14,0.0057,2,0,12,2,0.5,0.5,-0.0038,0.0152
