arm,10,20,30
chromatin_od,0.6214,0.6107,0.5595
mask_od_mean,0.4071,0.4,0.4119
od31,0.5643,0.55,0.5238
od_contrast,0.6357,0.6179,0.55
od_falloff,0.3429,0.3464,0.3333
tm_score,0.5,0.4536,0.4286
