file_name,tumor_type,seed_index,nms_radius_um,nms_radius_px,axis,z,n_detections,n_gt_mitotic,n_found,gained_vs_control,lost_vs_control,gt_claim_change,n_within_match_radius,n_dup_fp,dup_fp_frac,topk_churn,gap_n,gap_median_px,gap_p05_px,gap_p95_px
094.tiff,human breast cancer,0,5.0,21.754,chromatin_od,1.0,21143,81,81,0,0,61,352,169,0.00799,0.48024316109422494,1,16.28,16.28,16.28
094.tiff,human breast cancer,1,7.5,32.63,tm_score,1.0,13984,81,81,-1,-1,-1,210,27,0.00193,,4,26.73,15.01,30.11
094.tiff,human breast cancer,1,7.5,32.63,chromatin_od,1.0,13984,81,81,-1,-1,-1,210,27,0.00193,,4,26.73,15.01,30.11
094.tiff,human breast cancer,1,5.9,25.669,tm_score,1.0,17548,81,81,-1,-1,-1,255,72,0.0041,0.015873015873015928,1,13.04,13.04,13.04
094.tiff,human breast cancer,1,5.9,25.669,chromatin_od,1.0,17548,81,81,0,0,58,255,72,0.0041,0.30508474576271183,1,13.04,13.04,13.04
094.tiff,human breast cancer,1,5.0,21.754,tm_score,1.0,18900,81,81,-1,-1,-1,264,81,0.00429,0.015873015873015928,1,13.04,13.04,13.04
094.tiff,human breast cancer,1,5.0,21.754,chromatin_od,1.0,18900,81,81,0,0,64,264,81,0.00429,0.3870967741935484,1,13.04,13.04,13.04
094.tiff,human breast cancer,2,7.5,32.63,tm_score,1.0,13187,81,81,-1,-1,-1,198,15,0.00114,,5,15.62,13.37,29.72
094.tiff,human breast cancer,2,7.5,32.63,chromatin_od,1.0,13187,81,81,-1,-1,-1,198,15,0.00114,,5,15.62,13.37,29.72
094.tiff,human breast cancer,2,5.9,25.669,tm_score,1.0,15639,81,81,-1,-1,-1,208,25,0.0016,0.015873015873015928,5,15.62,13.37,19.64
094.tiff,human breast cancer,2,5.9,25.669,chromatin_od,1.0,15639,81,81,0,0,51,208,25,0.0016,0.22064056939501775,5,15.62,13.37,19.64
094.tiff,human breast cancer,2,5.0,21.754,tm_score,1.0,17292,81,81,-1,-1,-1,225,42,0.00243,0.046875,5,15.62,13.37,19.64
094.tiff,human breast cancer,2,5.0,21.754,chromatin_od,1.0,17292,81,81,0,0,49,225,42,0.00243,0.3388704318936877,5,15.62,13.37,19.64
094.tiff,human breast cancer,3,7.5,32.63,tm_score,1.0,12918,81,81,-1,-1,-1,203,20,0.00155,,4,14.34,12.72,17.17
