file_name,method,seed_ann_id,channel,mpp,tightened_base_size,bbox_method,bbox_center_tolerance,tighten_bbox,seed_agreement_flagged,seed_n_agreement_pool,seed_n_after_border,seed_n_after_foreground,match_radius_px,n_gt_mitotic_eval,recall_at_k,roi_area_mm2,sens@1fp_mm2,sens@2fp_mm2,sens@4fp_mm2,sens@8fp_mm2,sens@16fp_mm2,sens@32fp_mm2,sens@64fp_mm2,k,topk_tp,topk_fp_lookalike,topk_fp_unannotated,n_lookalike_gt,lookalike_attraction_at_k,n_mitotic_gt,mitotic_recall_at_k,lookalike_attraction,mitotic_recall,n_detections_total,n_unanimous,recall_unanimous_at_k,n_contested,recall_contested_at_k,recall_unanimous,recall_contested,all_n_detections,all_tp,all_fp_lookalike,all_fp_unannotated,all_matched_any_gt,all_matched_frac,all_precision_mitotic,all_mitotic_gt_found,all_mitotic_gt_missed,all_lookalike_gt_found,all_lookalike_gt_missed,coverage_frac,nms_radius,n_augmentations,t_match_s,n_peaks,max_peak_score,n_after_nms,n_self_hits,seed_self_score,n_detections,max_detection_score,t_postprocess_s,t_total_s,tissue_fraction,tumor_type,mitotic_recall_at_matcher_budget,matcher_budget,budget_delivered
301.tiff,find_and_suppress,14969,rgb,0.2533,51.0,binary,0.0,False,False,164.0,162.0,162.0,29.6,217,0.018433179723502304,2.0,0.0,0.004608294930875576,0.004608294930875576,0.004608294930875576,0.004608294930875576,0.004608294930875576,0.004608294930875576,217,4,6,207,109,0.05504587155963303,217,0.018433179723502304,0.13761467889908258,0.1152073732718894,944,163,0.018404907975460124,54,0.018518518518518517,0.12269938650306748,0.09259259259259259,944,25,15,904,40,0.04237288135588732,0.026483050847429572,25,192,15,94,0.0812,29.61,1.0,4.02,958.0,0.9999988079071045,945.0,1.0,0.9999988079071045,944.0,0.6989133954048157,0.27,4.3,0.9967,canine cutaneous mast cell tumor,,,
301.tiff,nucleus_blobs,-1,hematoxylin,0.2533,,,,,,,,,29.6,217,0.5990783410138248,2.0,0.009216589861751152,0.09216589861751152,0.1935483870967742,0.2488479262672811,0.4055299539170507,0.5207373271889401,0.6451612903225806,217,130,32,55,109,0.29357798165137616,217,0.5990783410138248,0.981651376146789,1.0,20370,163,0.6441717791411042,54,0.46296296296296297,1.0,1.0,20370,217,107,20046,324,0.015905743740794506,0.01065292096219879,217,0,107,2,0.9359,,,,,,,,,,,,,0.9967,canine cutaneous mast cell tumor,0.9262672811059908,944.0,944.0
301.tiff,random_in_tissue,-1,-,0.2533,,,,,,,,,29.6,217,0.009216589861751152,2.0,0.0,0.0,0.004608294930875576,0.004608294930875576,0.004608294930875576,0.009216589861751152,0.009216589861751152,217,2,1,214,109,0.009174311926605505,217,0.009216589861751152,0.07339449541284404,0.041474654377880185,944,163,0.012269938650306749,54,0.0,0.05521472392638037,0.0,944,9,8,927,17,0.01800847457625211,0.009533898305074647,9,208,8,101,0.0798,,,,,,,,,,,,,0.9967,canine cutaneous mast cell tumor,,,
201.tiff,find_and_suppress,4457,rgb,0.2482,51.0,binary,0.0,False,False,7.0,7.0,7.0,30.2,17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,1,16,49,0.02040816326530612,17,0.0,0.08163265306122448,0.17647058823529413,1053,6,0.0,11,0.0,0.16666666666666666,0.18181818181818182,1053,3,4,1046,7,0.006647673314333668,0.0028490028490001434,3,14,4,45,0.0902,30.22,1.0,6.01,1188.0,0.9999999403953552,1054.0,1.0,0.9999999403953552,1053.0,0.6822283267974854,0.41,6.4,0.9287,canine lung cancer,,,
201.tiff,nucleus_blobs,-1,hematoxylin,0.2482,,,,,,,,,30.2,17,0.23529411764705882,2.0,0.0,0.058823529411764705,0.11764705882352941,0.35294117647058826,0.4117647058823529,0.5294117647058824,0.5882352941176471,17,4,3,10,49,0.061224489795918366,17,0.23529411764705882,0.7551020408163265,0.8823529411764706,12446,6,0.3333333333333333,11,0.18181818181818182,0.8333333333333334,0.9090909090909091,12446,15,37,12394,52,0.00417804917242454,0.0012052064920455403,15,2,37,12,0.7577,,,,,,,,,,,,,0.9287,canine lung cancer,0.6470588235294118,1053.0,1053.0
201.tiff,random_in_tissue,-1,-,0.2482,,,,,,,,,30.2,17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0,17,49,0.0,17,0.0,0.02040816326530612,0.11764705882352941,1053,6,0.0,11,0.0,0.3333333333333333,0.0,1053,2,1,1050,3,0.0028490028490001434,0.0018993352326667622,2,15,1,48,0.0883,,,,,,,,,,,,,0.9287,canine lung cancer,,,
246.tiff,find_and_suppress,6548,rgb,0.2482,51.0,binary,0.0,False,False,100.0,97.0,97.0,30.2,115,0.034782608695652174,2.0,0.02608695652173913,0.034782608695652174,0.034782608695652174,0.034782608695652174,0.034782608695652174,0.034782608695652174,0.034782608695652174,115,4,1,2,123,0.008130081300813009,115,0.034782608695652174,0.008130081300813009,0.034782608695652174,7,99,0.04040404040404041,16,0.0,0.04040404040404041,0.0,7,4,1,2,5,0.7142857141836735,0.5714285713469388,4,111,1,122,0.0006,30.22,1.0,8.72,8.0,1.0,8.0,1.0,1.0,7.0,0.5758734345436096,0.41,9.2,0.9996,canine lymphosarcoma,,,
246.tiff,nucleus_blobs,-1,hematoxylin,0.2482,,,,,,,,,30.2,115,0.3217391304347826,2.0,0.008695652173913044,0.02608695652173913,0.034782608695652174,0.12173913043478261,0.20869565217391303,0.28695652173913044,0.4260869565217391,115,37,16,62,123,0.13008130081300814,115,0.3217391304347826,1.0,0.9652173913043478,21059,99,0.35353535353535354,16,0.125,0.9696969696969697,0.9375,21059,111,123,20825,234,0.011111638729283864,0.0052709055510705505,111,4,123,0,0.9166,,,,,,,,,,,,,0.9996,canine lymphosarcoma,0.02608695652173913,7.0,7.0
246.tiff,random_in_tissue,-1,-,0.2482,,,,,,,,,30.2,115,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,0,1,6,123,0.008130081300813009,115,0.0,0.008130081300813009,0.0,7,99,0.0,16,0.0,0.0,0.0,7,0,1,6,1,0.1428571428367347,0.0,0,115,1,122,0.0006,,,,,,,,,,,,,0.9996,canine lymphosarcoma,,,
405.tiff,find_and_suppress,20563,rgb,0.2482,51.0,binary,0.0,False,False,10.0,10.0,10.0,30.2,13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,13,0,0,13,19,0.0,13,0.0,0.42105263157894735,0.7692307692307693,2815,9,0.0,4,0.0,0.6666666666666666,1.0,2815,10,8,2797,18,0.006394316163408031,0.003552397868560017,10,3,8,11,0.2358,30.22,1.0,6.88,3253.0,1.0,2816.0,1.0,1.0,2815.0,0.8348641395568848,0.33,7.2,0.7831,canine soft tissue sarcoma,,,
