figure,key,notebook,audit,agrees
fig1_roi_heatmap,094.tiff/tm_score/K20,-0.05,-0.05,True
fig1_roi_heatmap,094.tiff/tm_score/K30,-0.0333,-0.0333,True
fig1_roi_heatmap,094.tiff/tm_score/K50,-0.02,-0.02,True
fig1_star_annotation,094.tiff,True,True,True
fig1_roi_heatmap,094.tiff/chromatin_od/K10,0.0,0.0,True
fig1_roi_heatmap,094.tiff/chromatin_od/K20,0.0,0.0,True
fig1_roi_heatmap,094.tiff/chromatin_od/K30,-0.0334,-0.0334,True
fig1_roi_heatmap,094.tiff/chromatin_od/K50,0.0,0.0,True
fig1_star_annotation,094.tiff,True,True,True
fig1_roi_heatmap,529.tiff/tm_score/K10,-0.1,-0.1,True
fig1_roi_heatmap,529.tiff/tm_score/K20,0.0,0.0,True
fig1_roi_heatmap,529.tiff/tm_score/K30,0.0334,0.0334,True
fig1_roi_heatmap,529.tiff/tm_score/K50,0.0,0.0,True
fig1_star_annotation,529.tiff,True,True,True
fig1_roi_heatmap,529.tiff/chromatin_od/K10,0.0,0.0,True
fig1_roi_heatmap,529.tiff/chromatin_od/K20,0.0,0.0,True
fig1_roi_heatmap,529.tiff/chromatin_od/K30,0.0,0.0,True
fig1_roi_heatmap,529.tiff/chromatin_od/K50,0.0,0.0,True
fig1_star_annotation,529.tiff,True,True,True
fig1_roi_heatmap,548.tiff/tm_score/K10,-0.1,-0.1,True
fig1_roi_heatmap,548.tiff/tm_score/K20,-0.05,-0.05,True
fig1_roi_heatmap,548.tiff/tm_score/K30,-0.0333,-0.0333,True
fig1_roi_heatmap,548.tiff/tm_score/K50,0.04,0.04,True
fig1_star_annotation,548.tiff,True,True,True
fig1_roi_heatmap,548.tiff/chromatin_od/K10,0.0,0.0,True
fig1_roi_heatmap,548.tiff/chromatin_od/K20,0.0,0.0,True
fig1_roi_heatmap,548.tiff/chromatin_od/K30,0.0,0.0,True
fig1_roi_heatmap,548.tiff/chromatin_od/K50,0.0,0.0,True
fig1_star_annotation,548.tiff,True,True,True
fig1_roi_heatmap,402.tiff/tm_score/K10,-0.1,-0.1,True
fig1_roi_heatmap,402.tiff/tm_score/K20,-0.1,-0.1,True
fig1_roi_heatmap,402.tiff/tm_score/K30,-0.1667,-0.1667,True
fig1_roi_heatmap,402.tiff/tm_score/K50,-0.08,-0.08,True
fig1_star_annotation,402.tiff,True,True,True
fig1_roi_heatmap,402.tiff/chromatin_od/K10,0.0,0.0,True
fig1_roi_heatmap,402.tiff/chromatin_od/K20,0.0,0.0,True
fig1_roi_heatmap,402.tiff/chromatin_od/K30,0.0,0.0,True
fig1_roi_heatmap,402.tiff/chromatin_od/K50,0.0,0.0,True
fig1_star_annotation,402.tiff,True,True,True
fig1_roi_heatmap,403.tiff/tm_score/K10,-0.1,-0.1,True
fig1_roi_heatmap,403.tiff/tm_score/K20,-0.1,-0.1,True
fig1_roi_heatmap,403.tiff/tm_score/K30,0.0,0.0,True
fig1_roi_heatmap,403.tiff/tm_score/K50,-0.02,-0.02,True
fig1_star_annotation,403.tiff,True,True,True
fig1_roi_heatmap,403.tiff/chromatin_od/K10,-0.1,-0.1,True
fig1_roi_heatmap,403.tiff/chromatin_od/K20,-0.1,-0.1,True
fig1_roi_heatmap,403.tiff/chromatin_od/K30,-0.0334,-0.0334,True
fig1_roi_heatmap,403.tiff/chromatin_od/K50,0.0,0.0,True
fig1_star_annotation,403.tiff,True,True,True
fig2_domain_bars,canine cutaneous mast cell tumor/chromatin_od/K10,0.05,0.05,True
fig2_domain_bars,canine cutaneous mast cell tumor/chromatin_od/K20,0.0,0.0,True
fig2_domain_bars,canine cutaneous mast cell tumor/chromatin_od/K30,-0.0334,-0.0334,True
