file_name,domain,n_gt_mitotic,arm,kind,n_detections,precision_at_10,precision_at_20,precision_at_30,precision_at_50
094.tiff,human breast cancer,81,chromatin_od_pre_nms,pre-NMS ranking key,18926,0.5,0.75,0.6333,0.62
094.tiff,human breast cancer,81,od_contrast_pre_nms,pre-NMS ranking key,18835,0.5,0.75,0.7333,0.62
094.tiff,human breast cancer,81,chromatin_od,post-hoc rerank (Table A),18628,0.5,0.75,0.6667,0.64
094.tiff,human breast cancer,81,od_contrast,post-hoc rerank (Table A),18628,0.5,0.75,0.7333,0.64
529.tiff,human melanoma,19,tm_score,pre-NMS ranking key,16620,0.3,0.2,0.1333,0.12
529.tiff,human melanoma,19,chromatin_od_pre_nms,pre-NMS ranking key,16665,0.7,0.45,0.3667,0.22
529.tiff,human melanoma,19,od_contrast_pre_nms,pre-NMS ranking key,16594,0.6,0.6,0.4,0.24
529.tiff,human melanoma,19,chromatin_od,post-hoc rerank (Table A),16620,0.6,0.45,0.3667,0.22
529.tiff,human melanoma,19,od_contrast,post-hoc rerank (Table A),16620,0.6,0.6,0.4,0.24
548.tiff,human melanoma,238,tm_score,pre-NMS ranking key,17839,0.5,0.5,0.5333,0.56
548.tiff,human melanoma,238,chromatin_od_pre_nms,pre-NMS ranking key,17872,0.8,0.8,0.7333,0.76
548.tiff,human melanoma,238,od_contrast_pre_nms,pre-NMS ranking key,17761,0.9,0.85,0.8,0.8
548.tiff,human melanoma,238,chromatin_od,post-hoc rerank (Table A),17839,0.8,0.8,0.7333,0.76
548.tiff,human melanoma,238,od_contrast,post-hoc rerank (Table A),17839,0.9,0.85,0.8,0.82
402.tiff,human neuroendocrine tumor,104,tm_score,pre-NMS ranking key,17532,0.4,0.45,0.4667,0.44
402.tiff,human neuroendocrine tumor,104,chromatin_od_pre_nms,pre-NMS ranking key,17549,0.7,0.55,0.4333,0.44
402.tiff,human neuroendocrine tumor,104,od_contrast_pre_nms,pre-NMS ranking key,17474,0.4,0.45,0.5,0.52
402.tiff,human neuroendocrine tumor,104,chromatin_od,post-hoc rerank (Table A),17532,0.7,0.55,0.5333,0.46
402.tiff,human neuroendocrine tumor,104,od_contrast,post-hoc rerank (Table A),17532,0.4,0.45,0.5333,0.54
403.tiff,human neuroendocrine tumor,52,tm_score,pre-NMS ranking key,16150,0.5,0.35,0.2667,0.3
403.tiff,human neuroendocrine tumor,52,chromatin_od_pre_nms,pre-NMS ranking key,16167,0.5,0.55,0.4667,0.44
403.tiff,human neuroendocrine tumor,52,od_contrast_pre_nms,pre-NMS ranking key,16022,0.6,0.6,0.5333,0.34
403.tiff,human neuroendocrine tumor,52,chromatin_od,post-hoc rerank (Table A),16150,0.5,0.6,0.4667,0.44
403.tiff,human neuroendocrine tumor,52,od_contrast,post-hoc rerank (Table A),16150,0.6,0.6,0.5,0.34
