pair,K,human_minus_canine_pts,one_sided_p_human_more_negative,two_sided_p,floor
gray_bbox - default_51,10,-4.9603174603174605,0.02857142857142857,0.02857142857142857,0.02857142857142857
gray_bbox - default_51,20,-4.087301587301587,0.02857142857142857,0.05714285714285714,0.02857142857142857
gray_bbox - default_51,30,-3.716931216931217,0.02857142857142857,0.02857142857142857,0.02857142857142857
hem_bbox - default_51,10,-3.9285714285714284,0.17142857142857143,0.3142857142857143,0.02857142857142857
hem_bbox - default_51,20,-2.3412698412698414,0.2857142857142857,0.5142857142857142,0.02857142857142857
hem_bbox - default_51,30,-1.5079365079365081,0.2857142857142857,0.5428571428571428,0.02857142857142857
hem_bbox - gray_bbox,10,1.0317460317460319,0.6571428571428571,0.7428571428571429,0.02857142857142857
hem_bbox - gray_bbox,20,1.746031746031746,0.7714285714285715,0.4857142857142857,0.02857142857142857
hem_bbox - gray_bbox,30,2.208994708994709,0.8571428571428571,0.4,0.02857142857142857
