file_name,seed_index,condition,my_mpp,nb_mpp,my_radius,nb_radius,my_tp_10,my_tp_20,my_tp_30,nb_tp_10,nb_tp_20,nb_tp_30,my_contested_10,my_contested_20,my_contested_30,my_n_gt_mitotic,nb_n_gt_mitotic,my_nearest_other,nb_nearest_other,seed_is_mitotic,seed_is_unanimous,seed_click_matches,seed_border_ok,tpl_patch_readable,my_offset,nb_offset,od_descending,od_nan,base_odd,base_le_51
094.tiff,0,gray_bbox,0.22984761284250915,0.22984761284250915,32.63031496062992,32.63031496062992,5,15,22,5,15,22,3,10,13,81,81,61.98,61.98,True,True,True,True,True,2.5,2.5,True,0,True,True
094.tiff,0,hem_bbox,0.22984761284250915,0.22984761284250915,32.63031496062992,32.63031496062992,5,14,20,5,14,20,3,9,12,81,81,61.98,61.98,True,True,True,True,True,2.693,2.693,True,0,True,True
094.tiff,1,default_51,0.22984761284250915,0.22984761284250915,32.63031496062992,32.63031496062992,5,15,21,5,15,21,3,10,13,81,81,281.89,281.89,True,True,True,True,True,0.0,0.0,True,0,True,True
094.tiff,1,gray_bbox,0.22984761284250915,0.22984761284250915,32.63031496062992,32.63031496062992,5,14,20,5,14,20,3,9,12,81,81,281.89,281.89,True,True,True,True,True,3.905,3.905,True,0,True,True
094.tiff,1,hem_bbox,0.22984761284250915,0.22984761284250915,32.63031496062992,32.63031496062992,6,14,20,6,14,20,3,8,10,81,81,281.89,281.89,True,True,True,True,True,5.315,5.315,True,0,True,True
094.tiff,2,default_51,0.22984761284250915,0.22984761284250915,32.63031496062992,32.63031496062992,5,14,20,5,14,20,4,10,13,81,81,284.92,284.92,True,True,True,True,True,0.0,0.0,True,0,True,True
094.tiff,2,gray_bbox,0.22984761284250915,0.22984761284250915,32.63031496062992,32.63031496062992,5,14,21,5,14,21,4,10,14,81,81,284.92,284.92,True,True,True,True,True,0.707,0.707,True,0,True,True
094.tiff,2,hem_bbox,0.22984761284250915,0.22984761284250915,32.63031496062992,32.63031496062992,6,15,22,6,15,22,4,10,14,81,81,284.92,284.92,True,True,True,True,True,6.021,6.021,True,0,True,True
100.tiff,0,default_51,0.22984761284250915,0.22984761284250915,32.63031496062992,32.63031496062992,9,17,21,9,17,21,5,10,11,43,43,172.53,172.53,True,True,True,True,True,0.0,0.0,True,0,True,True
100.tiff,0,gray_bbox,0.22984761284250915,0.22984761284250915,32.63031496062992,32.63031496062992,9,17,21,9,17,21,5,8,10,43,43,172.53,172.53,True,True,True,True,True,9.301,9.301,True,0,True,True
