file,domain,n_cand,mitotic,ranker,read_50,read_90,read_95,read_100
460.tiff,canine soft tissue s,13208,35,od_contrast,51,997,5843,10752
460.tiff,canine soft tissue s,13208,35,od_falloff,386,2453,2941,4133
460.tiff,canine soft tissue s,13208,35,z+od_falloff,202,1789,2827,7661
460.tiff,canine soft tissue s,13208,35,supervised LODO,51,606,1015,11379
013.tiff,human breast cancer,15559,17,"z (shipped, D5)",49,912,1172,1172
013.tiff,human breast cancer,15559,17,od51,24,123,190,190
013.tiff,human breast cancer,15559,17,od_contrast,32,150,175,175
013.tiff,human breast cancer,15559,17,od_falloff,149,329,1360,1360
013.tiff,human breast cancer,15559,17,z+od_falloff,101,445,475,475
013.tiff,human breast cancer,15559,17,supervised LODO,56,179,207,207
094.tiff,human breast cancer,26147,81,"z (shipped, D5)",137,1309,1630,4052
094.tiff,human breast cancer,26147,81,od51,92,1088,1559,8521
094.tiff,human breast cancer,26147,81,od_contrast,101,1249,1594,10057
094.tiff,human breast cancer,26147,81,od_falloff,104,655,1492,4465
094.tiff,human breast cancer,26147,81,z+od_falloff,97,734,1216,2365
094.tiff,human breast cancer,26147,81,supervised LODO,62,915,1298,2871
529.tiff,human melanoma,14820,19,"z (shipped, D5)",164,1365,1739,1739
529.tiff,human melanoma,14820,19,od51,29,1816,2294,2294
529.tiff,human melanoma,14820,19,od_contrast,16,1058,1345,1345
529.tiff,human melanoma,14820,19,od_falloff,72,2590,4407,4407
529.tiff,human melanoma,14820,19,z+od_falloff,123,854,2312,2312
529.tiff,human melanoma,14820,19,supervised LODO,27,805,2887,2887
548.tiff,human melanoma,20810,238,"z (shipped, D5)",215,973,2075,7949
548.tiff,human melanoma,20810,238,od51,205,1671,4628,17171
548.tiff,human melanoma,20810,238,od_contrast,194,1386,3458,17071
548.tiff,human melanoma,20810,238,od_falloff,228,652,1250,6251
548.tiff,human melanoma,20810,238,z+od_falloff,198,595,1250,4166
548.tiff,human melanoma,20810,238,supervised LODO,174,492,764,3089
402.tiff,human neuroendocrine,27280,104,"z (shipped, D5)",124,722,1102,5457
402.tiff,human neuroendocrine,27280,104,od51,196,1631,5373,6485
402.tiff,human neuroendocrine,27280,104,od_contrast,116,969,2935,5005
402.tiff,human neuroendocrine,27280,104,od_falloff,210,732,1152,3070
402.tiff,human neuroendocrine,27280,104,z+od_falloff,117,477,653,2173
402.tiff,human neuroendocrine,27280,104,supervised LODO,111,486,600,1097
403.tiff,human neuroendocrine,17566,52,"z (shipped, D5)",116,1542,4285,5747
403.tiff,human neuroendocrine,17566,52,od51,113,569,948,8051
403.tiff,human neuroendocrine,17566,52,od_contrast,145,1245,3213,13774
403.tiff,human neuroendocrine,17566,52,od_falloff,599,5464,8829,11341
403.tiff,human neuroendocrine,17566,52,z+od_falloff,122,2371,4266,7844
403.tiff,human neuroendocrine,17566,52,supervised LODO,65,857,3327,4991
