check,label,n,n_items,passed,note,max_abs_diff,n_seeds,n_distinct_ann,pool_size,n_distinct_streams,n_dropped,atol,caps,min_distance,radius,n_direct,n_filtered,used_radius,expected_radius,mpp,n_cells,n_rois,max_abs_recall_diff,max_abs_ndet_diff
no_cap,013.tiff/chromatin_od@pad_off,,6277.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_on_dropband,,13075.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_on_dropband,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_on_dropband,,13075.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_on_dropband,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_on_dropband,,9844.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_on_dropband,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_on_dropband,,9844.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_on_dropband,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_on_dropband,,8047.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_on_dropband,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_on_dropband,,8047.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_on_dropband,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_on_dropband,,7279.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_on_dropband,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_on_dropband,,7279.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_on_dropband,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_on_dropband,,6757.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_on_dropband,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_on_dropband,,6757.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_on_dropband,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_on_dropband,,6232.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_on_dropband,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_on_dropband,,6232.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_on_dropband,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_on,,13434.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_on,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_on,,13434.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_on,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_on,,10108.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_on,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_on,,10108.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_on,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_on,,8253.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_on,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_on,,8253.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_on,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_on,,7463.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_on,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_on,,7463.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_on,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_on,,6921.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_on,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_on,,6921.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_on,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
