file_name,height,width,megapixels,t6a_od_pad_ms,t6b_od51_loop_ms,t_setup_ms,t3_template_matching_ms,n_detections,pad_ms_latency_run,od51_loop_ms_latency_run,n_det_latency_run,shape,rank_pad_this_run,rank_pad_latency_run
013.tiff,5412,7215,39.05,107.68,5.04,4253.24,1430.01,97,95.38000000000001,646.61,17724,5412x7215,1,1
403.tiff,5412,7215,39.05,106.63,4.33,3091.12,1460.34,98,90.42,566.31,16150,5412x7215,2,2
402.tiff,5412,7215,39.05,36.87,4.58,3088.55,1110.3,98,76.66000000000001,605.07,17532,5412x7215,3,4
529.tiff,5412,7215,39.05,33.6,4.54,3696.64,1199.63,97,77.39999999999999,572.16,16620,5412x7215,4,3
548.tiff,5412,7215,39.05,31.23,4.56,3834.3,1116.37,98,76.55000000000001,603.64,17839,5412x7215,5,5
094.tiff,5364,7103,38.1,29.69,5.47,2909.86,1061.06,96,29.54,625.89,18628,5364x7103,6,6
246.tiff,4933,6577,32.44,29.66,4.55,2594.1,1044.69,96,24.77,626.24,18013,4933x6577,7,7
300.tiff,4835,6447,31.17,29.21,4.78,2484.68,1052.14,98,24.71,616.97,17940,4835x6447,8,8
460.tiff,4933,6577,32.44,27.69,4.52,2582.97,1101.31,99,23.09,539.0200000000001,15698,4933x6577,9,13
233.tiff,4933,6577,32.44,27.1,4.26,2598.92,912.69,97,24.36,586.7,17449,4933x6577,10,9
201.tiff,4933,6577,32.44,26.87,4.25,2646.73,1147.35,98,23.439999999999998,536.0899999999999,15848,4933x6577,11,11
301.tiff,4835,6447,31.17,26.69,5.6,2426.06,995.42,98,22.71,605.1800000000001,17710,4835x6447,12,14
459.tiff,4933,6577,32.44,26.56,4.07,2629.06,943.26,99,23.16,605.21,17806,4933x6577,13,12
245.tiff,4933,6577,32.44,26.03,4.97,2634.92,1145.02,89,24.17,630.5699999999999,17678,4933x6577,14,10
