subset,domain,file_name,condition,rank_key,n_clicks,tp_at_10,tp_at_20,tp_at_30,precision_at_10,precision_at_20,precision_at_30
testing_35,canine cutaneous mast cell tumor,343.tiff,default_51,chromatin_od,3,21,26,32,0.7,0.43333333333333335,0.35555555555555557
testing_35,canine cutaneous mast cell tumor,343.tiff,default_51,tm_score,3,11,22,27,0.36666666666666664,0.36666666666666664,0.3
testing_35,canine cutaneous mast cell tumor,343.tiff,fill_alpha_0,chromatin_od,3,16,18,23,0.5333333333333333,0.3,0.25555555555555554
testing_35,canine cutaneous mast cell tumor,343.tiff,fill_alpha_0,tm_score,3,12,14,18,0.4,0.23333333333333334,0.2
testing_35,canine cutaneous mast cell tumor,343.tiff,mass_only,chromatin_od,3,22,26,34,0.7333333333333333,0.43333333333333335,0.37777777777777777
testing_35,canine cutaneous mast cell tumor,343.tiff,mass_only,tm_score,3,11,17,23,0.36666666666666664,0.2833333333333333,0.25555555555555554
testing_35,canine cutaneous mast cell tumor,343.tiff,fill_alpha_1,chromatin_od,3,22,24,32,0.7333333333333333,0.4,0.35555555555555557
testing_35,canine cutaneous mast cell tumor,343.tiff,fill_alpha_1,tm_score,3,10,23,30,0.3333333333333333,0.38333333333333336,0.3333333333333333
testing_35,canine cutaneous mast cell tumor,344.tiff,default_51,chromatin_od,3,18,41,59,0.6,0.6833333333333333,0.6555555555555556
testing_35,canine cutaneous mast cell tumor,344.tiff,default_51,tm_score,3,20,41,61,0.6666666666666666,0.6833333333333333,0.6777777777777778
testing_35,canine cutaneous mast cell tumor,344.tiff,fill_alpha_0,chromatin_od,3,21,35,38,0.7,0.5833333333333334,0.4222222222222222
testing_35,canine cutaneous mast cell tumor,344.tiff,fill_alpha_0,tm_score,3,13,16,20,0.43333333333333335,0.26666666666666666,0.2222222222222222
testing_35,canine cutaneous mast cell tumor,344.tiff,mass_only,chromatin_od,3,18,40,55,0.6,0.6666666666666666,0.6111111111111112
testing_35,canine cutaneous mast cell tumor,344.tiff,mass_only,tm_score,3,18,43,57,0.6,0.7166666666666667,0.6333333333333333
testing_35,canine cutaneous mast cell tumor,344.tiff,fill_alpha_1,chromatin_od,3,18,40,58,0.6,0.6666666666666666,0.6444444444444445
testing_35,canine cutaneous mast cell tumor,344.tiff,fill_alpha_1,tm_score,3,20,43,57,0.6666666666666666,0.7166666666666667,0.6333333333333333
original_14,canine lung cancer,201.tiff,default_51,chromatin_od,3,11,21,26,0.36666666666666664,0.35,0.28888888888888886
original_14,canine lung cancer,201.tiff,default_51,tm_score,3,9,16,18,0.3,0.26666666666666666,0.2
original_14,canine lung cancer,201.tiff,fill_alpha_0,chromatin_od,3,12,21,22,0.4,0.35,0.24444444444444444
original_14,canine lung cancer,201.tiff,fill_alpha_0,tm_score,3,6,13,16,0.2,0.21666666666666667,0.17777777777777778
original_14,canine lung cancer,201.tiff,mass_only,chromatin_od,3,12,19,24,0.4,0.31666666666666665,0.26666666666666666
original_14,canine lung cancer,201.tiff,mass_only,tm_score,3,10,17,18,0.3333333333333333,0.2833333333333333,0.2
original_14,canine lung cancer,201.tiff,fill_alpha_1,chromatin_od,3,9,20,25,0.3,0.3333333333333333,0.2777777777777778
original_14,canine lung cancer,201.tiff,fill_alpha_1,tm_score,3,12,17,20,0.4,0.2833333333333333,0.2222222222222222
original_14,canine lung cancer,233.tiff,default_51,chromatin_od,3,19,24,27,0.6333333333333333,0.4,0.3
original_14,canine lung cancer,233.tiff,default_51,tm_score,3,19,24,27,0.6333333333333333,0.4,0.3
original_14,canine lung cancer,233.tiff,fill_alpha_0,chromatin_od,3,19,25,32,0.6333333333333333,0.4166666666666667,0.35555555555555557
original_14,canine lung cancer,233.tiff,fill_alpha_0,tm_score,3,14,21,24,0.4666666666666667,0.35,0.26666666666666666
original_14,canine lung cancer,233.tiff,mass_only,chromatin_od,3,24,24,27,0.8,0.4,0.3
original_14,canine lung cancer,233.tiff,mass_only,tm_score,3,11,14,19,0.36666666666666664,0.23333333333333334,0.2111111111111111
original_14,canine lung cancer,233.tiff,fill_alpha_1,chromatin_od,3,20,24,29,0.6666666666666666,0.4,0.32222222222222224
original_14,canine lung cancer,233.tiff,fill_alpha_1,tm_score,3,19,26,28,0.6333333333333333,0.43333333333333335,0.3111111111111111
testing_35,canine lung cancer,211.tiff,default_51,chromatin_od,3,0,0,0,0.0,0.0,0.0
testing_35,canine lung cancer,211.tiff,default_51,tm_score,3,0,0,0,0.0,0.0,0.0
testing_35,canine lung cancer,211.tiff,fill_alpha_0,chromatin_od,3,0,0,0,0.0,0.0,0.0
testing_35,canine lung cancer,211.tiff,fill_alpha_0,tm_score,3,0,0,0,0.0,0.0,0.0
testing_35,canine lung cancer,211.tiff,mass_only,chromatin_od,3,0,0,0,0.0,0.0,0.0
testing_35,canine lung cancer,211.tiff,mass_only,tm_score,3,2,3,3,0.06666666666666667,0.05,0.03333333333333333
testing_35,canine lung cancer,211.tiff,fill_alpha_1,chromatin_od,3,0,0,0,0.0,0.0,0.0
testing_35,canine lung cancer,211.tiff,fill_alpha_1,tm_score,3,0,0,1,0.0,0.0,0.011111111111111112
testing_35,canine lung cancer,220.tiff,default_51,chromatin_od,3,13,25,35,0.43333333333333335,0.4166666666666667,0.3888888888888889
testing_35,canine lung cancer,220.tiff,default_51,tm_score,3,11,19,25,0.36666666666666664,0.31666666666666665,0.2777777777777778
testing_35,canine lung cancer,220.tiff,fill_alpha_0,chromatin_od,3,15,25,31,0.5,0.4166666666666667,0.34444444444444444
testing_35,canine lung cancer,220.tiff,fill_alpha_0,tm_score,3,13,19,20,0.43333333333333335,0.31666666666666665,0.2222222222222222
testing_35,canine lung cancer,220.tiff,mass_only,chromatin_od,3,14,22,30,0.4666666666666667,0.36666666666666664,0.3333333333333333
testing_35,canine lung cancer,220.tiff,mass_only,tm_score,3,8,14,16,0.26666666666666666,0.23333333333333334,0.17777777777777778
testing_35,canine lung cancer,220.tiff,fill_alpha_1,chromatin_od,3,16,27,39,0.5333333333333333,0.45,0.43333333333333335
testing_35,canine lung cancer,220.tiff,fill_alpha_1,tm_score,3,18,25,35,0.6,0.4166666666666667,0.3888888888888889
testing_35,canine lung cancer,230.tiff,default_51,chromatin_od,3,18,34,37,0.6,0.5666666666666667,0.4111111111111111
testing_35,canine lung cancer,230.tiff,default_51,tm_score,3,17,25,30,0.5666666666666667,0.4166666666666667,0.3333333333333333
testing_35,canine lung cancer,230.tiff,fill_alpha_0,chromatin_od,3,18,37,39,0.6,0.6166666666666667,0.43333333333333335
