file_name,arm,target_recall,n_gt_mitotic,candidates_to_read,reachable
002.tiff,C_z2_od,0.8,8,48.0,True
002.tiff,C_z2_od,0.9,8,175.0,True
002.tiff,C_z2_od,1.0,8,175.0,True
002.tiff,C_z1.5_od,0.5,8,9.0,True
002.tiff,C_z1.5_od,0.7,8,43.0,True
002.tiff,C_z1.5_od,0.8,8,48.0,True
002.tiff,C_z1.5_od,0.9,8,177.0,True
002.tiff,C_z1.5_od,1.0,8,177.0,True
002.tiff,C_z1_od,0.5,8,9.0,True
002.tiff,C_z1_od,0.7,8,43.0,True
002.tiff,C_z1_od,0.8,8,48.0,True
002.tiff,C_z1_od,0.9,8,177.0,True
002.tiff,C_z1_od,1.0,8,177.0,True
506.tiff,C_z3_od,0.5,11,,False
506.tiff,C_z3_od,0.7,11,,False
506.tiff,C_z3_od,0.8,11,,False
506.tiff,C_z3_od,0.9,11,,False
506.tiff,C_z3_od,1.0,11,,False
506.tiff,C_z2.5_od,0.5,11,138.0,True
506.tiff,C_z2.5_od,0.7,11,192.0,True
506.tiff,C_z2.5_od,0.8,11,461.0,True
506.tiff,C_z2.5_od,0.9,11,1034.0,True
506.tiff,C_z2.5_od,1.0,11,2883.0,True
506.tiff,C_z2_od,0.5,11,152.0,True
506.tiff,C_z2_od,0.7,11,216.0,True
506.tiff,C_z2_od,0.8,11,540.0,True
506.tiff,C_z2_od,0.9,11,1260.0,True
506.tiff,C_z2_od,1.0,11,3791.0,True
506.tiff,C_z1.5_od,0.5,11,162.0,True
506.tiff,C_z1.5_od,0.7,11,230.0,True
506.tiff,C_z1.5_od,0.8,11,571.0,True
506.tiff,C_z1.5_od,0.9,11,1346.0,True
506.tiff,C_z1.5_od,1.0,11,4144.0,True
506.tiff,C_z1_od,0.5,11,162.0,True
506.tiff,C_z1_od,0.7,11,230.0,True
506.tiff,C_z1_od,0.8,11,571.0,True
506.tiff,C_z1_od,0.9,11,1346.0,True
506.tiff,C_z1_od,1.0,11,4144.0,True
350.tiff,C_z3_od,0.5,3,,False
350.tiff,C_z3_od,0.7,3,,False
350.tiff,C_z3_od,0.8,3,,False
350.tiff,C_z3_od,0.9,3,,False
350.tiff,C_z3_od,1.0,3,,False
350.tiff,C_z2.5_od,0.5,3,2362.0,True
350.tiff,C_z2.5_od,0.7,3,,False
350.tiff,C_z2.5_od,0.8,3,,False
350.tiff,C_z2.5_od,0.9,3,,False
350.tiff,C_z2.5_od,1.0,3,,False
350.tiff,C_z2_od,0.5,3,28.0,True
350.tiff,C_z2_od,0.7,3,3518.0,True
350.tiff,C_z2_od,0.8,3,3518.0,True
350.tiff,C_z2_od,0.9,3,3518.0,True
350.tiff,C_z2_od,1.0,3,3518.0,True
350.tiff,C_z1.5_od,0.5,3,32.0,True
350.tiff,C_z1.5_od,0.7,3,3857.0,True
350.tiff,C_z1.5_od,0.8,3,3857.0,True
350.tiff,C_z1.5_od,0.9,3,3857.0,True
350.tiff,C_z1.5_od,1.0,3,3857.0,True
350.tiff,C_z1_od,0.5,3,32.0,True
350.tiff,C_z1_od,0.7,3,3857.0,True
350.tiff,C_z1_od,0.8,3,3857.0,True
350.tiff,C_z1_od,0.9,3,3857.0,True
350.tiff,C_z1_od,1.0,3,3857.0,True
