file_name,tumor_type,image_id,seed_ann_id,base_size,map_median,mad_scale,mpp,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_90,read_95,read_99,read_100,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget,z_at_rank,precision_at_budget
013.tiff,human breast cancer,13,254,31,0.17269,0.1798,0.22632094805310524,tm_score_deep_floor,score,True,-1.5,True,False,17,15,17045,0.9499,15,2,0.0,1.0,33.139,22.0,69.0,231.0,233.0,233.0,233.0,10,10,5,1,0.29411764705882354,15.194702781986072,0.5
013.tiff,human breast cancer,13,254,31,0.17269,0.1798,0.22632094805310524,tm_score_deep_floor,score,True,-1.5,True,False,17,15,17045,0.9499,15,2,0.0,1.0,33.139,22.0,69.0,231.0,233.0,233.0,233.0,20,20,7,4,0.4117647058823529,13.457047090847018,0.35
013.tiff,human breast cancer,13,254,31,0.17269,0.1798,0.22632094805310524,tm_score_deep_floor,score,True,-1.5,True,False,17,15,17045,0.9499,15,2,0.0,1.0,33.139,22.0,69.0,231.0,233.0,233.0,233.0,30,30,10,5,0.5882352941176471,12.97270180595269,0.3333333333333333
013.tiff,human breast cancer,13,254,31,0.17269,0.1798,0.22632094805310524,tm_score_deep_floor,score,True,-1.5,True,False,17,15,17045,0.9499,15,2,0.0,1.0,33.139,22.0,69.0,231.0,233.0,233.0,233.0,50,50,13,5,0.7647058823529411,12.047965474298804,0.26
094.tiff,human breast cancer,94,2512,25,0.03772,0.05157,0.22984761284250915,tm_score_deep_floor,score,True,-1.5,True,False,81,102,18109,0.967,102,2,0.0,1.0,32.63,121.0,585.0,1036.0,1624.0,2883.0,2883.0,10,10,5,4,0.06172839506172839,18.496671621241255,0.5
094.tiff,human breast cancer,94,2512,25,0.03772,0.05157,0.22984761284250915,tm_score_deep_floor,score,True,-1.5,True,False,81,102,18109,0.967,102,2,0.0,1.0,32.63,121.0,585.0,1036.0,1624.0,2883.0,2883.0,20,20,12,6,0.14814814814814814,17.562437057054037,0.6
094.tiff,human breast cancer,94,2512,25,0.03772,0.05157,0.22984761284250915,tm_score_deep_floor,score,True,-1.5,True,False,81,102,18109,0.967,102,2,0.0,1.0,32.63,121.0,585.0,1036.0,1624.0,2883.0,2883.0,30,30,18,9,0.2222222222222222,16.978556489619262,0.6
094.tiff,human breast cancer,94,2512,25,0.03772,0.05157,0.22984761284250915,tm_score_deep_floor,score,True,-1.5,True,False,81,102,18109,0.967,102,2,0.0,1.0,32.63,121.0,585.0,1036.0,1624.0,2883.0,2883.0,50,50,24,15,0.2962962962962963,15.70676371517911,0.48
201.tiff,canine lung cancer,201,4457,51,0.40102,0.581,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,17,49,15536,0.9294,49,2,0.0,1.0,30.222,41.0,144.0,487.0,1242.0,1242.0,1242.0,10,10,3,2,0.17647058823529413,7.009332329434929,0.3
201.tiff,canine lung cancer,201,4457,51,0.40102,0.581,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,17,49,15536,0.9294,49,2,0.0,1.0,30.222,41.0,144.0,487.0,1242.0,1242.0,1242.0,20,20,6,7,0.35294117647058826,6.548068124472887,0.3
201.tiff,canine lung cancer,201,4457,51,0.40102,0.581,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,17,49,15536,0.9294,49,2,0.0,1.0,30.222,41.0,144.0,487.0,1242.0,1242.0,1242.0,30,30,7,9,0.4117647058823529,6.206288619032748,0.23333333333333334
201.tiff,canine lung cancer,201,4457,51,0.40102,0.581,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,17,49,15536,0.9294,49,2,0.0,1.0,30.222,41.0,144.0,487.0,1242.0,1242.0,1242.0,50,50,10,10,0.5882352941176471,5.844365742210147,0.2
233.tiff,canine lung cancer,233,5761,25,0.0366,0.1405,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,17,23,17489,0.9605,22,2,0.0,1.0,30.222,17.0,231.0,597.0,751.0,751.0,751.0,10,10,5,1,0.29411764705882354,11.402761939789794,0.5
233.tiff,canine lung cancer,233,5761,25,0.0366,0.1405,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,17,23,17489,0.9605,22,2,0.0,1.0,30.222,17.0,231.0,597.0,751.0,751.0,751.0,20,20,9,2,0.5294117647058824,10.612685217386462,0.45
233.tiff,canine lung cancer,233,5761,25,0.0366,0.1405,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,17,23,17489,0.9605,22,2,0.0,1.0,30.222,17.0,231.0,597.0,751.0,751.0,751.0,30,30,9,3,0.5294117647058824,10.298593494020693,0.3
233.tiff,canine lung cancer,233,5761,25,0.0366,0.1405,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,17,23,17489,0.9605,22,2,0.0,1.0,30.222,17.0,231.0,597.0,751.0,751.0,751.0,50,50,9,4,0.5294117647058824,9.961977798705034,0.18
245.tiff,canine lymphosarcoma,245,6274,47,0.26998,0.15005,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,89,70,19191,0.9819,66,2,0.0,1.0,30.222,1598.0,6083.0,8883.0,10235.0,13601.0,13601.0,10,10,0,0,0.0,6.8538544274402,0.0
245.tiff,canine lymphosarcoma,245,6274,47,0.26998,0.15005,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,89,70,19191,0.9819,66,2,0.0,1.0,30.222,1598.0,6083.0,8883.0,10235.0,13601.0,13601.0,20,20,2,1,0.02247191011235955,6.249143655890755,0.1
