roi,domain,prov,seed,z,rank_key,pool,ceiling,read_50,read_95,recall_at_250
300.tiff,canine cutaneous mast cell tumor,lookalike,0,1.5,od,12285,0.9944,131.0,4576.0,0.6111111111111112
300.tiff,canine cutaneous mast cell tumor,lookalike,0,2.0,score,10147,0.9944,135.0,3654.0,0.6333333333333333
300.tiff,canine cutaneous mast cell tumor,lookalike,0,2.0,od,10147,0.9944,131.0,4449.0,0.6111111111111112
300.tiff,canine cutaneous mast cell tumor,lookalike,0,2.5,score,7426,0.9833,135.0,3654.0,0.6333333333333333
300.tiff,canine cutaneous mast cell tumor,lookalike,0,2.5,od,7426,0.9833,130.0,4214.0,0.6166666666666667
300.tiff,canine cutaneous mast cell tumor,lookalike,0,3.0,score,4488,0.9611,135.0,3654.0,0.6333333333333333
300.tiff,canine cutaneous mast cell tumor,lookalike,0,3.0,od,4488,0.9611,129.0,4258.0,0.6222222222222222
300.tiff,canine cutaneous mast cell tumor,lookalike,0,4.0,score,1191,0.8833,135.0,,0.6333333333333333
300.tiff,canine cutaneous mast cell tumor,lookalike,0,4.0,od,1191,0.8833,126.0,,0.6277777777777778
301.tiff,canine cutaneous mast cell tumor,mitotic,0,0.5,score,16994,0.9954,313.0,9114.0,0.4838709677419355
301.tiff,canine cutaneous mast cell tumor,mitotic,0,0.5,od,16994,0.9954,198.0,5750.0,0.5576036866359447
301.tiff,canine cutaneous mast cell tumor,mitotic,0,1.0,score,16108,0.9954,313.0,9114.0,0.4838709677419355
301.tiff,canine cutaneous mast cell tumor,mitotic,0,1.0,od,16108,0.9954,198.0,5719.0,0.5576036866359447
301.tiff,canine cutaneous mast cell tumor,mitotic,0,1.5,score,14379,0.9908,313.0,9114.0,0.4838709677419355
301.tiff,canine cutaneous mast cell tumor,mitotic,0,1.5,od,14379,0.9908,198.0,5609.0,0.5576036866359447
301.tiff,canine cutaneous mast cell tumor,mitotic,0,2.0,score,11305,0.9816,313.0,9114.0,0.4838709677419355
301.tiff,canine cutaneous mast cell tumor,mitotic,0,2.0,od,11305,0.9816,197.0,5454.0,0.5576036866359447
301.tiff,canine cutaneous mast cell tumor,mitotic,0,2.5,score,7319,0.9263,313.0,,0.4838709677419355
301.tiff,canine cutaneous mast cell tumor,mitotic,0,2.5,od,7319,0.9263,197.0,,0.5483870967741935
301.tiff,canine cutaneous mast cell tumor,mitotic,0,3.0,score,3980,0.8387,313.0,,0.4838709677419355
301.tiff,canine cutaneous mast cell tumor,mitotic,0,3.0,od,3980,0.8387,194.0,,0.5529953917050692
301.tiff,canine cutaneous mast cell tumor,mitotic,0,4.0,score,827,0.5899,313.0,,0.4838709677419355
301.tiff,canine cutaneous mast cell tumor,mitotic,0,4.0,od,827,0.5899,186.0,,0.5299539170506913
301.tiff,canine cutaneous mast cell tumor,mitotic,1,0.5,score,16929,0.9954,262.0,4486.0,0.48847926267281105
301.tiff,canine cutaneous mast cell tumor,mitotic,1,0.5,od,16929,0.9954,236.0,4568.0,0.5207373271889401
301.tiff,canine cutaneous mast cell tumor,mitotic,1,1.0,score,15653,0.9954,262.0,4486.0,0.48847926267281105
301.tiff,canine cutaneous mast cell tumor,mitotic,1,1.0,od,15653,0.9954,236.0,4556.0,0.5207373271889401
301.tiff,canine cutaneous mast cell tumor,mitotic,1,1.5,score,13285,0.9908,262.0,4486.0,0.48847926267281105
301.tiff,canine cutaneous mast cell tumor,mitotic,1,1.5,od,13285,0.9908,236.0,4499.0,0.5207373271889401
301.tiff,canine cutaneous mast cell tumor,mitotic,1,2.0,score,10113,0.9816,262.0,4486.0,0.48847926267281105
301.tiff,canine cutaneous mast cell tumor,mitotic,1,2.0,od,10113,0.9816,236.0,4877.0,0.5207373271889401
301.tiff,canine cutaneous mast cell tumor,mitotic,1,2.5,score,6945,0.9631,262.0,4486.0,0.48847926267281105
301.tiff,canine cutaneous mast cell tumor,mitotic,1,2.5,od,6945,0.9631,236.0,5140.0,0.5207373271889401
301.tiff,canine cutaneous mast cell tumor,mitotic,1,3.0,score,4346,0.9493,262.0,,0.48847926267281105
301.tiff,canine cutaneous mast cell tumor,mitotic,1,3.0,od,4346,0.9493,235.0,,0.5253456221198156
301.tiff,canine cutaneous mast cell tumor,mitotic,1,4.0,score,1485,0.8802,262.0,,0.48847926267281105
301.tiff,canine cutaneous mast cell tumor,mitotic,1,4.0,od,1485,0.8802,228.0,,0.5345622119815668
301.tiff,canine cutaneous mast cell tumor,mitotic,2,0.5,score,15304,0.9908,186.0,3158.0,0.5576036866359447
301.tiff,canine cutaneous mast cell tumor,mitotic,2,0.5,od,15304,0.9908,180.0,5894.0,0.5622119815668203
301.tiff,canine cutaneous mast cell tumor,mitotic,2,1.0,score,13670,0.9908,186.0,3158.0,0.5576036866359447
301.tiff,canine cutaneous mast cell tumor,mitotic,2,1.0,od,13670,0.9908,180.0,5797.0,0.5622119815668203
301.tiff,canine cutaneous mast cell tumor,mitotic,2,1.5,score,11226,0.9862,186.0,3158.0,0.5576036866359447
301.tiff,canine cutaneous mast cell tumor,mitotic,2,1.5,od,11226,0.9862,180.0,5510.0,0.5622119815668203
301.tiff,canine cutaneous mast cell tumor,mitotic,2,2.0,score,8392,0.9862,186.0,3158.0,0.5576036866359447
301.tiff,canine cutaneous mast cell tumor,mitotic,2,2.0,od,8392,0.9862,180.0,4913.0,0.5622119815668203
301.tiff,canine cutaneous mast cell tumor,mitotic,2,2.5,score,5839,0.9724,186.0,3158.0,0.5576036866359447
301.tiff,canine cutaneous mast cell tumor,mitotic,2,2.5,od,5839,0.9724,179.0,4522.0,0.5714285714285714
301.tiff,canine cutaneous mast cell tumor,mitotic,2,3.0,score,3727,0.9539,186.0,3158.0,0.5576036866359447
301.tiff,canine cutaneous mast cell tumor,mitotic,2,3.0,od,3727,0.9539,179.0,3402.0,0.5714285714285714
301.tiff,canine cutaneous mast cell tumor,mitotic,2,4.0,score,1328,0.8894,186.0,,0.5576036866359447
301.tiff,canine cutaneous mast cell tumor,mitotic,2,4.0,od,1328,0.8894,179.0,,0.5714285714285714
301.tiff,canine cutaneous mast cell tumor,lookalike,0,0.5,score,16214,0.9954,178.0,7368.0,0.5345622119815668
301.tiff,canine cutaneous mast cell tumor,lookalike,0,0.5,od,16214,0.9954,160.0,5728.0,0.5622119815668203
301.tiff,canine cutaneous mast cell tumor,lookalike,0,1.0,score,14537,0.9954,178.0,7368.0,0.5345622119815668
301.tiff,canine cutaneous mast cell tumor,lookalike,0,1.0,od,14537,0.9954,160.0,5623.0,0.5622119815668203
301.tiff,canine cutaneous mast cell tumor,lookalike,0,1.5,score,11444,0.9862,178.0,7368.0,0.5345622119815668
301.tiff,canine cutaneous mast cell tumor,lookalike,0,1.5,od,11444,0.9862,160.0,6183.0,0.5622119815668203
301.tiff,canine cutaneous mast cell tumor,lookalike,0,2.0,score,7527,0.9585,178.0,7368.0,0.5345622119815668
301.tiff,canine cutaneous mast cell tumor,lookalike,0,2.0,od,7527,0.9585,157.0,6485.0,0.5622119815668203
301.tiff,canine cutaneous mast cell tumor,lookalike,0,2.5,score,4128,0.9263,178.0,,0.5345622119815668
301.tiff,canine cutaneous mast cell tumor,lookalike,0,2.5,od,4128,0.9263,156.0,,0.5622119815668203
301.tiff,canine cutaneous mast cell tumor,lookalike,0,3.0,score,2024,0.8571,178.0,,0.5345622119815668
301.tiff,canine cutaneous mast cell tumor,lookalike,0,3.0,od,2024,0.8571,160.0,,0.5668202764976958
301.tiff,canine cutaneous mast cell tumor,lookalike,0,4.0,score,440,0.5945,178.0,,0.5345622119815668
301.tiff,canine cutaneous mast cell tumor,lookalike,0,4.0,od,440,0.5945,205.0,,0.5345622119815668
201.tiff,canine lung cancer,mitotic,0,0.5,score,13967,0.9412,41.0,,0.7647058823529411
201.tiff,canine lung cancer,mitotic,0,0.5,od,13967,0.9412,25.0,,0.9411764705882353
201.tiff,canine lung cancer,mitotic,0,1.0,score,12513,0.9412,41.0,,0.7647058823529411
201.tiff,canine lung cancer,mitotic,0,1.0,od,12513,0.9412,25.0,,0.9411764705882353
201.tiff,canine lung cancer,mitotic,0,1.5,score,10560,0.9412,41.0,,0.7647058823529411
201.tiff,canine lung cancer,mitotic,0,1.5,od,10560,0.9412,25.0,,0.9411764705882353
201.tiff,canine lung cancer,mitotic,0,2.0,score,8291,0.9412,41.0,,0.7647058823529411
