cell,text_chars,text_identical_after_masking_timings,n_images,images_pixel_identical
1,571,True,0,True
3,42,True,0,True
4,5289,True,0,True
6,364,True,0,True
8,429,True,0,True
10,4605,True,0,True
12,3118,True,0,True
14,1709,True,0,True
15,1415,True,0,True
17,2041,True,0,True
19,1869,True,0,True
21,2407,True,0,True
23,692,True,0,True
25,0,True,1,True
26,0,True,1,True
27,0,True,1,True
29,19,True,0,True
