file_name,seed_index,tumor_type,z,recall,mitoses_lost,n_kept,coverage_frac,cut_vs_z1_pct
013.tiff,0,human breast cancer,7.1,1.0,0,2587,0.20416118883634532,83.37296741435824
013.tiff,0,human breast cancer,7.2,1.0,0,2494,0.19761395522241626,83.97069220386915
013.tiff,0,human breast cancer,7.3,1.0,0,2403,0.19136759348285357,84.55556269683142
013.tiff,0,human breast cancer,7.4,1.0,0,2319,0.18512123174329087,85.09544315187352
013.tiff,0,human breast cancer,7.5,1.0,0,2223,0.17815539378241732,85.71244938620734
013.tiff,0,human breast cancer,7.6,1.0,0,2129,0.17138577660917398,86.31660132399254
013.tiff,0,human breast cancer,7.7,1.0,0,2035,0.16438069449077436,86.92075326177775
013.tiff,0,human breast cancer,7.8,1.0,0,1967,0.15967139558764856,87.35779934443087
013.tiff,0,human breast cancer,7.9,1.0,0,1902,0.15473317243228749,87.77556398226108
013.tiff,0,human breast cancer,8.0,1.0,0,1829,0.149467914630876,88.24474580628575
013.tiff,0,human breast cancer,8.1,1.0,0,1770,0.14504640621627454,88.62394755447008
013.tiff,0,human breast cancer,8.2,1.0,0,1701,0.13957838693431182,89.06742078539752
013.tiff,0,human breast cancer,8.3,1.0,0,1641,0.13464016377895074,89.45304968185616
013.tiff,0,human breast cancer,8.4,1.0,0,1585,0.1303036843723224,89.81296998521756
013.tiff,0,human breast cancer,8.5,1.0,0,1513,0.12483566509035968,90.27572466096792
013.tiff,0,human breast cancer,8.6,1.0,0,1450,0.1201459882659969,90.6806350022495
013.tiff,0,human breast cancer,8.7,1.0,0,1390,0.11546285213455514,91.06626389870814
013.tiff,0,human breast cancer,8.8,1.0,0,1336,0.11117215757837386,91.41332990552092
013.tiff,0,human breast cancer,8.9,1.0,0,1287,0.10725428251869003,91.72826017096214
013.tiff,0,human breast cancer,9.0,1.0,0,1235,0.10314018667137596,92.0624718812263
013.tiff,0,human breast cancer,9.1,1.0,0,1187,0.09931388131258626,92.37097499839322
013.tiff,0,human breast cancer,9.2,0.9411764705882353,1,1147,0.09604353485208222,92.62806092936565
013.tiff,0,human breast cancer,9.3,0.9411764705882353,1,1097,0.09181824722511103,92.94941834308116
013.tiff,0,human breast cancer,9.4,0.9411764705882353,1,1054,0.08844979037079188,93.22578571887654
013.tiff,0,human breast cancer,9.5,0.9411764705882353,1,1011,0.08501592658726266,93.5021530946719
013.tiff,0,human breast cancer,9.6,0.9411764705882353,1,965,0.08129427231520907,93.7978019152902
013.tiff,0,human breast cancer,9.7,0.9411764705882353,1,929,0.07833133842199243,94.02917925316537
013.tiff,0,human breast cancer,9.8,0.8823529411764706,2,885,0.07461622484285985,94.31197377723504
013.tiff,0,human breast cancer,9.9,0.8823529411764706,2,858,0.07238584855679611,94.48550678064143
013.tiff,0,human breast cancer,10.0,0.8823529411764706,2,826,0.06989384455389204,94.69117552541937
013.tiff,0,human breast cancer,10.1,0.8823529411764706,2,787,0.06679355610933423,94.94183430811749
013.tiff,0,human breast cancer,10.2,0.8823529411764706,2,753,0.06400722092498479,95.16035734944404
013.tiff,0,human breast cancer,10.3,0.8823529411764706,2,719,0.06112931603974125,95.37888039077062
013.tiff,0,human breast cancer,10.4,0.8823529411764706,2,685,0.05834952154831283,95.59740343209718
013.tiff,0,human breast cancer,10.5,0.8823529411764706,2,654,0.05564167467901549,95.7966450286008
013.tiff,0,human breast cancer,10.6,0.8235294117647058,3,623,0.053169292754874455,95.99588662510445
013.tiff,0,human breast cancer,10.7,0.8235294117647058,3,596,0.050873509539600625,96.16941962851084
013.tiff,0,human breast cancer,10.8,0.8235294117647058,3,568,0.04847961593051168,96.34937978019153
013.tiff,0,human breast cancer,10.9,0.8235294117647058,3,542,0.04629502449489499,96.5164856353236
013.tiff,0,human breast cancer,11.0,0.8235294117647058,3,504,0.04322743951494221,96.7607172697474
013.tiff,0,human breast cancer,11.1,0.7647058823529411,4,483,0.04146799311919105,96.89568738350793
013.tiff,0,human breast cancer,11.2,0.7647058823529411,4,456,0.03927032029773234,97.06922038691432
013.tiff,0,human breast cancer,11.3,0.7647058823529411,4,437,0.03768093191792739,97.19133620412623
013.tiff,0,human breast cancer,11.4,0.7647058823529411,4,420,0.036241979475305615,97.30059772478951
013.tiff,0,human breast cancer,11.5,0.7647058823529411,4,403,0.034829189804367874,97.4098592454528
013.tiff,0,human breast cancer,11.6,0.7058823529411765,5,388,0.03356029537769231,97.50626646956745
013.tiff,0,human breast cancer,11.7,0.6470588235294118,6,378,0.03267730183335622,97.57053795231056
013.tiff,0,human breast cancer,11.8,0.6470588235294118,6,366,0.0315980875013899,97.64766373160228
013.tiff,0,human breast cancer,11.9,0.6470588235294118,6,349,0.030152594365847118,97.75692525226557
013.tiff,0,human breast cancer,12.0,0.6470588235294118,6,333,0.028772508159514418,97.85975962465454
013.tiff,0,human breast cancer,12.1,0.6470588235294118,6,324,0.028007247087756478,97.91760395912334
013.tiff,0,human breast cancer,12.2,0.6470588235294118,6,309,0.02668602711771285,98.014011183238
013.tiff,0,human breast cancer,12.3,0.6470588235294118,6,296,0.025593731399904507,98.09756411080403
013.tiff,0,human breast cancer,12.4,0.6470588235294118,6,279,0.02410245341391467,98.20682563146732
013.tiff,0,human breast cancer,12.5,0.6470588235294118,6,264,0.02285972175892314,98.30323285558198
013.tiff,0,human breast cancer,12.6,0.6470588235294118,6,254,0.021970187521666046,98.36750433832509
013.tiff,0,human breast cancer,12.7,0.6470588235294118,6,242,0.0209563801189098,98.44463011761681
013.tiff,0,human breast cancer,12.8,0.6470588235294118,6,232,0.020079927267494718,98.50890160035992
013.tiff,0,human breast cancer,12.9,0.6470588235294118,6,220,0.01903341640013343,98.58602737965165
013.tiff,0,human breast cancer,13.0,0.6470588235294118,6,213,0.01849707958061077,98.63101741757183
