tumor_type,file_name,seed_index,target,read_depth,coverage_frac
human melanoma,529.tiff,4,0.9,1365,0.10217870481198778
human melanoma,529.tiff,4,0.95,1739,0.13071574802634592
human melanoma,529.tiff,4,0.98,1739,0.13071574802634592
human melanoma,529.tiff,4,0.99,1739,0.13071574802634592
human melanoma,529.tiff,4,1.0,1739,0.13071574802634592
human melanoma,548.tiff,0,0.5,215,0.018549405123978836
human melanoma,548.tiff,0,0.8,516,0.04307700357775903
human melanoma,548.tiff,0,0.9,973,0.0803327904558209
human melanoma,548.tiff,0,0.95,2075,0.1666960997848112
human melanoma,548.tiff,0,0.98,2844,0.2245354472852854
human melanoma,548.tiff,0,0.99,5190,0.3861101845129473
human melanoma,548.tiff,0,1.0,7949,0.546729980574142
human melanoma,548.tiff,1,0.5,188,0.01621437775117896
human melanoma,548.tiff,1,0.8,587,0.049421475711136836
human melanoma,548.tiff,1,0.9,1201,0.09882987003643166
human melanoma,548.tiff,1,0.95,2633,0.20951801633865091
human melanoma,548.tiff,1,0.98,6459,0.46866681056191095
human melanoma,548.tiff,1,0.99,7827,0.5488360836947066
human melanoma,548.tiff,1,1.0,10101,0.6630627448671912
human melanoma,548.tiff,2,0.5,194,0.016796499421148678
human melanoma,548.tiff,2,0.8,490,0.04164459182805826
human melanoma,548.tiff,2,0.9,1022,0.08460386293323914
human melanoma,548.tiff,2,0.95,2180,0.1761212382839838
human melanoma,548.tiff,2,0.98,4062,0.3116705583789547
human melanoma,548.tiff,2,0.99,6652,0.47939354695236414
human melanoma,548.tiff,2,1.0,10512,0.679911569831708
human melanoma,548.tiff,3,0.5,236,0.020021061031205645
human melanoma,548.tiff,3,0.8,568,0.04730229120473023
human melanoma,548.tiff,3,0.9,1272,0.10429134862547339
human melanoma,548.tiff,3,0.95,2337,0.18591265558673287
human melanoma,548.tiff,3,0.98,4198,0.3196044188921374
human melanoma,548.tiff,3,0.99,5992,0.43617264813034295
human melanoma,548.tiff,3,1.0,11155,0.70185559458169
human melanoma,548.tiff,4,0.5,215,0.018588649281504884
human melanoma,548.tiff,4,0.8,615,0.051141677949361954
human melanoma,548.tiff,4,0.9,975,0.08016927313279569
human melanoma,548.tiff,4,0.95,2314,0.1832505935678826
human melanoma,548.tiff,4,0.98,4818,0.3567228512188581
human melanoma,548.tiff,4,0.99,6272,0.44755999450581796
human melanoma,548.tiff,4,1.0,7129,0.4970795806107699
